gold_sent,ocr_sent,CER
The Sixteenth Century drew to a close.,TuE Sixteenth Century drew to a close.,0.05263157894736842
"It was the last day of the last year, and two hours only were wanting to the birth of another year and of anothe@r century.","It was the lsst day of tho last year, and two hours anly were wanting to the birth of another year and of anothaor century.",0.04065040650406504
The night was solemn and beautiful.,The night was solemn and beautiful.,0.0
"Myriads of stars paved the deep vault of heaven; the crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quiv@ering light, issuing from the north, traversed the sky, like the tail of some stupendous comet; while from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.","Myriads of sta@n pa@ed the deep vnult of hea@en; the crescent moon hung like a silver lamp in the milst of them; a stream of rosy and quivrering light@ issuing from the north@ trarersed th@ sky, like the tail of some stupendous co@et; whilo from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.",0.03299492385786802
"A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow aggravated the wholesome rigour of the season.","A sharp frost pre@ailed; but the atmosphere was clear and dry, and neither wind nor snow aggra@ated the wholesome rigour of tho season.",0.022222222222222223
"The water lay in thick congealed masses around the conduits and wells, and the buckets wer@e frozen on their stands.","Tho water lay in thick congealed masses around the conduits and wells, and tho buekets weroe frozen on thcir stands.",0.04310344827586207
"The thoroughfares @@@@@@@@were sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and pleasant to the tread.","Tho thoronghfares ADRIOL. were sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and pleasant to the tread.",0.07042253521126761
"Here and there, a fire was lighted in the streets, round which ragged urchins and mendicants were collected, roasting fragments of meat stuck upon iron prongs, or quaffing deep draughts of metheglin and ale@ out of le@athern cups.","Hero and there, a fire was lighted in the streets, round which ragged urchins and mendicants were collocted, ronsting fragments of meat stuck upon iron prongs; or qunffing deep dra@ghts of metleglin and ale, out of lenathern cups@",0.043478260869565216
"Crowds were collected in the open places, watching the wonders in the heavens, and drawing auguries from them, chiefly sinister, for most of the beholders thought the signs portended the speedy death of the queen, and the advent of a new monarch from the north—a safe and easy interpretation, considering the advanced age and declining health of the illustrious Elizabe@th, together with the known appointment of her successor, James of @Scotland.","Crowls were collected in the open places, watching the wonders in tha hea@ens, and drawing augurics from thcm, chiefly sinister, for most of the bcholders thought the signs portended the speely death of the queen, and the alvent of a new monarch from the north-a safo and easy interpretation, considering the ad@ancet age and declining health of the illustrious Elizabecth, togcther with the kno@n appointment of her successor, Jamcs of fScotland.",0.03803131991051454
"Notwithstanding the early habits of the times, few persons had retired to rest, an universal wish prevailing among the citizens to see the n@ew year in, and welcome the century accompanying it.","Notwithstanding the early halits of the times, few persons had retired to rcst, an uni@ersal wish prevailing among thc citizens to see the ncew year in, and welcome the centnry nccompanying it.",0.03626943005181347
"Lights glimmered in most windows, revealing the holly-sprigs and laurel-leaves stuck thickly in th@eir diamond panes; while, whenever a@ door was opened, a ruddy gleam burst across the street, and a glance inside the dwelling showed its inmates either gathered round the glowing hearth, occupied in mirthful sports—fox-i’-th’-hole, blind-man’s buff, or shoe-the-mare—or seated at the ample board groaning with Christmas cheer.","Lights glimmered in most windows, revealing the holly-sprigs and lanrel-lea@cs stuck thickly in thleir diamond panes; wlile, whenever as d@or wus opened, n ruddy gleam burst across the strcet; and a glance inside the dwelling showed its inmates either gathered round tho glowing hearth, oecupicd in mirthful sports-fox-i'-th@'hole, blind-nan's-buff, or shoe-the-marc-or seated at tho @mple board grouning with Christmas checr.",0.06338028169014084
"Mu@sic and singing were heard at every corner, and bands of comely damsels, escorted by their sweethearts, went from house to house, bearing huge brown bowls dressed @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@with ribands and rosemary, and filled with a drink called “@lamb’s-wool,”@ composed of sturdy ale, sweetened with sugar, spiced with nutmeg, and having toasts and burnt crabs floating within it—@a draught from which seldom brought its pretty bearers less than a groat, and occasionally a more valuable coin.","MInsie nnd singing were henrd at e@ery coruer, and bnnds of com@ly damsels, escorted by their sweethearts, went Irom house to honse, bearing tage brown bowls dressed ---------------------DR. LAND. with ribands and rosemary, and filled with a drink called ``lamb's-wool,'' composed of sturdy ale, smeetenel with sugar, spiced with nutmeg, and ha@ing toasts and bur@t erabs floating within it,-a dranght from which seldom brought its pretty bcarers less than a groat, and occasionally a more valuable eoin.",0.11706349206349206
Such was the vigil of th@e year sixteen hundred.,Such wns the @igil of thoe year Sixteen Hundred.,0.10416666666666667
"On this night, and at the tenth hour, a man of striking and venerable appearance was seen to emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque structure situated at the southern extremity of London Bridge.","On this night, and at the tenth hour, a man of striking and venerable appearanee wns sccn to emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque structure situated at the southcrn extremity of London-bridge.",0.028
"The old man’s beard and hair were as white as snow—the former descending almost to his girdle; so were the thick, overhanging brows that shaded his still piercing eyes.",The old man's bcard and @air were as white as snow@the former descending almost to his girdle; so were th@ thick@ o@erhanging brows thmt shaded lis still piercing eyes.,0.05357142857142857
"His forehead was high, bald, and ploughed by innumerable wrinkles.","His forehead was high, bald, and ploughed by innumerable @rinkles.",0.015151515151515152
"H@is countenance, despite its death-like p@aleness, had a noble and majestic cast; and his figure, though worn to the bone by a@ life of the severest st@udy, an@d bent by the weight of years, must have been once lofty and commanding.","IIis countenance, despito its dentl-lika pualeness, had a noble and nsjestic cnst, ani his figure, though worn to the bone by as life of the se@erest stnu@y, @nud bent by the woight of yenrs, must hase been once lofty and commauding.",0.0944206008583691
"His dress consisted of a doublet and hose of sad-coloured cloth, over which he wore a loose gown of black silk.","His dress consisted of n doublet and hose of sad-coloured cloth, over which he wore a loose govn of blaek silk.",0.02702702702702703
"H@is head was covered by a square black cap, from beneath which his silver locks strayed over his shoulders.","HIis head was co@ered by a square bluck cap, from @eneath whieh his silser locks strayed o@er his shoulders.",0.06481481481481481
"Known by the name of Doctor Lamb, and addicted to alchemical and philosophical pursuits, this v@enerable personage was esteemed by the vulgar as little better than a wizard.","Inown by the name of Doctor Lamb, and addieted to alchemicnl and philosophical pursuits, this vrenerable personage was esteemed by the vulgar as little better than a wizard.",0.023121387283236993
Strange tales were reported and believed of him.,Strange tales were reported and believed of him.,0.0
