gold_sent,ocr_sent,CER
The Sixteenth Century drew to a close.,Tue Sixteenth Century drew to a close.,0.02631578947368421
"It was the last day of the last year, and two hours only were wanting to the birth of another year and of another century.","It was the last day of the last year, and two hours only were wanting to the birth of another year and of another century.",0.0
The night was solemn and beautiful.,The night was solemn and beautiful.,0.0
"Myriads of stars paved the deep vault of heaven; the crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quivering light, issuing from the north, traversed the sky, like the tail of some stupendous comet; while from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.","Myriads of start paved the deep vault of heaven; the crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quivering light@ issuing from the north@ traversed the sky, like the tail of some stupendous comet; while from its point of effluence broke forth, ever and anon, corascations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.",0.010178117048346057
"A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow aggravated the wholesome rigour of the season.","A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow aggravated the wholesome rigour of the season.",0.0
"The water lay in thick congealed masses around the conduits and wells, and the buckets were frozen on their stands.","The water lay in thick gongealed masses around the conduits and wells, and the buckets were frozen on their stands.",0.008695652173913044
"The thoroughfares @@@@@@@@@@@@were sheeted with ice, and dangerous to horsemen and vehicles@; but the footways were firm and pleasant to the tread.","The thoroughfares B 2 AURIOL. were sheeted with ice, and dangerous to horsemen and vehicles ; but the footways were firm and pleasant to the tread.",0.08843537414965986
"Here and there, a fire was lighted in the streets, round which ragged urchins and mendicants were collected, roasting fragments of meat stuck upon iron prongs@, or quaffing deep draughts of metheglin and ale@ out of leathern cups.","Here and there, a fire was lighted in the streets, round which ragged urchins and mendicants were collected, roasting fragments of meat stuck upon iron prongs ; or quaffing deep dra@ghts of metheglin and ale, out of leathern cups.",0.017391304347826087
"Crowds were collected in the open places, watching the wonders in the heavens, and drawing auguries from them, chiefly sinister, for most of the beholders thought the signs portended the speedy death of the queen, and the advent of a new monarch from the north—a safe and easy interpretation, considering the advanced age and declining health of the illustrious Elizabeth, together with the known appointment of her successor, James of Scotland.","Crowds were collected in the open places, watching the wonders in the heavens, and drawing auguries from them, chiefly sinister, for most of the beholders thought the signs portended the speedy death of the queen, and the advent of a new monarch from the north—a safe and easy interpretation, considering the advanced age and declining health of the illustrious Elizabeth, together with the known appointment of her successor, James of Scotland.",0.0
"Notwithstanding the early habits of the times, few persons had retired to rest, an universal wish prevailing among the citizens to see the new year in, and welcome the century accompanying it.","Notwithstanding the early habits of the times, few persons had retired to rest, an universal wish prevailing among the citizens to sce the new year in, and welcome the century accompanying it.",0.005208333333333333
"Lights glimmered in most windows, revealing the holly-sprigs and laurel-leaves stuck thickly in their diamond panes; while, whenever a door was opened, a ruddy gleam burst across the street, and a glance inside the dwelling showed its inmates either gathered round the glowing hearth, occupied in mirthful sports—fox-i’-th’-hole, blind-man’s buff, or shoe-the-mare—or seated at the ample board groaning with Christmas cheer.","Lights glimmered in most windows, revealing the holly-sprigs and laurcl-leaves stuck thickly in their diamond panes; while, whenever a door was opened, a ruddy gleam burst across the street; and a glance inside the dwelling showed its inmates either gathered round the glowing hearth, occupied in mirthfal sports—fox-i'-th’@hole, blind-man’s-buff, or shoe-the-mare—or seated at the ample board groaning with Christmas cheer.",0.014150943396226415
"Music and singing were heard at every corner, and bands of comely damsels, escorted by their sweethearts, went from house to house, bearing huge brown bowls dressed @@@@@@@@@@@@with ribands and rosemary, and filled with a drink called “lamb’s-wool,” composed of sturdy ale, sweetened with sugar, spiced with nutmeg, and having toasts and burnt crabs floating within it@—a draught from which seldom brought its pretty bearers less than a groat, and occasion@@ally a more valuable coin.","Mnsic and singing were heard at every corner, and bands of comely damsels, escorted by their sweethearts, went from house to house, bearing kage brown bowls dressed DR. LAMB. 3 with ribands and rosemary, and filled with a drink called “Jamb’s-wool,” composed of sturdy ale, sweetened with sugar, spiced with nutmeg, and having toasts and burnt crabs floating within it,—a draught from which seldom brought its pretty bearers less than a groat, and occasion= ally a more valuable coin.",0.03925619834710744
Such was the vigil of the year sixteen hundred.,Such was the vigil of the year Sixteen Hundred.,0.0425531914893617
"On this night, and at the tenth hour, a man of striking and venerable appearance was seen to emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque structure situated at the southern extremity of London Bridge.","On this night, and at the tenth hour, a man of striking and venerable appearance was secn to emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque structure situated at the southern extremity of London-bridge.",0.012
"The old man’s beard and hair were as white as snow—@the former descending almost to his girdle; so were the thick, overhanging brows that shaded his still piercing eyes.",The old man’s beard and hair were as white as snow— the former descending almost to his girdle; so were the thick@ overhanging brows that shaded his still piercing eyes.,0.011834319526627219
"His forehead was high, bald, and ploughed by innumerable wrinkles.","His forehead was high, bald, and ploughed by innumerable wrinkles.",0.0
"His countenance, despite its death-like paleness, had a noble and majestic cast; and his figure, though worn to the bone by a life of the severest study, and bent by the weight of years, must have been once lofty and commanding.","His countenance, despite its death-like paleness, had a noble and majestic cast, and his figure, though worn to the bone by a life of the severest study, and bent by the weight of years, must have been once lofty and commanding.",0.0043859649122807015
"His dress consisted of a doublet and hose of sad-coloured cloth, over which he wore a loose gown of black silk.","His dress consisted of a doublet and hose of sad-coloured cloth, over which he wore a loose gown of black silk.",0.0
"His head was covered by a square black cap, from beneath which his silver locks strayed over his shoulders.","His head was covered by a square Llack cap, from beneath which his silver locks strayed over his shoulders.",0.009345794392523364
"Known by the name of Doctor Lamb, and addicted to alchemical and philosophical pursuits, this venerable personage was esteemed by the vulgar as little better than a wizard.","Known by the name of Doctor Lamb, and addicted to alchemical and philosophical pursuits, this venerable personage was esteemed by the vulgar as little better than a wizard.",0.0
Strange tales were reported and believed of him.,Strange tales were reported and believed of him.,0.0
"@@@@@@@@@@@@@ Amongst others, it was said that he possessed a familiar, because he chanced to employ a deformed, crack-brained dwarf, who assisted him in his operations, and whom he appropriately enough denominated Flapdragon."," B2 4 AURIOL, Amongst others, it was said that he possessed a familiar, because he chanced to employ a deformed, crack-brained dwarf, who assisted him in his operations, and whom he appropriately enough denominated Flapdragon.",0.05752212389380531
"Doctor Lamb’s gaze was fixed intently upon the heavens, and he seamed to be noting the position of the moon with reference to some particular star.","Doctor Lamb's gaze was fixed intently upon the heavens, and he seemed to be noting the position of the moon with reference to some particular star.",0.013605442176870748
"After remaining in this posture for a few minutes, he was about to retire, when a loud crash arrested him, and he turned to see whence it proceeded.","After remaining in this posture for a few minutes, he was about to retire, when a loud crash arrested him, and he turned to see whence it proceeded.",0.0
"Immediately before him stood the Southwark Gateway—@a square stone building, with a round, embattled turret at each corner, and a flat@ leaden roof, planted with a forest of poles, fifteen or sixteen feet high, garnished with human heads.","Immediately before him stood the Southwark Gateway— a square stone building, with a round, embattled turret at each corner, and a flat, leaden roof, planted with a forest of poles, fifteen or sixteen feet high, garnished with human heads.",0.008403361344537815
"To his surprise, the doctor perceived that two of these poles had just been overthrown by a tall man, who was in the act of stripping them of their grisly burdens.","To his surprise, the doctor perceived that two of these poles had just been overthrown by a tall man, who was in the act of stripping them of their grisly burdens.",0.0
"Having accomplished his object, the mysterious plunderer thrust his spoil into a leathern bag with which he was provided, tied its mouth, and was about to take his departure by means of a rope-ladder attached to the battlements, when his retreat was suddenly cut off by the gatekeeper, armed with a halberd, and bearing a lantern, who issued from a door opening upon the leads.","Having accomplished his object, the mysterious planderer thrust his spoil into a leathern bag with which he was provided, tied its mouth, and was about to take his departure by means of a rope-ladder attached to the battlements, when his retreat was suddenly cut off by the gatekeeper, armed with a halberd, and bearing a lantern, who issued from a door opening upon the leads.",0.002652519893899204
"The baffled marauder looked round, and remarking the open window at which Doctor Lamb was stationed, hurled the sack and its contents through it.","The baffled marauder looked round, and remarking the open window at which Doctor Lamb was stationed, hurled the sack and its contents through it.",0.0
"He then tried to gain the ladder, but was intercepted by the gatekeeper, who dealt him a severe blow on the head with his halberd@@@@.","He then tried to gain the ladder, but was intercepted by the gatekeeper, who dealt him a severe blow on the head with his halberd, DR.",0.029850746268656716
"@@@@@@@@The plunderer uttered a loud cry, and attempted to draw his sword; but before he could do so, he received a thrust in the side from his opponent.","LAMB. 5 The plunderer uttered a loud cry, and attempted to draw his sword; but before he could do so, he received a thrust in the side from his opponent.",0.05228758169934641
"He then fell, and the gatekeeper would have repeated the blow, if the doctor had not called to him to desist.","He then fell, and the gatekeeper would have repeated the blow, if the doctor had not called to him to desist.",0.0
"“Do not kill him, good Baldred,” he cried.","“Do not kill him, good Baldred,” he cried.",0.0
“@The attempt may not be so criminal as it appears.,“ The attempt may not be so criminal as it appcars.,0.0392156862745098
"Doubtless, the mutilated remains which the poor wretch has attempted to carry off@ are those of his kindred, and horror at their exposure must have led him to commit the offence.” “It may be, doctor,” replied Baldred; “@and if so I shall be sorry I have hurt him.","Doubtless, the mutilated remains which the poor wretch has attempted to carry off, are those of his kindred, and horror at their exposure must have led him to commit the offence.” “Tt may be, doctor,” replied Baldred; “ and if so I shall be sorry I have hurt him.",0.011406844106463879
