gold_sent,ocr_sent,CER
      AURIOL     or The Elixir of Life     William Harrison Ainsworth     With Illustrations by H. K. Browne        Prologue     1599       Dr.,Serjeant Larkins; he will tell you how many briofs the great Mr.,0.7972027972027972
Lamb       The Sixteenth Century drew to a close.,TuE Sixteenth Century drew to a close.,0.2653061224489796
"It was the last day of the last year, and two hours      only were wanting to the birth of another year and of another century.","Bcarcely had he accomplished this, when the purers TEE PIT.",0.7637795275590551
The night was solemn and beautiful.,The night was solemn and beautiful.,0.0
"Myriads of stars paved the deep vault of heaven; the      crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quivering      light, issuing from the north, traversed the sky, like the tail of some stupendous comet; while      from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and      variety of hue the most brilliant discharge of fireworks.","Myriads of stan paed the deep vnult of heaen; the crescent moon hung like a silver lamp in the milst of them; a stream of rosy and quivrering light issuing from the north trarersed th sky, like the tail of some stupendous coet; whilo from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.",0.07990314769975787
"A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow      aggravated the wholesome rigour of the season.","A sharp frost preailed; but the atmosphere was clear and dry, and neither wind nor snow aggraated the wholesome rigour of tho season.",0.05714285714285714
"The water lay in thick congealed masses around      the conduits and wells, and the buckets were frozen on their stands.","A fire was kindled beneath the arch, and the ruddy flame licked its walls.",0.675
"The thoroughfares were      sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and      pleasant to the tread.","were sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and pleasant to the tread.",0.19444444444444445
"Here and there, a fire was lighted in the streets, round which ragged urchins and mendicants      were collected, roasting fragments of meat stuck upon iron prongs, or quaffing deep draughts of      metheglin and ale out of leathern cups.","Though it was still early, the road was astir with passengers, and many waggons and carts, laen with hay, straw, and vegctables, were passing.",0.7436974789915967
"Crowds were collected in the open places, watching the      wonders in the heavens, and drawing auguries from them, chiefly sinister, for most of the      beholders thought the signs portended the speedy death of the queen, and the advent of a new      monarch from the north—a safe and easy interpretation, considering the advanced age and      declining health of the illustrious Elizabeth, together with the known appointment of her      successor, James of Scotland.","By this time it had become quite dark, for the moon was hidden behind a rack of clouds, but a light was seen in the upper story of the structure, oceasioned, no donbt, by a fire within it, which gae a very picturesque effect to the hroken outline of the walls.",0.7276595744680852
"Notwithstanding the early habits of the times, few persons had retired to rest, an universal      wish prevailing among the citizens to see the new year in, and welcome the century accompanying      it.",No expense had been spared by Auriol to give splendour to his fete.,0.7970297029702971
"Lights glimmered in most windows, revealing the holly-sprigs and laurel-leaves stuck      thickly in their diamond panes; while, whenever a door was opened, a ruddy gleam burst across      the street, and a glance inside the dwelling showed its inmates either gathered round the      glowing hearth, occupied in mirthful sports—fox-i’-th’-hole, blind-man’s buff, or      shoe-the-mare—or seated at the ample board groaning with Christmas cheer.","His habits were as regular as cloekwork, and the glass of cold punch at Tom's, or the basin of soup at Birch's, wound him up for the duy.",0.8108108108108109
"Music and singing were heard at every corner, and bands of comely damsels, escorted by their      sweethearts, went from house to house, bearing huge brown bowls dressed with ribands and      rosemary, and filled with a drink called “lamb’s-wool,” composed of sturdy ale, sweetened with      sugar, spiced with nutmeg, and having toasts and burnt crabs floating within it—a draught from      which seldom brought its pretty bearers less than a groat, and occasionally a more valuable      coin.","Melodious masses proper to the service were ever and anon chanted by the papal choir, and oerpowering perfume was diffused around by a hundred censers.",0.8016194331983806
Such was the vigil of the year sixteen hundred.,The world of habitations beyond this melancholy prison were buried in larkness.,1.2340425531914894
"On this night, and at the tenth hour, a man of striking and venerable appearance was seen to      emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque      structure situated at the southern extremity of London Bridge.","On this night, and at the tenth hour, a man of striking and venerable appearanee wns sccn to emerge upon a small wooden balcony, projecting from a bay-window near the top of a picturesque structure situated at the southcrn extremity of London-bridge.",0.06538461538461539
"The old man’s beard and hair were as white as snow—the former descending almost to his      girdle; so were the thick, overhanging brows that shaded his still piercing eyes.","A sardonic grin curled his thin lips, and his short, crisply-curled hair, raen black in hue, contrasted forcibly and disagreeably with his caluaverous complexion.",0.791907514450867
"His forehead      was high, bald, and ploughed by innumerable wrinkles.","His forehead was high, bald, and ploughed by innumerable rinkles.",0.08450704225352113
"His countenance, despite its death-like      paleness, had a noble and majestic cast; and his figure, though worn to the bone by a life of      the severest study, and bent by the weight of years, must have been once lofty and commanding.","He was tall, carried himself very erect, and seemed in the full vigour of early manhood; but his features had a worn and ghastly look, as if bearing the stamp of long-indulged and frightful excesses, while his dark gleaming eyes gave him an expression almost diabolical.",0.8067226890756303
"His dress consisted of a doublet and hose of sad-coloured cloth, over which he wore a loose      gown of black silk.","His attire consisted of a blaek satin doublet, slashed with white, hose of black silk, and a slort velet mantle.",0.646551724137931
"His head was covered by a square black cap, from beneath which his silver      locks strayed over his shoulders.","A sardonic grin curled his thin lips, and his short, crisply-curled hair, raen black in hue, contrasted forcibly and disagreeably with his caluaverous complexion.",1.0892857142857142
"Known by the name of Doctor Lamb, and addicted to alchemical and philosophical pursuits, this      venerable personage was esteemed by the vulgar as little better than a wizard.","Inown by the name of Doctor Lamb, and addieted to alchemicnl and philosophical pursuits, this vrenerable personage was esteemed by the vulgar as little better than a wizard.",0.05084745762711865
Strange tales      were reported and believed of him.,Strange tales were reported and believed of him.,0.09433962264150944
"Amongst others, it was said that he possessed a familiar,      because he chanced to employ a deformed, crack-brained dwarf, who assisted him in his      operations, and whom he appropriately enough denominated Flapdragon.","His self-satisfied air mnde it evident he thought himself a smart cleer fellow, -and adroit and knsish he was, no doubt,--while his droll, plausible, and rather winning manners, helped him materially to impose upon his customers.",0.8153153153153153
"Doctor Lamb’s gaze was fixed intently upon the heavens, and he seamed to be noting the      position of the moon with reference to some particular star.","Doctor Lamb's gaze was fixed iutently upon the heaens, nnd he seemed to be notiug the position of the moon with referencoe to some particular star.",0.07894736842105263
"After remaining in this posture for a few minutes, he was about to retire, when a loud crash      arrested him, and he turned to see whence it proceeded.","Mfter remaining in tis posture for a few minutes, he was about to retire, when a loud crash arrested him, and he turned to see whence it proceeded.",0.0457516339869281
"Immediately before him stood the Southwark Gateway—a square stone building, with a round,      embattled turret at each corner, and a flat leaden roof, planted with a forest of poles,      fifteen or sixteen feet high, garnished with human heads.","Immeliately before him stood the Southwark Gateaya equare stons building, with a ronnd, embattlod turret at enach corner, and a flat, leaden roof, planted with a forest of poles, fifteen or sixteen feet high, garnished with human henls.",0.08536585365853659
"To his surprise, the doctor perceived      that two of these poles had just been overthrown by a tall man, who was in the act of stripping      them of their grisly burdens.","To his surprise, the doctor perceied thnt two of these poles had just been overthrown by a tall man, who was in the act of stripping thn of their grisly burdens.",0.08092485549132948
