Contexte gauche,Chaîne,Contexte droit
d to him to desist. ,“,"Do not kill him, goo"
"aldred,”@ he cried. ",“,The attempt may not 
mmit the offence.”@ ,“,"It may be, doctor,”@"
it their removal.”@ ,“,"I know it,”@ replied"
e been disturbed.”@ ,“,They were the heads 
"@ replied B@aldred, ",“,who were decapitated
emanded the doctor. ,“,How were they called
ere they called@?”@ ,“,They were father and
tartled his hearer. ,“,They were near@@@@@@
 strange attempt@?” ,“,"Of a verity, a fair "
g down the lantern. ,“,Heaven grant I have 
ers—Auriol Darcy.”@ ,“,"I see it all,”@ crie"
" all,”@ cried Lamb. ",“,It was a pious and p
s if in great pain. ,“,Fling me the weapon 
d into the balcony. ,“,I will do my part as
ened and distorted. ,“,I fear it’s all over
s hand to his side. ,“,"Caitiff!” he cried, "
he sank back again. ,“,I ha@ve not touched 
ame easy as before. ,“,What have you done t
st insupportable.”@ ,“,You are cared for by
”@ replied Baldred. ,“,If I can manage to t
ed Auriol@ faintly; ,“,for though I am free
@@@@@ said Baldred. ,“,Doctor Lamb’s dwelli
 is your kinsman.”@ ,“,It is the first I ev
l had been wounded. ,“,So you have been pla
h?”@ cried Baldred. ,“,"Ay, marry have I,”@ "
meared@ it again.”@ ,“,Whereby you put the 
”@ said Flapdragon. ,“,He is busily engaged
 grand operation.”@ ,“,I will take the risk
"lf,”@ said Baldred. ",“,The@@@@@@@@@@ youth 
"ily, to th@e dwarf. ",“,Bathe his brows with
e. I am busy now.”@ ,“,"These relics, doctor"
 he should do next. ,“,Begone!”@ cried the 
orshipping the sun. ,“,To live for ever!”@ 
eed be desir@ed@?”@ ,“,"W@hat more, indeed@!"
d@!”@ cried Auriol. ,“,Ha!”@ exclaimed the 
"tor,”@ said Auriol. ",“,I have heard what yo
 cried Doctor Lamb. ,“,The matter is past a
dy against decay.”@ ,“,The man who brought 
"man,”@ said Auriol. ",“,"Is it so@?”@ “It is,"
riol. “Is it so@?”@ ,“,"It is,”@ replied the"
brought together.”@ ,“,Gracious Heaven!” ex
mself on his elbow. ,“,"You, then, are my gr"
ed by repentance.”@ ,“,Were they deeds of b
od?”@ asked Auriol. ,“,"One was so,”@ replie"
 must possess it.’” ,“,H@a!”@ exclaimed Aur
"d Auriol, starting. ",“,The evil thought was
on of the elixir.”@ ,“,When did you regain 
 Auriol@ curiously. ,“,"To-night,”@ replied "
"e,”@ pursued Darcy. ",“,Fearful of again los
ady young again@!”@ ,“,You spoke of two cri
”@ remarked Auriol. ,“,You have mentioned @
ntioned @but one.”@ ,“,The other was not so
s hand to his face. ,“,The mistake you then
"r,”@ replied Darcy. ",“,Not a drop must be w
 I was at twenty.”@ ,“,"M@e@antime, I beseec"
",”@ groaned Auriol, ",“,"or, while you are pr"
before your eyes.”@ ,“,"Be not afraid,”@ rep"
perfect recovery.”@ ,“,"Drink, then, to it!”"
hial to his breast. ,“,No; I will be young 
at—quick! quick@!”@ ,“,I am too weak to sti
sphere for support. ,“,Help me—help me!”@ h
owards the old man. ,“,Saved—saved@!”@ shri
!”@ shrieked Darcy. ,“,Pour it down my thro
d in the moonlight. ,“,A hundred years henc
 by the occurrence. ,“,There is one peril t
 a momentary h@alt. ,“,You ain’t a-been a-g
’@s sure to come@?” ,“,"Why, you can’t expec"
@ said the Sandman. ,“,"Thereabouts,”@ repli"
 replied the other. ,“,And who did he say t
manded the Sandman. ,“,"To hisself, I s’pose"
nswered the Tinker; ,“,"for, as I told you a"
 no one vith him.”@ ,“,Do you think he’s on
quired the Sandman. ,“,Bless you@! no—that 
