Contexte gauche,Chaîne,Contexte droit
d to him to desist. ,“,"Do not kill him, goo"
"aldred,'' he eried. ",“,Th@ attempt may not 
mmit tho offence.'' ,“,"It may be, doetor,''"
it their remo@al.'' ,“,"I know it,'' replied"
@ been disturbel.'' ,“,They were tho heads 
"' replied Bualdred, ",“,who were deeapitatel
emanded the doctor. ,“,How were they called
ere they called 7'' ,“,They wero father and
tartled his hcarcr. ,“,They were near l---A
 strange attempt '' ,“,"Of a rerity, a fair "
g down the lantern. ,“,Iea@en grant I la@o 
ers-Auriol Darey.'' ,“,"I sce it all,'' crie"
" all,'' cried Lamb. ",“,It was a pious and p
s if in great pain. ,“,Fling me the wcapon 
d into the baleony. ,“,I @ill do my part as
ened and distorted. ,“,I fenr it's all over
s hand to his sido. ,“,"C@iti@f1' he cried, "
he sank back again. ,“,I hasve not touched 
ame easy ae before. ,“,What ha@o you done t
"st insupportable,'' ",“,You are cnred for by
'' replied Buldred. ,“,If I cnn manage to t
"el A@riol, fsintly; ",“,fo@ though I am free
LAMD. said Buldred. ,“,Doctor Lamb's dwelli
" is your kinsman,'' ",“,It is the first I ev
l had been wounded. ,“,So you ha@e been pla
h7'' cried Baldred. ,“,"Ay, marry laro I,'' "
mearedl it again.'' ,“,Whereby you put the 
'' said Flapdragon. ,“,Ho is busily engaged
 grand operation.'' ,“,I will tako the risk
"lf,'' said Baldred. ",“,Tha 10 AB:OL. youth 
"ily, to thoe dwarf. ",“,Batha his brows with
e. I am busy now.'' ,“,"Theso relics, doctor"
 he should do next. ,“,Degonel'' cried the 
orshipping the sun. ,“,To live for e@er1'' 
eed be desiroed 7'' ,“,"Wwhat more, indeed 1"
d 1'' cried Auriol. ,“,Ha1'' cxelaimed the 
"tor,'' snid Auriol. ",“,I have heard whnt yo
 eried Doetor Lamb. ,“,The matter is past a
ly against deeay.'' ,“,The man who brought 
"man,'' said Auriol. ",“,"Is it so t'' @It is,"
riol. @Is it so t'' ,“,"It is,'' re@lied the"
brought together.'' ,“,Gracious Heaven'' ex
mself on his elbon. ,“,"Yon, then, are my gr"
ed by repentance.'' ,“,Were they deeds of @
odt'' asked Auriol. ,“,"One was so,'' replie"
 must possess it.@@ ,“,HIa1'' exclaimed Aur
"d Auriol, starting. ",“,The e@il thought was
on of the elixir.'' ,“,When did you regain 
" Auriol, cnriously. ",“,"To-night,'' replied "
"e,'' pursued Darey. ",“,Fearful of again los
ady yonng sgain l'' ,“,Yon spoke of two cri
'' remarked Auriol. ,“,You have mentioned ]
ntioned ]but one.'' ,“,The other was not so
s hand to his face. ,“,The mistake you then
"r,'' replied Darey. ",“,Not a drop must be w
 I was at twenty.'' ,“,"MIenantime, I bescec"
",'' groaned Auriol, ",“,"or, while you are pr"
beforo your eyes.'' ,“,"Be not afraid,'' rep"
perfect reeo@ery.'' ,“,"Drink, then, to it''"
hial to his breast. ,“,No; I will be young 
at-quickI @uick :'' ,“,I am too weak to sti
sphere for support. ,“,Help me-help mel'' h
owards the old man. ,“,Saved-saved 1'' shri
1'' shrieked Darcy. ,“,Ponr it down my thro
d in the moonlight. ,“,A hundred years hene
 by the @@@@@@@@@e@ ,“,There is one peril t
 a momentary hualt. ,“,You ain't a-been a-g
'as sure to come f' ,“,"Why, you can't expec"
' said the Sandman. ,“,"Thereabouts,'' repli"
 replied the other. ,“,And who did he say t
manded tho Sandman. ,“,"To hisself, I s'pose"
nswered the Tinker; ,“,"for, as l told yon a"
 no one vith him.'' ,“,Do you think he's on
quired the Sandman. ,“,Bless yon 1 no-that 
"lar slap-up svell@, ",“,That's no reason at 
' snid the Sandman. ,“,Many@a first-rate sv
 as you mentions.'' ,“,As to that I can't s
 ve're consarned.'' ,“,"De@il a bit,'' rejoi"
sort of customer.'' ,“,"Vell, you'll find ou"
andman jumped down. ,“,Ihe ale I drank at t
imsolf on the bulk; ,“,I@l1 just take a sno
 some] trepidation. ,“,"Look np, and you@ll "
him@a military sir. ,“,He seems a-valkin' i
ttered the Sandman. ,“,He's a-speakin' to s
me von unwisible.'' ,“,Hush-hushl'' whisper
"t] he's a-sayin','' ",“,Why havre you brough
at is to be done 1' ,“,It makes my blood ru
e think he sees 2'' ,“,Why do you not speak
y across the plank. ,“,"See, he's a-goin' th"
 crioed the Tinker. ,“,Let'a foller him.'' 
 with apprehension. ,“,We shall see summast
" aray our senses,'' ",“,Tut'' cried the Tink
 towards the dooir. ,“,"Now, then, Sandman l"
 the dark lanutern; ,“,let's take him below
hance to pcep in.'' ,“,Shnll wo strip him h
'' said the Tinker. ,“,Now the darkey sline
 the cnll has on.'' ,“,Do you vant to ha@e 
ing into the @ault. ,“,"Hoist him down here,"
"n, appeared at it., ",“,There the villsins a
nted the new comer. ,“,They hanve been murd
kull ain't broken.' ,“,It is to be hoped it
ody was bronght in. ,“,Do@'t be cryin' ont 
'artics@-ot lu@k 2' ,“,"Oh, pretty midllin',"
able with an oasth. ,“,I vish I@d ne@er und
o@er them papers.'' ,“,Look 'em over yourse
e book towards him. ,“,I@'e done wi'@'em. H
ds with great glee. ,“,Wot'a the matter2'' 
quietly smoking it. ,“,"Wot's t@l row, eh 27"
"t's t@l row, eh 27' ",“,"Vy, this is it,'' re"
ooking hard at him. ,“,Wot kind o' seecrets
ecrets are they 2'' ,“,"Vy, hangi@' secrets@"
ysterious emphasis. ,“,He seems to be a ter
"murder wholesale,'' ",“,Wholesale I'' echoed
pipe from his lips. ,“,That sounds awful. B
imes i' that way.'' ,“,He didn't expect the
'' said the Tinker. ,“,"Werry likely not,'' "
d to be wound up.'' ,“,Ou@m is a different 
replied tho Tinker. ,“,Tlis seems a werry m
u take him to be2'' ,“,"Vy, five-an'-twenty "
replied the Tinker. ,“,Thero's dates as far
" reckonin' there,'' ",“,"No, it's all clenr a"
uy 'eP ] from us.'' ,“,That's a@view o' the
replied the Tinker. ,“,Any address 7'' aske
ker shook his head. ,“,"That's unlucky agin,"
'' said the Tinker. ,“,"Vy, zounds, then, ve"
 cried the Sandman. ,“,But it don't matter.
one lis bus'ness.'' ,“,"Nu@Hin' o' th@ kind,"
replied the Tinker. ,“,Ha al@ays recovers f
"ion he must have,'' ",“,Snrprisin' 1'' repli
'' said the Tinker. ,“,"And so am I,'' said "
of their di@@@@@se@ ,“,"Wy, @ot c@n you know"
tly rather annoyed. ,“,"I only know this,'' "
' added tue Tinker. ,“,Not that I pays much
"lf immortnl-oeh 2"""" ",“,"Exaetly so,'' replic"
 t pnr@sued Ginger. ,“,"A desperato lot,'' r"
' said the Sandman. ,“,There's no difficult
'' rejoined Ginger. ,“,Yon must be constant
me time or other.'' ,“,"That's true,'' repli"
og-fancier myself@' ,“,It's a good business
 that werry night.' ,“,Ha 1-ha 1-ha I'' lau
laughed the others. ,“,"Vell, she sent four "
r dog safe there.'' ,“,"Oh1t Miss Bailey, un"
'' sang the Tinker. ,“,But there's dog-fanc
 asked tho Sandman. ,“,"Lor' bless 'ee, yes,"
",'' replied Ginger; ",“,there@s as many fanc
a desd certainty.'' ,“,That seems hard on u
"dman, re@lectisely. ",“,It's tho law 1'' exc
s'' pursued Ginger. ,“,I wos a@standin' at 
aughed the Sandman. ,“,Some of the Fancy is
so@o on 'em doos.'' ,“,And you're nlways su
nquired t@l Tinker. ,“,"Al@ays,'' replied CG"
'' replied CGingcr. ,“,No man's dog is safe
er me at a gallop.' ,“,And do respectabloe 
 to our customer.'' ,“,Oh. t@atas how it's 
markcd tle Sanuman. ,“,"Yes, thnt's the vay,"
",'' replied Ginger. ",“,Sometimes a party'll
ranges our plans.'' ,“,"Vell, yourn appears "
arked thce Sandman. ,“,"Perfectly so,'' renl"
",'' renlied Ginger. ",“,Nothiu' can touch us
occur in my time.'' ,“,"Let's hopo not,'' r@"
ned thoe otler t@o. ,“,To come back to the 
curred yesterday.'' ,“,Walkler I'' exclaime
finger to hi@@@@s@@ ,“,"You may larf, but it"
replied the Tinker. ,“,I recollect an old m
older nor younger'' ,“,Humph l'' exclaimed 
' exclaimed Ginger. ,“,He don't look so old
 look so old now.'' ,“,That'a the cur'ouses
' sasid tho Tinker. ,“,H@ don't like to tal
"days, @ad brew'd,'' ",“,P@hawI'' exclaimed G
'a story as that.'' ,“,Let's have the old f
"a shrill, odd tone, ",“,Whether they hmad se
to laugh at him ?'' ,“,"Sartaiuly not, deput"
d tho con@ersation. ,“,"I say, deputy,'' he "
an settle for ns.'' ,“,"WeIl, let's see,'' s"
squeaked the dwnr@. ,“,"What is it?"" @Vy, it"
"wnr@. @What is it?"" ",“,"Vy, it's relative to"
ejoinel the Tinker. ,“,Wen wos yo@ born 2''
en wos yo@ born 2'' ,“,"It's so lo@g ago, I "
ress with his grog. ,“,I@rayther think I ha
iquil had loosened. ,“,I@ve seen this r2 LL
' pursued Old Parr. ,“,The whole aspect of 
one-all are gone 1' ,“,Thoso must ha' been 
ses out o' joint.'' ,“,"True,'' replied Old "
k-and-tan spanicls. ,“,What1 old Rowley ?''
ion at his heels.'' ,“,Old Rowley wos as ki
' renlied Old Purr. ,“,"I@@e seen so much, a"
 altogether wunt.'' ,“,You talk like one o'
'' obser@ed Ginger. ,“,But yon make me long
' replied Old Parr. ,“,I@ve seen fellows ju
nsequential manner. ,“,"Now, doorin' all tha"
' replied Old Parr. ,“,MIy bodily health ha
" little impaired,'' ",“,"Not a little, I shou"
ming significantly. ,“,I don't know vether 
It's not in nater'' ,“,"Very well, then-I ha"
@ th@@@@o@@@ youth. ,“,You've seen some pic
