Contexte gauche,Chaîne,Contexte droit
"lled “@lamb’s-wool,”",', composed of sturdy 
" him, good Baldred,”",', he cried. “The atte
commit the offence.”,'," “It may be, doctor,"
"“It may be, doctor,”",', replied Baldred; “@
rmit their removal.”,'," “I know it,”@ repli"
"oval.”@ “I know it,”",', replied Doctor Lamb
ave been disturbed.”,', “They were the head
"f two rank papists,”",'," replied B@aldred, “"
 against the queen.”,', “@But their names?”
 “@But their names?”,', demanded the doctor
 were they called@?”,', “They were father a
"ere father and son,”",', replied Baldred@—“@
n to your worship@?”,', “@Too well—too well
Too well—too well@!”,', replied Doctor Lamb
"rity, a fair youth,”",'," replied Baldred, ho"
"re are his tablets,”",'," he added, taking a "
thers—Auriol Darcy.”,'," “I see it all,”@ cr"
"y.”@ “I see it all,”",', cried Lamb. “It was
"spatch, I pray you.”",', As the gatekeeper e
"hich you smote him,”",'," cried Doctor Lamb, "
be speedily abated.”,', “I know your worshi
"accomplish wonders,”",'," cried Baldred, thro"
as gently as I can.”,', And as the alchem@i
" all over with him,”",', murmured the gateke
"t touched you, sir,”",', replied Baldred. “I
" wiped the halberd,”",', he added to himself
ave you done to me?”,'," he asked, with a lo"
most insupportable.”,', “You are cared for 
"irurgeon in London,”",', replied Baldred. “I
y heal your wounds.”,'," “@Do not delay, the"
"Do not delay, then,”",', replied Auriol@ fai
s ebbing fast away.”,', “@Press this handke
he is your kinsman.”,', “It is the first I 
"ch, Flapdragon, eh?”",'," cried Baldred. “Ay,"
" “Ay, marry have I,”",'," replied the dwarf, "
 smeared@ it again.”,', “Whereby you put th
" to exquisite pain,”",', replied Baldred; “@
 to the laboratory.”,', “I know not if th@e
"re to be disturbed,”",', said Flapdragon. “H
 a grand operation.”,', “I will take the ri
"the risk on myself,”",', said Baldred. “The@
s fainted already@!”,'," Thus urged, the dwa"
" against the chair,”",'," he cried, hastily, "
ble. I am busy now.”,'," “These relics, doct"
"ese relics, doctor,”",', cried@ the gatekeep
 them back with me.”,', “Heed them not—they
"safe in my keeping,”",', cried Doctor Lamb@ 
o-morrow—to-morrow.”,', Casting a furtive g
d do next. “Begone!”,'," cried the doctor, s"
"s, “@@the Malachim,”",', and “@the Passing o
ssing of the River.”,', One of these scroll
"apture. “At length,”",', he exclaimed aloud—
iarch ever enjoyed.”,', While thus speaking
 “To live for ever!”,'," he cried, after a p"
!—where can it lie?”,', And he relapsed int
"n all my happiness,”",', he continued; “@I s
 need be desir@ed@?”,'," “W@hat more, indeed"
"@hat more, indeed@!”",', cried Auriol. “Ha!”
 cried Auriol. “Ha!”,', exclaimed the docto
"on is vain, doctor,”",', said Auriol. “I hav
d the elixir vitæ .”,', “@Fancy I have disc
body against decay.”,', “The man who brough
"ou were my kinsman,”",', said Auriol. “Is it
Auriol. “Is it so@?”,'," “It is,”@ replied t"
"s it so@?”@ “It is,”",'," replied the doctor,"
"that ghastly relic,”",'," he added, pointing "
e brought together.”,', “Gracious Heaven!” 
to avoid the stake.”,', “@It is true that I
" I bear at present,”",', replied the old man
ated by repentance.”,', “Were they deeds of
hey deeds of blood?”,', asked Auriol. “One 
"uriol. “One was so,”",'," replied Darcy, with"
possess it.’” “H@a!”,'," exclaimed Auriol, s"
"ed than acted upon,”",', pursued Darcy. “@In
tion of the elixir.”,', “When did you regai
regain the secret@?”,', asked Auriol@ curio
"riously. “To-night,”",', replied Darcy—“@@wi
"ad brought with me,”",', pursued Darcy. “Fea
urchase it from me.”,', Auriol gazed earnes
"tivity as yourself,”",', continued Darcy. “@
ready young again@!”,', “You spoke of two c
"ience was burdened,”",', remarked Auriol. “Y
mentioned @but one.”,', “The other was not 
"t I have described,”",'," @replied Darcy, in "
"serve as a warning,”",', said Auriol. “@@Wha
 it on some animal.”,', “@No—no; it is the 
"is the true elixir,”",', replied Darcy. “Not
an I was at twenty.”,'," “M@e@antime, I bese"
"me some assistance,”",'," groaned Auriol, “or"
e before your eyes.”,'," “Be not afraid,”@ r"
".”@ “Be not afraid,”",', replied Darcy; “you
d perfect recovery.”,'," “Drink, then, to it"
"what stays my hand,”",'," said the old man, r"
"e the potion, then,”",', cried Auriol. “@Not
". “@Not for worlds,”",'," rejoined Darcy, hug"
w for the trial—ha!”,'," and, as he raised t"
. “@W@hat is this@?”,'," he cried, staggerin"
roat—quick! quick@!”,', “I am too weak to s
"m too weak to stir,”",', groaned Auriol. “@Y
elayed it too long.”,'," “@Oh, h@eavens! we "
" shall both perish,”",'," shrieked Darcy, vai"
sful shore in view.”,', And he sank backwar
. “Help me—help me!”,'," he screamed, fixing"
"orth@ the struggle,”",'," cried Auriol. And, "
man. “Saved—saved@!”,', shrieked Darcy. “Po
done this for you@?”,'," cried Auriol, snatc"
e potion; “@@no—no.”,'," And, supporting him"
"ndred years henc@e,”",'," he thought, “@@and "
