Contexte gauche,Chaîne,Contexte droit
 @@@@@@@@@@The@ Elix, ,i@@@@r@ of L@@@@@@@@
t@@@@@@@@@@@@@@@@r@a, ,ti@@@@@@@on@@@@@@@@@
@@@@@@@@@@@@@@@@@@@g, ,u@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@5, ,9@9@@@ D@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@5@9, ,9@@@ D@@@@@@@@@@@@@@
ainst the queen.”@ “, ,But their names?”@ d
How were they called, ,?”@ “They were fathe
"n,”@ replied Baldred", ,—“@@Sir Simon Darcy 
nown to your worship, ,?”@ “@Too well—too w
o your worship@?”@ “, ,Too well—too well@!”
 “@Too well—too well, ,!”@ replied Doctor L
this strange attempt, ,"?” “Of a verity, a f"
s? Finish me at once, ,—Oh!” And overcome b
look of gratitude; “, ,the torture of my wo
eal your wounds.”@ “, ,"Do not delay, then,”"
bbing fast away.”@ “, ,Press this handkerch
". Blear-eyed, smoke-", ,"begrimed, lantern-ja"
fish set of teeth. “, ,My master ordered me
@ replied Baldred; “, ,but help me to trans
 has fainted already, ,"!”@ Thus urged, the "
"he Malachim,”@ and “", ,the Passing of the R
ing of the volatile—, ,this elixir shall re
opening to devour me, ,!—to be free from al
e from all accidents, ,!—’tis a glorious @@
"s,”@ he continued; “", ,I shall live in cons
tter! Perpetual life, ,!—perpetual youth@!—
fe@!—perpetual youth, ,!—what more need be 
ore need be desir@ed, ,"?”@ “W@hat more, ind"
" “W@hat more, indeed", ,!”@ cried Auriol. “H
 beneath his gown. “, ,Your caution is vain
he elixir vitæ .”@ “, ,Fancy I have discove
id Auriol. “Is it so, ,"?”@ “It is,”@ replie"
ding from the bag: “, ,that was once my son
avoid the stake.”@ “, ,It is true that I fl
",”@ pursued Darcy. “", ,Instantly drawing my
ou regain the secret, ,?”@ asked Auriol@ cu
page free from blood, ,!” Auriol uttered a 
t he said nothing. “, ,In a few moments I s
@ continued Darcy. “, ,We shall be no longe
"cendant, but friends", ,"—@companions—equals,"
 already young again, ,!”@ “You spoke of tw
 on some animal.”@ “, ,No—no; it is the tru
it!” cried Auriol. “, ,I know not what stay
are not grasp it.” “, ,"Give me the potion, "
"n,”@ cried Auriol. “", ,"Not for worlds,”@ re"
 across his heart. “, ,W@hat is this@?”@ he
art. “@W@hat is this, ,"?”@ he cried, stagge"
"cried, staggering. “", ,Can death assail me 
 throat—quick! quick, ,!”@ “I am too weak t
”@ groaned Auriol. “, ,You have delayed it 
yed it too long.”@ “, ,"Oh, h@eavens! we sha"
ld man. “Saved—saved, ,!”@ shrieked Darcy. 
all will be well.” “, ,Think you I have don
ve done this for you, ,"?”@ cried Auriol, sn"
are to disclose them, ,!”@ As he ruminated 
an like a silver bel, ,t@@@@@@@@@@@@@@@@@@@
" this matter, Tinker", ,?” observed the shor
cove’@s sure to come, ,"?” “Why, you can’t e"
replied the other; “, ,but if his own word’
 the same hour——’” “, ,And that wos one o’c
that wos one o’clock, ,?”@ said the Sandman
ne of our perfession, ,?”@ inquired the San
 Sandman. “Bless you, ,"! no—that he ain’t,”"
eplied the Tinker. “, ,"So come along, and d"
ake me up if I snore, ,—or ven our sperrit 
ispered—“@@He’s here, ,!”@ “V@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@here, ,—@@@vhere@?”@ demand
@@@@@@here@—@@@vhere, ,?”@ demanded the San
ispered the other. “, ,Let’s hear wot@ he’s
 “What is to be done, ,?” “It makes my bloo
ered@ the Sandman. “, ,Vot d’ye think he se
t d’ye think he sees, ,?”@ “Why do you not 
 you not speak to me, ,?”@ cried the young 
 cried the young man, ,—“@why do you beckon
ied the young man@—“, ,why do you beckon me
et’s foller him.”@ “, ,I don’t half like it
ot are you afeerd on, ,?”@ With this he vau
" “Now, then, Sandman", ,!”@ cried the Tinker
r; “@now’s your time, ,"!” The other nodded,"
ess to the ground. “, ,The vork’s done!”@ c
 victim. “@@A reader, ,!—I hope it’s well l
"ve us scragged, fool", ,?”@ cri@ed the Sandm
and piece of iron. “, ,"Here, watchmen@!”@ c"
"on. “@Here, watchmen", ,!”@ cried the stout 
any hatterosity.”@ “, ,What a frightful scr
man down on the sofa, ,"—there, gently, gent"
"mart, clever fellow,", ,—and adroit and knav
 sly look inquired—“, ,"Vell, my ‘arties—wot"
 my ‘arties—wot luck, ,"?” “Oh, pretty middl"
"t his pocket-book, “", ,we’ll see what fortu
ertaken the job.”@ “, ,Don’t let’s give it 
". “Wot’s the row, eh", ,"?”@ “Vy, this is it,"
uble for nuffin’.” “, ,Glad to hear it@!”@ 
.” “@Glad to hear it, ,!”@ said the Sandman
o’ se@crets are they, ,"?”@ “Vy, hangin’ sec"
lesale.”@ “Wholesale, ,!”@ echoed the Sandm
plied the Sandman. “, ,Five-an’-sixty ‘ud b
ar back as that.”@ “, ,Five-an’-sixty devil
 other dokiments.” “, ,They must relate to 
an refer to him.”@ “, ,But I tell ‘ee they 
lied th@e Sandman. “, ,Wot’s the gemman’s n
’s the gemman’s name, ,?”@ “@The name on th
 gemman’s name@?”@ “, ,The name on the card
Tinker. “Any address, ,?”@ asked the Sandma
 said the Sandman. “, ,Ain’t there no sort 
 no sort o’ clue?” “, ,"None votiver, as I c"
ind of accident.”@ “, ,Alvays recovers@!”@ 
”@ “@Alvays recovers, ,!”@ exclaimed the Sa
"man, in amazement. “", ,Wot a constitootion 
 have!”@ “Surprisin’, ,!”@ replied the Tink
red years hence.”@ “, ,"Oh, he’s a lu-nattic"
ke summat of it.”@ “, ,"Vell, I’m agreeable,"
 said the Sandman. “, ,"And so am I,”@ added"
hisself immortal—@eh, ,"?”@ “Exactly so,”@ r"
ts restitootion.”@ “, ,We must find him out
 replied the Sandman, ,; “@and there’s no f
at werry night.” “Ha, ,!—ha@!—ha@!”@ laughe
rry night.” “Ha@!—ha, ,!—ha@!”@ laughed the
ight.” “Ha@!—ha@!—ha, ,!”@ laughed the othe
ortinate Miss Bailey, ,!—Fol-de-riddle-tol-
" France, ain’t there", ,?”@ asked the Sandma
llinsgit market.”@ “, ,Then you’re alvays s
 the two perfessions, ,:—@I steals a dog—wa
ger@ triumphantly. “, ,"Now, ve generally es"
