Contexte gauche,Chaîne,Contexte droit
 OX F O RD This book, ,is part of the colle
t . s as oly interva, ,tlelete Nos: LEWIS A
. -ii sx; . t. :. Pg, ,'i5 R:32 'a R rA h I
L 4s 1 A VMh : . h 5, ,1 IIea I I --:: YI .
4s 1 A VMh : . h 5 1, ,IIea I I --:: YI . 1
ainst tha qucen.'' e, ,But their names?'' d
How were they called, ,7'' @They wero fathe
"n,'' replied Baldred", ,;-: Sir Simon Darey 
nown to your worship, ,7'' e Too well-too w
o your worship 7'' e, ,Too well-too well 1'
 e Too well-too well, ,1'' repliel Doctor L
tlis strange attempt, ,"'' @Of a rerity, a f"
s? Finish me at onco, ,-Oh@' And overeome b
look of gratitudo; `, ,tlo torture of my wo
eal your wounds.'' e, ,"Do not delay, then,'"
bbing fast away.'' e, ,Press this hnndkerch
". Blear-eyed, smoke-", ,"begrimel, lantern-ja"
fish set of teeth. ', ,My master ordered me
' replied Baldred; `, ,but help me to trans
 las fainted alrealy, ,"I'' Thus urged, the "
"he Malachim,'' and `", ,the Passing of the R
ing of the @olatile;, ,this elixir shall re
opening to de@our me, ,1-to he free from al
e from all aecidents, ,1-'tis a glorious 14
"s,'' he continued; `", ,I shall li@e in cons
tterl Perpetunl lifo, ,l-perpetual youth 1-
fo l-perpetual youth, ,1-what more ueed be 
ore ueed be desiroed, ,"7'' @Wwhat more, ind"
" @Wwhat more, indeed", ,1'' cried Auriol. @H
 beneath his go@n. e, ,Yonr caution is vnin
he olixir vit@@.'' e, ,Fancy I have discore
id Auriol. @Is it so, ,"t'' @It is,'' re@lie"
"ding from the bag, """, ,that was onco my son
avoid the stake.'' e, ,It is true that I fl
",'' pursued Darey. `", ,Instantly drawing my
ou regain the secret, ,"2'' asked Auriol, cn"
page free from blood, ,1' Auriol uttered a 
t he said nothing. t, ,In a few moments I s
' continued Darey. s, ,We shall be no longe
"cendant, but friends", ,"--companions-equals,"
 already yonng sgain, ,l'' @Yon spoke of tw
 on somo animal.'' e, ,No-no; it is tho tru
it'' eried Anriol. 4, ,I know not what stay
are not grasp it'' t, ,"Give mo the potion, "
"n,'' eried Auriol. e", ,"Not for worl@s,'' re"
 aeross his henrt. e, ,WVhat is this 2'' he
nrt. e WVhat is this, ,"2'' he cried, stagge"
"cried, staggering. 2", ,Can death assail me 
 throat-quickI @uick, ,:'' @I am too weak t
'' groaned Auriol. e, ,You la@a delayed it 
yed it too long.'' e, ,"Oh, HIea@ensl we sha"
ld man. @Saved-saved, ,1'' shrieked Darcy. 
"all will be well@, e", ,Think you I have don
ve done this for you, ,"7'' cried Auriol, sn"
are to disclose them, ,l'' As he ruminated 
an like a silver bel, ,TEIE BUAED RODBE IN 
" this matter, Tinker", ,2' observed the shor
co@e'as sure to come, ,"f' @Why, you can't e"
replied the other; ', ,but if his own word'
" the same honr---' """, ,And that wos one o'c
that wos one o'clock, ,?'' said the Sandman
ne of our perfession, ,7'' inquired the San
 Sandman. @Bless yon, ,"1 no-that he ain't,'"
"eplied the Tinker. """, ,"So come along, and d"
ake me up if I snore, ,-or @en our sperrit 
ispered--t He's here, ,I'' TIE RDD OUBE TRE
XHALL-ROAD. 29] here, ,--- vhere t'' demand
. 29] here --- vhere, ,t'' demanded the San
ispered the other. ', ,Let's hear wot] he's
 s hat is to be done, ,1' @It makes my bloo
ered] the Sandman. e, ,Vot d'ye think he se
t d'ye think he sees, ,2'' @Why do you not 
 you not speak to me, ,f'' cried the young 
 cried the young man, ,-' why do yon beckon
ied the young man -', ,why do yon beckon me
et'a foller him.'' e, ,I don't half like it
ot are yon afeerd on, ,7'' With this he @au
" @Now, then, Sandman", ,l'' cried the Tinker
r; ``now's your time, ,"t' The other nodded,"
ess to the gronnd. ., ,Tho @ork@e donet'' e
" victim, '' A reader", ,l-I hopo it's well l
"@e @s scragged, fool", ,?'' crioed tha Band@
and piece of iron. %, ,"Here, watclmen ?'' e"
"on. % Here, watclmen", ,?'' eried tho stout 
"any hatterosity,'' e", ,What a frightful scr
man down on the sofa, ,"-there, gently, gent"
"mart@ cle@er fellow,", ,-and adroit and kn@s
 sly look inquired-e, ,"Vell, my 'artics@-ot"
 my 'artics@-ot lu@k, ,"2' @Oh, pretty midll"
"t his pocket-book, `", ,we@ll see what fortu
ertaken the job.'' e, ,Don't let's gi@e it 
". @Wot's t@l row, eh", ,"27' @Vy, this is it,"
"uble for nuffin',' t", ,Glad to hear it l'' 
",' t Glad to hear it", ,l'' said the Sandman
o' seecrets are they, ,"2'' @Vy, hangi@' sec"
"lesale,'' @Wholesale", ,I'' echoed the Sandm
plied the Sandman. e, ,Fi@e-an'-sixty 'ud b
ar back as that.'' e, ,Five-an'-sixty devil
