Contexte gauche,Chaîne,Transcription,Contexte droit
"alled “@lamb’s-wool,",”,',@ composed of sturdy
"l him, good Baldred,",”,',@ he cried. “The att
 commit the offence.,”,',"@ “It may be, doctor"
" “It may be, doctor,",”,',@ replied Baldred; “
ermit their removal.,”,',"@ “I know it,”@ repl"
"moval.”@ “I know it,",”,',@ replied Doctor Lam
have been disturbed.,”,',@ “They were the hea
"of two rank papists,",”,',"@ replied B@aldred, "
g against the queen.,”,',@ “@But their names?
@ “@But their names?,”,',@ demanded the docto
"were father and son,",”,',@ replied Baldred@—“
"erity, a fair youth,",”,',"@ replied Baldred, h"
"ere are his tablets,",”,',"@ he added, taking a"
others—Auriol Darcy.,”,',"@ “I see it all,”@ c"
"cy.”@ “I see it all,",”,',@ cried Lamb. “It wa
"espatch, I pray you.",”,',@ As the gatekeeper 
"which you smote him,",”,',"@ cried Doctor Lamb,"
 be speedily abated.,”,',@ “I know your worsh
" accomplish wonders,",”,',"@ cried Baldred, thr"
 as gently as I can.,”,',@ And as the alchem@
"s all over with him,",”,',@ murmured the gatek
ions with the devil.,”,', While Baldred was r
nish me at once@—Oh!,”,', And overcome by ang
"ot touched you, sir,",”,',@ replied Baldred. “
"e wiped the halberd,",”,',@ he added to himsel
"hirurgeon in London,",”,',@ replied Baldred. “
ly heal your wounds.,”,',"@ “@Do not delay, th"
"@Do not delay, then,",”,',@ replied Auriol@ fa
is ebbing fast away.,”,',@ “@Press this handk
"ide, and lean on me,",”,',@@@@@@@@@@@ said Bal
"I ever heard of him,",”,', replied Auriol@ fai
". “Ay, marry have I,",”,',"@ replied the dwarf,"
n smeared@ it again.,”,',@ “Whereby you put t
"t to exquisite pain,",”,',@ replied Baldred; “
m to the laboratory.,”,',@ “I know not if th@
"are to be disturbed,",”,',@ said Flapdragon. “
n a grand operation.,”,',@ “I will take the r
" the risk on myself,",”,',@ said Baldred. “The
"d against the chair,",”,',"@ he cried, hastily,"
uble. I am busy now.,”,',"@ “These relics, doc"
"hese relics, doctor,",”,',@ cried@ the gatekee
e them back with me.,”,',@ “Heed them not—the
" safe in my keeping,",”,',@ cried Doctor Lamb@
to-morrow—to-morrow.,”,',@ Casting a furtive 
"es, “@@the Malachim,",”,',@ and “@the Passing 
assing of the River.,”,',@ One of these scrol
"rapture. “At length,",”,',@ he exclaimed aloud
riarch ever enjoyed.,”,',@ While thus speakin
"on all my happiness,",”,',@ he continued; “@I 
"ion is vain, doctor,",”,',@ said Auriol. “I ha
ed the elixir vitæ .,”,',@ “@Fancy I have dis
 body against decay.,”,',@ “The man who broug
"you were my kinsman,",”,',@ said Auriol. “Is i
"Is it so@?”@ “It is,",”,',@ replied the doctor
" that ghastly relic,",”,',"@ he added, pointing"
re brought together.,”,',@ “Gracious Heaven!”
 to avoid the stake.,”,',@ “@It is true that 
"e I bear at present,",”,',@ replied the old ma
iated by repentance.,”,',@ “Were they deeds o
"Auriol. “One was so,",”,',"@ replied Darcy, wit"
"ved than acted upon,",”,',@ pursued Darcy. “@I
ition of the elixir.,”,',@ “When did you rega
"uriously. “To-night,",”,',@ replied Darcy—“@@w
"had brought with me,",”,',@ pursued Darcy. “Fe
purchase it from me.,”,',@ Auriol gazed earne
"ctivity as yourself,",”,',@ continued Darcy. “
"cience was burdened,",”,',@ remarked Auriol. “
 mentioned @but one.,”,',@ “The other was not
"at I have described,",”,',"@ @replied Darcy, in"
" serve as a warning,",”,',@ said Auriol. “@@Wh
f it on some animal.,”,',@ “@No—no; it is the
" is the true elixir,",”,',@ replied Darcy. “No
han I was at twenty.,”,',"@ “M@e@antime, I bes"
" me some assistance,",”,',"@ groaned Auriol, “o"
re before your eyes.,”,',"@ “Be not afraid,”@ "
"s.”@ “Be not afraid,",”,',@ replied Darcy; “yo
nd perfect recovery.,”,',"@ “Drink, then, to i"
" what stays my hand,",”,',"@ said the old man, "
"me the potion, then,",”,',@ cried Auriol. “@No
"l. “@Not for worlds,",”,',"@ rejoined Darcy, hu"
"am too weak to stir,",”,',@ groaned Auriol. “@
delayed it too long.,”,',"@ “@Oh, h@eavens! we"
"e shall both perish,",”,',"@ shrieked Darcy, va"
"worth@ the struggle,",”,',"@ cried Auriol. And,"
he potion; “@@no—no.,”,',"@ And, supporting hi"
"undred years henc@e,",”,',"@ he thought, “@@and"
"peril to be avoided,",”,',@ he thought;@@ ”ONE
his place fevers me.,”,',"@@ With this, he lef"
"for myself, Sandman,",”,',@ replied the other;
at wos one o’clock@?,”,',@ said the Sandman. 
"ndman. “Thereabouts,",”,',@ replied the other.
"o hisself, I s’pose,",”,',@ answered the Tinke
see no one vith him.,”,',@ “Do you think he’s
"@! no—that he ain’t,",”,',@ returned the Tinke
"’s no reason at all,",”,',@ said the Sandman. 
 on as you mentions.,”,',@ “As to that I can’
"to that I can’t say,",”,',@ replied the Tinker
 as ve’re consarned.,”,',"@ “Devil a bit,”@ re"
"ned.”@ “Devil a bit,",”,',@ rejoined the Sandm
nt sort of customer.,”,',"@ “Vell, you’ll find"
" may depend upon it,",”,',@ replied the Tinker
 ould vimen’s tales.,”,',@ With this they eme
"called “in Chancery,",”,',@ and shared the fat
"feel drowsy, Tinker,",”,',"@ he remarked, stret"
our sperrit appears.,”,',@ Th@e Tinker replie
" and you’ll see him,",”,',@ replied the other.
"alkin’ in his sleep,",”,',@ muttered the Sandm
 some von unwisible.,”,',@ “Hush—hush!”@ whis
"un cold to hear him,",”,',@ whispered@ the San
. I will follow you.,”,',@ And he moved slowl
"’ through that door,",”,',@ cri@ed the Tinker.
. “Let’s foller him.,”,',@ “@I don’t half lik
" don’t half like it,",”,',@ replied the Sandma
"elow, and strip him.",”,',"@ “@Agreed,”@ replie"
"rip him.”@ “@Agreed,",”,',@ replied the Tinker
 got in his pockets.,”,',"@ “Vith all my ‘art,"
"@ “Vith all my ‘art,",”,',@ replied the Sandma
d chance to peep in.,”,',@ “Shall we strip hi
ogs the cull has on.,”,',@ “Do you vant to ha
" us scragged, fool@?",”,',@ cri@ed the Sandman
 skull ain’t broken.,”,', “It is to be hoped 
"t, Mr. Thorneycroft,",”,',@ replied the foremo
ung gentleman along.,”,',@ Preceded by Mr. Th
" in that way, Peggy,",”,',@ cried Mr. Thorneyc
urbed for the world.,”,',"@ With this, he snat"
"Oh, pretty middlin’,",”,',@ replied the Sandma
"ompanions. “And now,",”,',"@ said the Sandman, "
ortun’ has given us.,”,',"@ So saying, he uncl"
"ot into the bargain,",”,',"@ cried the Sandman,"
 undertaken the job.,”,',@ “@Don’t let’s give
"up in sich an ‘urry,",”,',@ replied the Tinker
ok over them papers.,”,',@ “Look ’em over you
"k ’em over yourself,",”,',@ rejoined the Sandm
"?”@ “Vy, this is it,",”,',@ replied the Tinker
"y, hangin’ secrets ,",”,',@ replied the Tinker
 crimes i’ that way.,”,',@ “He didn’t expect 
"@all into our hands,",”,',@ said the Tinker. “
". “Werry likely not,",”,',@ replied the Sandma
"bus’ness altogether,",”,',@ replied the Tinker
"enty at the outside,",”,',@ replied the Sandma
" be nearer the mark,",”,',@ replied the Tinker
as far back as that.,”,',@ “@Five-an’-sixty d
"l clear an’ reg’lar,",”,',@ rejoined the other
" his granddad, then,",”,',@ said the Sandman; 
ey can refer to him.,”,',@ “@But I tell ‘ee t
"hey do refer to him,",”,',"@ said the Tinker, s"
o buy ’em@@ from us.,”,',@ “That’s a view o’ 
"n Old Bailey lawyer,",”,',@ replied th@e Sandm
"d is Auriol Da@@rcy,",”,',@ replied the Tinker
"That’s unlucky agin,",”,',@ said the Sandman. 
", as I can perceive,",”,',@ said the Tinker. “
"ere ve started from,",”,',@ cried the Sandman.
s done his bus’ness.,”,',@ “Nuffin’ o’ the ki
"Nuffin’ o’ the kind,",”,',@ replied the Tinker
ry kind of accident.,”,',@ “@Alvays recovers@
hundred years hence.,”,',"@ “@Oh, he’s a lu-na"
f I ain’t cured him.,”,',@ “I’m of a differen
"a different opinion,",”,',@ said the Tinker. “
"inker. “And so am I,",”,',"@ said Mr. Ginger, w"
". “I only know this,",”,',"@ replied Ginger, “@"
"Vell, I’m agreeable,",”,',@ said the Sandman. 
"dman. “@And so am I,",”,',@ added the Tinker. 
"adin’ in his papers,",”,',@ purus@ed Ginger; “
"@eh@?”@ “Exactly so,",”,',@ replied the Tinker
"r. “A desperate lot,",”,',@ replied the Tinker
"papers at any price,",”,',@ @said Ginger. “Ve’
or its restitootion.,”,',@ “@We must find him
" find him out first,",”,',@ said the Sandman. 
" difficulty in that,",”,',@ rejoined Ginger. “
 some time or other.,”,',"@ “That’s true,”@ re"
"her.”@ “That’s true,",”,',@ replied the Sandma
"e head.” “Arter all,",”,',"@ said the Tinker, “"
 dog-fancier myself.,”,', “It’s a good busine
"t’s a good business,",”,',"@ replied Ginger, “@"
@t that werry night.,”,', “Ha@!—ha@!—ha@!”@ l
 her dog safe there.,”,',"@ “Oh!@ Miss Bailey,"
"Lor’ bless ‘ee, yes,",”,',@ replied Ginger; “t
r Billinsgit market.,”,',@ “@Then you’re alva
"eady market somehow,",”,',@ observed the Sandm
to a dead certainty.,”,',@ “That seems hard o
"at seems hard on us,",”,',@ observed the Sandm
 delivered up to us.,”,',@ “The law seems mad
"de for dog-fanciers,",”,',@ remarked the Tinke
"is given to cruelty,",”,',"@ pursued Ginger, “@"
as some on ’em does.,”,',@ “And you’re always
"the Tinker. “Alvays,",”,',@ replied @Ginger. “
rter me at a gallop.,”,', “And do respectabl@
"er. “Ay, to be sure,",”,',@ replied Ginger; “@
vay to our customer.,”,',@ “Oh! that’s how it
hat’s how it’s done?,”,',@ remarked the Sandm
"Yes, that’s the vay,",”,',@ replied Ginger. “S
 arranges our plans.,”,',"@ “Vell, yourn appea"
"loyment, I must say,",”,',@ remarked th@e Sand
"dman. “Perfectly so,",”,',@ replied Ginger. “N
’t occur in my time.,”,',"@ “Let’s hope not,”@"
".”@ “Let’s hope not,",”,',@ rejoined th@e othe
"rom vich we started,",”,',@ said th@e Tinker@;
 occurred yesterday.,”,',@ “Walk@er@!”@ excla
"larf, but it’s true,",”,',@ replied the Tinker
n’t look so old now.,”,',@ “That’s the cur’ou
"r’ousest part of it,",”,',@ sa@id the Tinker. 
ife’s story as that.,”,',@ “Let’s have the ol
" in and talk to him,",”,',@ replied the Tinker
" “@Here, lazy-bones,",”,',"@ he added, rousing "
ly to laugh at him@?,”,',"@ “Sartainly not, de"
"rtainly not, deputy,",”,',@ replied the Tinker
"ion. “I say, deputy,",”,',"@ he observed, “@ve’"
u can settle for us.,”,',"@ “Well, let’s see,”"
"”@ “Well, let’s see,",”,',@ squeaked the dwarf
"elative to your age,",”,',@ rejoined the Tinke
" I can’t recollec@t,",”,',@ returned Old Parr@
" think I have—a few,",”,',"@ repli@ed Old Parr,"
"talking for a month,",”,',@ pursued Old Parr. 
"wos used for to ply,",”,',@ chanted @@@@@@@@@@
 noses out o’ joint.,”,',"@ “True,”@ replied O"
"t o’ joint.”@ “True,",”,',@ replied Old Parr; 
ike to think of ’em.,”,',"@ “Vell, I’m content"
"ith Lunnun as it is,",”,',@ replied the Tinker
