Contexte gauche,Chaîne,Transcription,Contexte droit
irthful sports-fox-i,’,',"-th@'hole, blind-nan"
"-th@'hole, blind-nan",’,',"s-buff, or shoe-the-"
 drink called ``lamb,’,',"s-wool,'' composed o"
-bridge. The old man,’,',s bcard and @air wer
pdragon. Doctor Lamb,’,',s gaze was fixed iut
"l, on Saint Nicholas",’,',"s day, three weeks a"
istorted. @I fenr it,’,',"s all over with lim,"
ed from the sufferer,’,',"s countenance, and h"
uldred. @Doctor Lamb,’,',s dwelling is but a 
y were at the doetor,’,',s door. Baldred tapp
 bathed tho sufferer,’,',s temples with the d
lience to his mastcr,’,',"s injunctions, turne"
"o@nd it, were as ram",’,',"s horn, a pair of fo"
iding over a witcles,’,', sabbath. Auriol's b
les' sabbath. Auriol,’,',"s brain reeled, and "
 son fSimon. His son,’,',s hend is within the
the sack-yonr futher,’,',s head-so that four 
ed to the operation.,’,'," Witl this, he unfol"
m some hidden canse.,’,'," Oh, with wlat greed"
nged it to the rabbi,’,',s @cart. Dut mark vh
passed before Anriol,’,',"s eyes, and strange "
ed; so did the death,’,',s-head on the table;
", and their children",’,',s children will be g
ards of several days,’,'," growth; wild, unkem"
tary hualt. @You ain,’,',t a-been a-gammonin'
't a-been a-gammonin,’,'," me in this matter, "
ividual. ss The co@e,’,',as sure to come f' @
"ome f' @Why, you can",’,',t expect me to answe
 but if his own word,’,',s to be taken for it
" be taken for it, he",’,',s sartin to be there
"say, as plainly as @",’,',"m a-speakin' to yo,-"
nly as @'m a-speakin,’,'," to yo,- ITll be her"
""" And that wos one o",’,',clock ?'' said the S
"an. @To hisself, I s",’,',"pose,'' answered the"
.'' @Do you think he,’,',s one of our perfess
yon 1 no-that he ain,’,',"t,'' returned the Ti"
rned the Tinker. eHe,’,',s a reg'lar slap-up 
 Tinker. eHe's a reg,’,',"lar slap-up svell@, "
"lap-up svell@, @That",’,',"s no reason at all,'"
our@line. But he can,’,',t be in his AUnIOD r
'' @As to that I can,’,',"t say,'' replied the"
inker; `` and it don,’,',"t much matter, as fa"
"matter, as far as ve",’,',re consarned.'' @De@
-yon'rs sure it worn,’,',"t a sperrit, Tinker."
"ed, and though I don",’,',t fesr no li@in' man
 don't fesr no li@in,’,'," man, a ghost's a di"
" li@in' man, a ghost",’,',s a different sort o
