Contexte gauche,Chaîne,Transcription,Contexte droit
11 ]laia H U U1Clall,,,1 ]laia H U U1Clalll
Clalll U NIV E R S I,O,T, Y Libraries oOF OX 
R S IT Y Libraries o,r,O,F OX F O RD This boo
ies oOF OX F O RD Th,e,i,s book is part of th
 oOF OX F O RD This ,Elix,book, is part of the coll
his book is part of ,L,t,he collection held b
part of the collecti,f,o,n held by the Bodlei
the collection held ,W,b,y the Bodleian Libra
e Google Books Libra,m,r,y Project For more i
oogle Books Library ,Ha,Pr,oject For more infor
y Project For more i,s,n,formation see: http:
or more information ,A,s,ee: http:l/www.bodle
censed under a Creat,h,i,ve Commons Attributi
ed under a Creative ,W,C,ommons Attribution-N
ommercialShareAlike ,I,2,.0 UK: England & Wal
.0 UK: England & Wal,u,e,s (CC BY-NC-SA 2.0) 
. s as oly interva t,i,l,elete Nos: LEWIS ARU
y interva tlelete No,n,s,: LEWIS ARUNDEL. By 
UNDEL. By F. SzoLs. ,b,H,ARRY CONVERDALE'S CO
"R.,, JACK SHEPPARD. ",B,M,ERVYN CLITHEROE. ROO
LITHEROE. ROOROOD. r,o,h,e LAcasrE wrrcnss.. 
D. rhe LAcasrE wrrcn,e,s,s.. oLD ST. PAULS. C
 FORGIVE HER By Asro,l,s, ToLLor. IIIII 2 3 .
 -ii sx; . t. :. Pg ,u,',i5 R:32 'a R rA h I 
 4s 1 A VMh : . h 5 ,9,1, IIea I I --:: YI . 
s 1 A VMh : . h 5 1 ,9,I,Iea I I --:: YI . 1I
 VMh : . h 5 1 IIea ,D,I, I --:: YI . 1I K : 
" . r. , a3y.. -3 . m",b,i,", . i1 : . ,, YCl IC"
 close. It was the l,a,s,st day of tho last y
s the lsst day of th,e,o," last year, and two "
"year, and two hours ",o,a,nly were wanting to 
er year and of anoth,e,a,or century. The nigh
ful. Myriads of sta@,s,n, pa@ed the deep vnul
a@n pa@ed the deep v,a,n,ult of hea@en; the c
ilver lamp in the mi,d,l,st of them; a stream
 from the north@ tra,v,r,"ersed th@ sky, like "
upendous co@et; whil,e,o, from its point of e
olesome rigour of th,e,o, season. Tho water l
ur of tho season. Th,e,o, water lay in thick 
"ts and wells, and th",e,o, buekets weroe froze
"nd wells, and tho bu",c,e,kets weroe frozen on
s weroe frozen on th,e,c,ir stands. Tho thoro
 on thcir stands. Th,e,o, thoronghfares ADRIO
ir stands. Tho thoro,u,n,ghfares ADRIOL. were
nt to the tread. Her,e,o," and there, a fire w"
mendicants were coll,e,o,"cted, ronsting fragm"
"s were collocted, ro",a,n,sting fragments of m
uck upon iron prongs,",",;, or qunffing deep dr
n iron prongs; or qu,a,n,ffing deep dra@ghts 
deep dra@ghts of met,h,l,"eglin and ale, out o"
lenathern cups@ Crow,d,l,s were collected in 
ng the wonders in th,e,a," hea@ens, and drawin"
", and drawing auguri",e,c,"s from thcm, chiefly"
