Contexte gauche,Chaîne,Transcription,Contexte droit
@@@@@@@@@@@@@@@R@@@I,O,T,@@@L@@@@@@@@ or@ @@@
R@@@IO@@@L@@@@@@@@ o,r,O,@ @@@@@@@@@@The@ Eli
@@@ or@ @@@@@@@@@@Th,e,i,@ Elix@i@@@@r@ of L@
he@ Elix@i@@@@r@ of ,L,t,@@@@@@@@@@if@@@e@@ W
@@r@ of L@@@@@@@@@@i,f,o,@@@e@@ W@@@@@@@@@@@i
L@@@@@@@@@@if@@@e@@ ,W,b,@@@@@@@@@@@i@@@@@@@@
@@@@@@l@@@@@@@@@i@@a,m,r,@ Ha@@@@@@@@r@@@r@@i
@ Ha@@@@@@@@r@@@r@@i,s,n,@o@@@@@@n A@@@@@@@@@
@r@@@r@@is@o@@@@@@n ,A,s,@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@t,h,i,@@ W@@@@@@@@@@@i@@t@
@@@@@@@@@@@@@@@th@@ ,W,C,@@@@@@@@@@@i@@t@@@@@
@@@@@@@@@@h@@@@@@@@ ,I,2,@@@@@@@@@@l@@@@@@@@l
@@@@@@@@@@l@@@@@@@@l,u,e,s@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@r@a@t,i,l,@@@@@@@on@@@@@@@@@@@
@@@@@@r@a@ti@@@@@@@o,n,s,@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@s@ ,b,H,@@@@@@@@@@@@@@@@@@@@
@@@@@@@@K@@@@@@@@@. ,B,M,@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@r,o,h,@@@@@@@@@@w@@@ne@@@ 
@@@ro@@@@@@@@@@w@@@n,e,s,@@@ @@@@@@@@P@@@@@@@
@@@@@@@@@@@@@@@@@@ro,l,s,@@o@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@g@,u,',@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@5@,9,1,@9@@@ D@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@5@9@,9,I,@@@ D@@@@@@@@@@@@@@@
@@@@@@@@@@@5@9@9@@@ ,D,I,@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@m,b,i,@ @@@@@@@@@@@@@@@@@@
 close. It was the l,a,s,st day of the last y
s the last day of th,e,o," last year, and two "
"year, and two hours ",o,a,nly were wanting to 
er year and of anoth,e,a,@r century. The nigh
ful. Myriads of star,s,n, paved the deep vaul
ars paved the deep v,a,n,ult of heaven; the c
ilver lamp in the mi,d,l,st of them; a stream
" from the north, tra",v,r,"ersed the sky, like "
upendous comet; whil,e,o, from its point of e
olesome rigour of th,e,o, season. The water l
ur of the season. Th,e,o, water lay in thick 
"ts and wells, and th",e,o, buckets wer@e froze
"nd wells, and the bu",c,e,kets wer@e frozen on
s wer@e frozen on th,e,c,ir stands. The thoro
 on their stands. Th,e,o, thoroughfares @@@@@
ir stands. The thoro,u,n,ghfares @@@@@@@@were
nt to the tread. Her,e,o," and there, a fire w"
