Contexte gauche,Chaîne,Contexte droit
his book is part of ,L,the collection held 
 and quivering light,",", issuing from the no
suing from the north,","," traversed the sky, "
or quaffing deep dra,u,ghts of metheglin an
al sports—fox-i'-th’,-,"hole, blind-man’s-bu"
e; so were the thick,",", overhanging brows t
ed him down a narrow,",", winding staircase t
amber. Though he pro,c,"eceded carefully, th"
if he remains here. ,S,"ce, he has fainted a"
"s task, that he scar",c,ecly noticed the ent
with venom; the long,-,necked bolt-heads be
s serpents; the worm,-,like pipes turned in
 could not guard me—, ,one vulnerable point
ered the elixir vite, ,.” “Fancy I have dis
is past all doubt. I, ,am the possessor of 
 now learn the conne,c,xion that subsists b
ffort of memory reca,l,l the composition of
"e, I know not—but so", ,it was. At this junc
"poisons—yes, poisons", ,—the effect of which
—the effect of which,",", I imagined@ would b
of which@ I imagined,",", would be wondrous. 
"quick ! quick !""” “T", ,"am too weak to stir,"
 and smoke; the bald,",", decapitated head op
ellow had high cheek,-,"bones, a long aquili"
"eat, stern, fortress",-,like pile of the Pen
haps the most dismal,-,looking structure in
"a-speakin’ to you,—‘",I,Tll be here to-morro
ght—at the same hour,—,- ” “ And that wos o
 the Sandman. “ Many, ,a first-rate svell p
me to a lamp. By-and,-,"by, two watchmen wer"
" old bells, old bird",-,"cages, old plates of"
d by posts and cross,-,"bars, a few steps fr"
", it was easy to per",c,"ecive, of half the l"
 would shun. Clothes,-,lines were hung from
ouse in the Vauxhall, ,"road, the two ruffia"
"e collected, playing",",", at cards. A smaller
"oad, jolly, and good",-,"humoured, with a bot"
"or, with a black hat",-,"band round it, was c"
ught himself a smart,","," clever fellow, —and"
 him. “I’ve done wi’, ,"’em. Here, lazy-bone"
"“Vy, hangin’ secrets", ,",” replied the Tinke"
erent bus’ness altog,e,"ther,” replied the T"
clear he believes in, ,"’em hisself, and wil"
 from us.” “That’s a, ,view o’ the case wor
" in his papers,” pur",u,sued Ginger; “the ge
lot o’ murders?” pur,u,sued Ginger. “ A des
"nd I put up with it,",”, pursued Ginger; “bu
Miss Bailey !—Fol-de,-,riddle-tol-ol-lol— u
o o’ dogs. Ve sells ,’,"em to the stewards, "
"ANCIER. 45 “ Sartin,",”," replied Ginger, “co"
ued Ginger. “I wos a,-,standin’ at the corn
 I brings its mother, ,", and that settles t"
er; “sometimes first,-,rate nobs. They put 
"elves; they'll say, ",‘,*Tve jist left my Lo
 I ever clapped eyes, ,on.. I vant you to g
 sich another couple, ,".@ Vell, ve understa"
ich another couple@.,’," Vell, ve understand"
ejoined the Tinker. ,“,Ven wos you born?” “
ess with his grog. “,I, Trayther think I ha
termen vich at Black, ,friars wos used for 
 and those ugly coal,-,"barges, lighters, an"
"eplied the Tinker, “",‘,specially as there a
s as well as the ca-, ,nine specious. Can y
 life appears like a, ,dream. Imagine what 
"replied the dwarf, “",I’,Tl tell you how it 5
oke to the others. “,I,Tye already given yo
copper into gold.” “,I,Tve known several in
"ejoined Old Parr, in", ,a tone of slight con
d the dead body of D,octo,r. Lamb. I debated w
ious strange objects,",", with which the cham
" come, let’s go down",-,stairs. There's no g
"ney-cowls, and smoke",-,jacks. Stout upright
"stic style, with rat",-,"traps, man-traps, ir"
"s, dismounted cannon",",", and anchors. Attach
g a row of old horse,-,"shoes, while from th"
 he possessed it.” “,’,"Tis he, there can be"
re going 60 soon.” “,I, [have been here a w
ered to his helpmate,—," : . “Tsay, Ned, I'm"
lenched hand. “ Reea,l,l your words—Ebba—re
your words—Ebba—reca,l,"l them —but no, once"
rds the intruder. “T, ,have sought you for 
on of the stranger. ,Chapt,Vv@. THE MEETING NEA
he stranger. @@@@@Vv, ,. THE MEETING NEAR T
ad contemplated self,-,"destruction, and had"
 endeavoured to reca,l,l where he had seen 
 two for respiration,",", the dwarf opened hi
im fixedly; “you are,—, ” and he stopped. “
cord round the dwarf,’,"s throat. “T have,” "
e nearest public.” “,I’,Tl join him there in
"or- ” “T defy you !""", ,rejoined Auriol ; “I
not quit the bench. ,Chapt,VI@. THE CHARLES THE
t the bench. @@@@@VI, ,. THE CHARLES THE SE
"aid Anriol. “Well, I", ,am glad to find you 
"replied, timidly. “T", ,"am so,” replied Auri"
just quitted him. Go, ,to Langham@place to-
d him. Go@to Langham, ,"place to-morrow, and"
ous gentleman to her,",", eh ?” he added to A
ad forgotten me.” “T, ,am sure you did not 
s together again.” “,I," Tam glad of it,” sh"
"her myself, and you ",@, 82 AURIOL. shall ha
the likes 0’ you.” “,I, Thope you didn’t gi
" her wally—not hs. ,",”, said Ginger; “ and 
", she'll be five-an’",-,twenty guineas. To t
 dog?” interposed Mr,., Thorneycroft. “The 
"’t want to know,” re",p,lied Mr. Thorneycrof
" Eighty guineas, as ",I,"Tm a livin’ man, and"
 in that way.” “Tt’s, ,"no gammon,” said Gin"
"e fifteen pound, and", ,the dog’s yourn. I s
 out his purse. “ On, ,"no account, Auriol,”"
s capacious breeches, ,pocket. “ How shall 
riol. 86 AURIOL. “No,","," you von’t, sir—no@ "
"o@ you von’t, sir—no",","," you yon't,” replied"
nto a back street.” ,Chap,"VII@. THE HAND, AGAI"
ack street.” @@@@VII, ,". THE HAND, AGAIN ! "
"chair, while the dog",-,fancier stationed hi
” exclaimed Auriol. ,“,You are the villains
riol. “ Don't you re,c,kilect the dwarf as 
night? I sent him to, ,a public-house at Ke
s disappeared from i,t,", and I can discover"
 seek to frighten me, ,"in vain, villain,” c"
uitted the room. “TI,’l,l go and sce wot’s t
d through the door. ,Cha,VIII@. THE BARBER OF
gh the door. @@@VIII, ,. THE BARBER OF LOND
r their wigs dressed,",", by him. A pleasant 
 is not covered with, ,a carpet. But what o
their apparently con,c,ecited expression. A
 or I'll commit you!,’,” “D—n Judge Learmou
nd’s time.” “You saw, ,"’em, of course ?” cr"
t title as if I were,—, ” “Lord Chancellor 
 got!” said the sour,-,"looking gentleman, r"
e gloomy fancies.” “,I, Twill not indulge i
 late to save you.” ,“,"Oh no, do not leave "
en in the upper stor,e,"y of the structure, "
"oke,” cried Ebba. “I", ,begin to share your 
ards into the vault., Chapter, x. THE STATUE AT CH
"Eleanor of Castile,’",!,"” said Morse, heedle"
 exclaimed Loftus. “,I, Ihave heard somethi
"profession, a ticket",-,"porter, a butcher's "
"wot it all means, by",-,and-by.” 108 AURIOL.
thinks they sees?” “,I’,"Tl tell 'ee, master,"
. See what it is.” “,I,Tm afraid o’ spikin’
ver see the likes on, ,"’em afore; did you, "
 “but I was so inter, ,est@ed in them antiq
t I was so inter@est, ,ed in them antiquari
" to your niece, Ebba",.,"* “ Why, what has ha"
t with it at once. I, ,hate te be kept in s
ftus. “ Impossible! ,I’,Tl not believe it—ev
ome mysterious conne,c,xion with Auriol. I 
low!” cried the iron,-,"merchant, eyeing him"
", at eleven! Good by",e,", Old Parr, Ve shall"
he latter was a tall,",", powerfully-built ma
d ?” asked Ginger. “,I, Thave a brace of pi
m ve could do nuffin,’,.” His name is Reeks
"t reward I claim, Mr",.," Thorneycroft,” rejo"
"e, “when all is over",.," Meantime, give me y"
"t, “ provided always",—," _ “ No provision, s"
y had passed through,","," it, closed. The ban"
"owed by the others, ",Chapte,: XI. THE CHAMBER OF
Your attempt at self,-,destruction has plac
ribed with the name ,“,Cpprianug de Rougemo
"Rougemont, Fra. R.C.",”, The same name likew
" ANNOS PATEBO, 1550.",”, “In two hundred and
owing inscription : ,“,Hoc universi compend
mihi sepulcrum fect.,”," “ Here, then, old C"
fore boundless power,",", is mine. I can riot
"r,” cried Auriol. “I", ,am in no mood to bea
od to bear them.” “T, ,"am not jesting,” rej"
 a magnificent house,., Rougemont ascended 
ne Auriol exclaimed—, ,“ Is it to mock me t
"gemont, carelessly. ",“,But you know me too 
"doing so, I am doome",d——”, “ But you will not 
t 1” ; IRRESOLUTIONe,r, 139 III. IRRESOLUTI
he bargain to-morrow,.," Meanwhile, I counse"
 within that writing,-,"desk, while the note"
ed it in the writing,-,"desk, in which he fo"
g forward and tried ,t,w crush the reptile 
and most luxuriantly,-,"furnished chamber, h"
 he could fully reca,l,l the mysterious eve
"any remark, departed",.," Hurrying home, he w"
otion that the conne,c,xion would be very u
o have him for a son,-,in-law. Finding him 
ed his future son-in,-,law to dine with him
al languor. Her hair,",", which she wore brai
ou cannot urge me to, ,il. I would not abus
the best assurance {, ,can give you that I 
d Mr. Talbot went up,-,"stairs to tea, they "
albot returned from ,t,"his journey. “ Well,"
rding him fixedly. “,I," Thave not, sir,” re"
ught he could now bi,l,d defiance to fate. 
"” said Rougemont, in", a," deep whisper, audib"
"ity, while the posti",l,"lions, plunging THE "
e to bid you good-by,e,. Why do I find you 
ook the Second.—Cppr,m,"ian @Bougemore, L TH"
he Second.—Cppr@ian ,C,"Bougemore, L THE CEL"
L. no harm will befa,l,l you. Whatever you 
ions. After a moment,’,"s’ deliberation, Rou"
me one approaches.” ,Chapt,II@. THE ENCHANTED C
approaches.” @@@@@II, ,. THE ENCHANTED CHAI
ou have entrapped me,",", ruffians. It’s all 
. You mean to murder, ,me. But @Til sell my
n to murder@me. But ,I,Til sell my life dea
"py,” said the Tinker",., “I yonder vether it
orth more nor half-a,-,crown to any one but
e relation. “ Only t,’,"other day, I assure "
",” replied Ginger. “",I,Td shoot the ruffian
ses of the police!’ ,c,ried Thorneycroft. 1
was a subject of ser,’,ous importance to al
"e moment, the monkey",",", which had been seen
d been seen by Reeks,",", issued from a cupbo
"y, it can’t be, sure", ,"ly@,” he cried. “And"
"it can’t be, sure@ly", ,",” he cried. “And ye"
—is he—hem !—the—the,—," ” “ The devil, you "
a!” exclaimed Ginger,",", with a shudder ; “i
nger; “I'll repent. ,I’,Tl become a reformed
"iver my companions, ",I’,Tl squeege your wind
t to disclose it.” “,I’,Tl have it out of yo
ttention to the iron,-,merchant's cries and
evil !” cried Ginger,",", running off. “ T wi
 pinioned his arms. ,Chapt,Iv@. THE PIT. So bew
ed his arms. @@@@@Iv, ,. THE PIT. So bewild
the noise of rapidly,-,approaching footstep
long the passage. “T, ,can’t stir another s
said. “I give it up—,I,Tll die here !” “ No
Mr. Thorneycroft.” “,I’,"Tl try,” replied the"
bserved Thorneycroft,., “T hardly know myse
"the dwarf, coming to", ,a halt. “TI could al
ing out his hand. “T, ,feel @em. Lord have 
t his hand. “T@feel ,’,em. Lord have mercy 
aker. “T want you. I, ,have more work for y
"r,” replied the iron",-,merchant. ‘ Who's th
" it,” cried the iron",-,merchant. ‘“ Where i
d bolted itself on t,’,other side !” “ Some
nclosed them in it. ,Chapt,Vv@. NEW PERPLEXITIE
 them in it. @@@@@Vv, ,. NEW PERPLEXITIES. 
th's-heads and cross,-,"bones, and against t"
is it a fable? for I, ,"am puzzled still, Me"
 his clenched hand. ,“,Then I am mad.” “ Tt
d quitted the cell. ,Chapt,VI@L DOCTOR LAMB AGA
ed the cell. @@@@@VI, ,"L DOCTOR LAMB AGAIN,"
"Auriol, starting. “I", ,am not so mad but I 
tle of sleep knows D,octo,r. Lamb. He will toi
stars have set.” “ D,octo,r. Lamb !” repeated 
” “His grandson! I—D,octo,r. Lamb’s grandson!”
of London-bridge.” “, ,On the bridge—did yo
 “ Will it disturb D,octo,r. Lamb if his grand
ecorated the chimney,-,board—the sphere and
pts term it. So you ,a,"«es better, your kee"
 hence. He may do me, ,a mischief.” “ T hav
