Contexte gauche,Chaîne,Contexte droit
A@@@@@@@@@@@@@@@@@@U,,U@@@@R@I@@@OL or@@@@
A@@@@@@@@@@@@@@@@@@U,NIVE,R@I@@@OL or@@@@ The@
@@@@@@@@@@@@@@U@@@@R,S,I@@@OL or@@@@ The@ E
@@@@@@@@@@@@U@@@@R@I,TY ,OL or@@@@ The@ Elix@
@@@@U@@@@R@I@@@OL or,FORD, The@ Elix@i@@@@r@ o
@R@I@@@OL or@@@@ The,s, Elix@i@@@@r@ of Lif
@OL or@@@@ The@ Elix, ,i@@@@r@ of Life W@@@
L or@@@@ The@ Elix@i,s pa,r@ of Life W@@@@@@i@
@@@ The@ Elix@i@@@@r,t, of Life W@@@@@@i@@@
ix@i@@@@r@ of Life W,ollect,i@@@@@l@@@@@@@@@@@@l
@r@ of Life W@@@@@@i,on he,l@@@@@@@@@@@@l@iam H
 Life W@@@@@@i@@@@@l,d by the Bod,l@iam Ha@r@ri@s@on@ 
i@@@@@l@@@@@@@@@@@@l,e,iam Ha@r@ri@s@on@ Ai
@@@@@@@@@@@@l@iam Ha,b,r@ri@s@on@ Ai@nsw@@@
@@@@@@@@@@l@iam Ha@r,a,ri@s@on@ Ai@nsw@@@@@
@@@@@@@l@iam Ha@r@ri,e,s@on@ Ai@nsw@@@@@@o@
@@@@@l@iam Ha@r@ri@s, ,on@ Ai@nsw@@@@@@o@@@
@@l@iam Ha@r@ri@s@on,d, Ai@nsw@@@@@@o@@@@@@
iam Ha@r@ri@s@on@ Ai,a,nsw@@@@@@o@@@@@@@@@@
Ha@r@ri@s@on@ Ai@nsw,d by G,o@@@@@@@@@@@@@r@th@ 
@s@on@ Ai@nsw@@@@@@o,"ogle, Inc. fo",r@th@ W@@@@@@@@@@@@@
@@@@@o@@@@@@@@@@@@@r, ,th@ W@@@@@@@@@@@@@i@
@@o@@@@@@@@@@@@@r@th,e, W@@@@@@@@@@@@@i@@@@
@@@@@@@@@@@@@r@th@ W,oogle Books L,i@@@@@@@@@@@@t@@@@@@
@th@ W@@@@@@@@@@@@@i,brary Projec,t@@@@@@@@@@@@@@@@@@@
@@@@@@i@@@@@@@@@@@@t,. For more information see: ,h@@@@@@@@@@ Il@l@@@@
@@@@@@@@@@@@@@@@@@@h,ttp://www., Il@l@@@@@@@@@@@u@@@
@@@@@@h@@@@@@@@@@ Il,d,l@@@@@@@@@@@u@@@@@@@
@@@@h@@@@@@@@@@ Il@l,eian.ox.ac.,u@@@@@@@s@t@@@@@@@@@
@@@ Il@l@@@@@@@@@@@u,k/dbook,s@t@@@@@@@@@@r@@@@@@
@@@@@@@@@@@u@@@@@@@s, ,t@@@@@@@@@@r@@@@@@@@
@@@@@@@@@u@@@@@@@s@t,ee This wo,r@@@@@@@@@@@@@@@@@@@
@@@@@@s@t@@@@@@@@@@r,k is licensed under ,a@@@@@ti@@@@o@@@ns @
@@@@@@@@@@@@@@@@@@@a, Crea,ti@@@@o@@@ns @@@@@by
@@@@@@@@@@@@a@@@@@ti,ve C,o@@@ns @@@@@by@@@@@@
@@@@@@@a@@@@@ti@@@@o,mmo,ns @@@@@by@@@@@@@@@@
@a@@@@@ti@@@@o@@@ns ,Attri,by@@@@@@@@@@@@@@@@@@
ti@@@@o@@@ns @@@@@by,tion-NonCommercialShareAlike, @@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@ ,2.0 UK: England & Wales (CC BY-NC-SA 2.0) licence. 600060841P AURIOL T,H@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@H,E ELIXIR OF LIFE BY W,. @@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@. ,"HARRISON AINSWORTH, Esa, AUTHOR OF “TIE TOWER OF LONDON,” &c. GEORGE ROUTLEDGE AND SONS THE BROADWAY, LUDGATE NEW YOR",K@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@K,; 416 BROOME STREET LIST OF ILLUSTRATIONS,. @@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@. ,THE MYSTERIOUS INTERVIEW IN HYDE PARK 7o face Title. THE ELIXIR OF LONG LIFE . . . .) .. 20 THE RUINED HOUSE IN THE VAUXHALL ROAD. . 31 THE|DOG FANGER 3. i: 2 a) ® w 38 THE HAND AND THE CLOAK . . . . «= 60 THE IRON MERCHANT’S DAUGHTER . «ws (66 THE ,Br@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@Br,"RBEROF LONDON, . . +) «es 95 SEIZUREGFERBA. © a6 ",o@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@o,e oe att THE ANTIQUARIES . . 2. 6 6 6 + 1197 ‘THE CHAMBER OF MYSTERY . . « . «121 THE TOMB OF THE ROSICRUCIAN . «,wn@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@wn,. 128 THE COMPACT . . . . 1 ,e@ @@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@e,w, @@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@e@ ,ew 135 ‘THE SIGNIFICANT WHIS,P@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@P,ER). wwe 1S THE ENCHANTED CHAIRS . . . .) .. 168 ROUGEMONT’S DEVICE TO PERPLEX AURIOL . . 192 AURIOL. P,rologue 1599@ Dr. La
@@@@@@@@rologue 1599,., Dr. Lamb@ The Sixte
logue 1599@ Dr. Lamb,., The Sixteenth Centu
. The thoroughfares ,B 2 AURIOL. ,were sheeted with ic
orsemen and vehicles, ,; but the footways w
uck upon iron prongs, ,", or quaffing deep d"
of metheglin and ale,",", out of leathern cup
brown bowls dressed ,DR. LAMB. 3 ,with ribands and ros
s floating within it,",",—a draught from whic
" groat, and occasion",= ,ally a more valuable
re as white as snow—, ,the former descendin
nd believed of him. ,B2 4 ,A@@@@@@@@mongst othe
ieved of him. @@@@@A,"URIOL, A","mongst others, it wa"
e Southwark Gateway—, ,a square stone build
"h corner, and a flat",","," leaden roof, plante"
ead with his halberd,", DR",. @@@@@@@@The plunde
th his halberd@@@@. ,LAMB. 5 ,The plunderer uttere
"aldred,” he cried. “", ,The attempt may not 
tempted to carry off,",", are those of his ki
” replied Baldred; “, ,and if so I shall be
"” replied Baldred, “", ,who were decapitated
manded the doctor. “, ,How were they called
How were they called, ,?” “They were father
"on,” replied Baldred", ;,—“@Sir Simon Darcy a
 replied Baldred@@—“, ,Sir Simon Darcy and 
nown to your worship, ,?” “Too well—too wel
n a voice of emotion,",", that startled his h
rer. “They were near, 6 AURIOL., kinsmen of mine own
this strange attempt, ,"?” “Of a verity, a f"
 down the lantern. “, ,Heaven grant I have 
 borne by the others, ,—Auriol Darcy.” “I s
" all,” cried Lamb. “", ,It was a pious and p
speedily abated.” “I,J, know your worship c
ber. Though he proce,c,"eded carefully, the "
to excruciating pain, ,; and when Baldred p
"den bench, and held ",DR. LAMB. 7 ,"a lamp towards him, "
 lighted it up; but ,8 AURIOL. ,notwithstanding its 
 hand to his side. “, ,"Caitiff!” he cried, "
s? Finish me at once, ,—Oh!” And overcome b
me easy as before. “, ,What have you done t
look of gratitude; “, ,the torture of my wo
st insupportable.” “, ,You are cared for by
"hen,” replied Auriol",",", faintly; “@for thou
d Auriol@ faintly; “, ,for though I am free
ebbing fast away.” “, ,Press this handkerch
