Contexte gauche,Chaîne,Contexte droit
@OL or@@@@ The@ Elix, ,i@@@@r@ of Life W@@@
@@@@@l@iam Ha@r@ri@s, ,on@ Ai@nsw@@@@@@o@@@
@@@@@o@@@@@@@@@@@@@r, ,th@ W@@@@@@@@@@@@@i@
@@@@@@@@@@@u@@@@@@@s, ,t@@@@@@@@@@r@@@@@@@@
orsemen and vehicles, ,; but the footways w
uck upon iron prongs, ,", or quaffing deep d"
re as white as snow—, ,the former descendin
e Southwark Gateway—, ,a square stone build
"aldred,” he cried. “", ,The attempt may not 
” replied Baldred; “, ,and if so I shall be
"” replied Baldred, “", ,who were decapitated
manded the doctor. “, ,How were they called
How were they called, ,?” “They were father
 replied Baldred@@—“, ,Sir Simon Darcy and 
nown to your worship, ,?” “Too well—too wel
this strange attempt, ,"?” “Of a verity, a f"
 down the lantern. “, ,Heaven grant I have 
 borne by the others, ,—Auriol Darcy.” “I s
" all,” cried Lamb. “", ,It was a pious and p
to excruciating pain, ,; and when Baldred p
 hand to his side. “, ,"Caitiff!” he cried, "
s? Finish me at once, ,—Oh!” And overcome b
me easy as before. “, ,What have you done t
look of gratitude; “, ,the torture of my wo
st insupportable.” “, ,You are cared for by
d Auriol@ faintly; “, ,for though I am free
ebbing fast away.” “, ,Press this handkerch
@@@@@said Baldred. “, ,Doctor Lamb’s dwelli
 had been wounded. “, ,So you have been pla
h?” cried Baldred. “, ,"Ay, marry have I,” r"
fish set of teeth. “, ,My master ordered me
smeared it again.” “, ,Whereby you put the 
” replied Baldred; “, ,but help me to trans
o the laboratory.” “, ,I know not if the do
” said Flapdragon. “, ,He is busily engaged
 grand operation.” “, ,I will take the risk
"lf,” said Baldred. “", ,The@@@@@@@@@@@ youth
"ily, to the dwarf. “", ,Bathe his brows with
e. I am busy now.” “, ,"These relics, doctor"
Lamb@ impatiently; “, ,to-morrow—to-morrow.
he should do next. “, ,Begone!” cried the d
s used by the adept—, ,"bolt-heads, crucible"
e terrestrial sphere, ,: near it was an ast
"he Chaldaic sages, “", ,"the Malachim,” and “"
 to be ever changing, ,; the sea-monster be
heir eyeless sockets, ,; the bellows became
@@@@@@@@@@@its wings, ,; and the old alchem
t it with rapture. “, ,"At length,” he excla"
he exclaimed aloud—“, ,"at length, the great"
ing of the volatile—, ,this elixir shall re
rshipping the sun. “, ,To live for ever!” h
"ied, after a pause—“", ,to escape the jaws o
reach me! What is it, ,!—where can it lie?”
"iness,” he continued", ,; “I shall live in c
tter! Perpetual life, ,!—perpetual youth@!—
fe@!—perpetual youth, ,!—what more need be 
more need be desired, ,"?” “What more, indee"
 beneath his gown. “, ,Your caution is vain
dy against decay.” “, ,The man who brought 
"man,” said Auriol. “", ,"Is it so@?” “It is,”"
d Auriol. “@Is it so, ,"?” “It is,” replied "
brought together.” “, ,Gracious Heaven!” ex
ed by repentance.” “, ,Were they deeds of b
od?” asked Auriol. “, ,"One was so,” replied"
unfolded the mystery, ,; but he bade me obs
se must possess it.’, ,” “@Ha!” exclaimed A
ust possess it.’@” “, ,Ha!” exclaimed Aurio
" Auriol, starting. “", ,The evil thought was
"n,” pursued Darcy. “", ,Instantly drawing my
Auriol@ curiously. “, ,"To-night,” replied D"
"ht,” replied Darcy—“", ,within this hour. Fo
page free from blood, ,!” Auriol uttered a 
superstitious awe. “, ,The sight was so sur
"e,” pursued Darcy. “", ,Fearful of again los
t he said nothing. “, ,In a few moments I s
"cendant, but friends", ,"—companions—equals,—"
 already young again, ,!” “@You spoke of tw
ady young again@!” “, ,You spoke of two cri
 remarked Auriol. @“, ,You have mentioned b
 hand to his face. “, ,The mistake you then
"ing,” said Auriol. “", ,What if it be poison
t on some animal.” “, ,No—no; it is the tru
"r,” replied Darcy. “", ,Not a drop must be w
 I was at twenty.” “, ,"Meantime, I beseech "
",” groaned Auriol, “", ,"or, while you are pr"
before your eyes.” “, ,"Be not afraid,” repl"
perfect recovery.” “, ,"Drink, then, to it!”"
are not grasp it.” “, ,"Give me the potion, "
"en,” cried Auriol. “", ,"Not for worlds,” rej"
across his heart. @“, ,What is this?” he cr
"cried, staggering. “", ,Can death assail me 
down my throat—quick, ,! quick@!@” “I am to
throat—quick@! quick, ,!@” “I am too weak t
",” groaned Auriol. “", ,You have delayed it 
ayed it too long.” “, ,"Oh, heavens! we shal"
"e his palsied arm,—“", ,perish with the blis
phere for support. “, ,Help me—help me!” he
wards the old man. “, ,Saved—saved!” shriek
!” shrieked Darcy. “, ,Pour it down my thro
tching the potion; “, ,"no—no.” And, support"
backwards. Dead—dead, ,! Flashes of light p
t remained uninjured, ,; the furnace breath
’s-head on the table, ,; so did the skulls 
 against the chimney, ,; the monstrous sea-
 in the moonlight. “, ,A hundred years henc
"ence,” he thought, “", ,and scarcely one sou
But I shall live on—, ,shall live through a
are to disclose them, ,!” @@@A@@@@@@@@s he 
by the occurrence. “, ,There is one peril t
"ided,” he thought; ”", ,ONE PERIL@!—what is 
thought; ”@ONE PERIL, ,!—what is it? Pshaw!
t of the house. Chap, ,t@e@@@r@@@@@@@@ 1 Th
large hands and feet, ,; but despite his me
 the same hour——’” “, ,And that wos one o’c
that wos one o’clock, ,?” said the Sandman.
 said the Sandman. “, ,"Thereabouts,” replie"
swered the Tinker; “, ,"for, as I told you a"
ne of our perfession, ,?” inquired the Sand
turned the Tinker. “, ,He’s a reg’lar slap-
 said the Sandman. “, ,Many a first-rate sv
 as you mentions.” “, ,As to that I can’t s
eplied the Tinker; “, ,and it don’t much ma
"oined the Sandman, “", ,except—you’re sure i
sort of customer.” “, ,"Vell, you’ll find ou"
ndman jumped down. “, ,The ale I drank at t
ale I drank at the ‘, ,Two Fighting Cocks’ 
ake me up if I snore, ,—or ven our sperrit 
 companion whispered, ,—“@He’s here@!” @@@@
mpanion whispered@—“, ,He’s here@!” @@@@@@@
ispered@—“@He’s here, ,!” @@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@“, ,Vhere@—@vhere?” dema
@@@@@@@@@@@@@“@Vhere, ,—@vhere?” demanded t
@@@@@@@@@@@“@Vhere@—, ,vhere?” demanded the
 some trepidation. “, ,"Look up, and you’ll "
nd well-proportioned, ,; and the general cu
im a military air. “, ,He seems a-valkin’ i
tered the Sandman. “, ,He’s a-speakin’ to s
me von unwisible.” “, ,Hush—hush@!” whisper
isible.” “@Hush—hush, ,!” whispered the oth
spered the other. @“, ,Let’s hear wot he’s 
ot he’s a-sayin’.” “, ,Why have you brought
lled his auditors. “, ,What is to be done@?
“@What is to be done, ,?” “@It makes my blo
t is to be done@?” “, ,It makes my blood ru
pered the Sandman. “, ,Vot d’ye think he se
t d’ye think he sees, ,?” “@Why do you not 
e think he sees@?” “, ,Why do you not speak
 cried the young man, ,—“why do you beckon 
 across the plank. “, ,"See, he’s a-goin’ th"
 cried the Tinker. “, ,Let’s foller him.” “
Let’s foller him.” “, ,I don’t half like it
with apprehension. “, ,We shall see summat 
 towards the door. “, ,"Now, then, Sandman@!"
"“@Now, then, Sandman", ,!” cried the Tinker;
"w, and strip him.” “", ,"Agreed,” replied the"
hes of the victim. “, ,A reader@!—I hope it
e victim. “@A reader, ,!—I hope it’s well l
” said the Tinker. “, ,Now the darkey shine
"n, appeared at it. “", ,There the villains a
ere the villains are, ,!” shouted the new-c
ted the new-comer. “, ,They have been murde
and piece of iron. “, ,"Here, watchmen@!” cr"
"on. “@Here, watchmen", ,!” cried the stout i
 any hatterosity.” “, ,What a frightful scr
man down on the sofa, ,"—there, gently, gent"
 opened his eyes. Ch, ,apter@@ 2@@ The Dog-
stitute of furniture, ,; floors and walls c
"mart, clever fellow,", ,—and adroit and knav
 sly look inquired—“, ,"Vell, my ‘arties—wot"
rties—wot luck@@?” “, ,"Oh, pretty middlin’,"
footed companions. “, ,"And now,” said the S"
"t his pocket-book, “", ,we’ll see what fortu
at disappointment. “, ,So we’ve had all thi
dertaken the job.” “, ,Don’t let’s give it 
eplied the Tinker; “, ,summat may be made o
over them papers.” “, ,Look ’em over yourse
s with great glee. “, ,Wot’s the matter?” c
uietly smoking it. “, ,"Wot’s the row, eh?” "
@his satisfaction; “, ,there’s secrets cont
uble for nuffin’.” “, ,Glad to hear it!” sa
oking hard at him. “, ,Wot kind o’ secrets 
 o’ secrets are they, ,"?” “Vy, hangin’ secr"
terious emphasis. @“, ,He seems to be a ter
murder wholesale.” “, ,Wholesale@!” echoed 
lesale.” “@Wholesale, ,!” echoed the Sandma
pe from his lips. @“, ,That sounds awful. B
imes i’ that way.” “, ,He didn’t expect the
” said the Tinker. “, ,"Werry likely not,” r"
plied the Sandman; “, ,but somebody else mi
d to be wound up!” “, ,Ourn is a different 
u take him to be?” “, ,"Vy, five-an’-twenty "
plied the Sandman. “, ,Five-an’-sixty ‘ud b
eplied the Tinker. “, ,There’s dates as far
far back as that.” “, ,Five-an’-sixty devil
cried the Sandman; “, ,there must be some m
 reckonin’ there.” “, ,"No, it’s all clear a"
can refer to him.” “, ,But I tell ‘ee they 
 assertion denied; “, ,"at least, if his own"
plied the Sandman. “, ,Wot’s the gemman’s n
eplied the Tinker. “, ,Any address@?” asked
inker. “@Any address, ,?” asked the Sandman
er shook his head. “, ,"That’s unlucky agin,"
