Contexte gauche,Chaîne,Transcription,Contexte droit
irthful sports—fox-i,’,',"-th’-hole, blind-man"
pdragon. Doctor Lamb,’,',s gaze was fixed int
e of brow. The youth,’,',"s figure was slight,"
ed from the sufferer,’,',"s countenance, and h"
y were at the doctor,’,',s door. Baldred tapp
round it@ were a ram,’,',"s horn, a pair of fo"
hes’ sabbath. Auriol,’,',"s brain reeled, and "
from all accidents!—,’,',tis a glorious@@@@@@
y son Simon. His son,’,',s head is within the
“@And that wos one o,’,',clock@?” said the Sa
"an. “To hisself, I s",’,',"pose,” answered the "
Tinker. “@He’s a reg,’,',lar slap-up svell.” 
lap-up svell.” “That,’,',"s no reason at all,”"
Tinker; “@and it don,’,',"t much matter, as fa"
"matter, as far as ve",’,',re consarned.” “Devi
"andman, “@except—you",’,',re sure it worn’t a 
"stomer.” “@Vell, you",’,',ll find our svell ra
" come along, and don",’,',t let’s be frighteni
ct upon the beholder,’,',s imagination. There
self on the bulk; “I,’,',ll just take a snooz
". “@Look up, and you",’,',"ll see him,” replied"
ed the Sandman. “@He,’,',s a-speakin’ to some
ed the other. @“@Let,’,',s hear wot he’s a-sa
ed the Tinker. “@Let,’,',s foller him.” “@I d
he ground. “The vork,’,',s done!” cried the S
e dark lantern; “let,’,',"s take him below, an"
 it’s well lined. Ve,’,',ll examine it below.
e time. But we mustn,’,',t stand chatterin’ h
"y—less noise, or you",’,',"ll waken Miss Ebba, "
"s Ebba, and I wouldn",’,',t have her disturbed
"is pocket-book, “@we",’,',ll see what fortun’ 
appointment. “@So we,’,',ve had all this trou
h an oath. “I vish I,’,',d never undertaken t
he job.” “@Don’t let,’,',s give it up in sich
hem papers.” “@Look ,’,',"em over yourself,” r"
th great glee. “@Wot,’,',s the matter?” cried
d the Sandman. “@Ain,’,',t there no sort o’ c
"Vy, zounds, then, ve",’,',re jist vere ve star
 one talk to him. He,’,',"s mad, depend upon i"
"t. That is, if I ain",’,',t cured him.” “I’m o
"ed Ginger, “that you",’,',"ve got a good case, "
"ood case, and if you",’,',"ll let me into it, I"
"ll let me into it, I",’,',ll engage to make su
ch regard to wot you,’,',ve bin a readin’ in 
ed altogether—but he,’,',s jist the person to
the Tinker. “Then he,’,',ll be glad to buy th
",” said Ginger. “@Ve",’,',ll deal vith him in 
on the look-out. You,’,',re sure to meet him 
ime or other.” “That,’,',"s true,” replied the"
"e, especially ven ve",’,',ve a soft-hearted la
"a tail, and so on. I",’,',ll tell you wot happ
once the poor animal,’,',s throat vill be cut
eign steamers. There,’,',s scarcely a steamer
t market.” “Then you,’,',re alvays sure o’ a 
"Ginger, “cos the law",’,',"s so kind to us. Vy,"
 our own; and yet he,’,',d stop you in a minn
