Contexte gauche,Chaîne,Transcription,Contexte droit
braries UNIVERSITY O,L,F, OXFORD This book is
VERSITY OF OXFORD Th,e,i,s book is part of @t
ook is part of @the ,W,c,ollection held by th
 held by the Bodleia,m,n, Libraries and scann
 Bodleian Libraries ,o,a,nd scanned by Google
"oogle, Inc. for the ",W,G,oogle Books Library 
ian.ox.ac.uk/dbooks ,t,h,ee This work is lice
ative Commons Attrib,y,u,tion-NonCommercialSh
HTER . «ws (66 THE B,r,A,"RBEROF LONDON, . . +"
THE ROSICRUCIAN . «w,n,w,. 128 THE COMPACT . 
192 AURIOL. Prologue, ,—,1599. DR. LAMB. Tue 
OL. Prologue—1599. D,r,R,. LAMB. Tue Sixteent
ue—1599. DR. LAMB. T,h,u,e Sixteenth Century 
ful. Myriads of star,s,t, paved the deep vaul
", ever and anon, cor",u,a,scations rivalling i
 water lay in thick ,c,g,ongealed masses arou
ck upon iron prongs ,",",;, or quaffing deep dr
ng the citizens to s,e,c,"e the new year in, a"
olly-sprigs and laur,e,c,l-leaves stuck thick
st across the street,",",;, and a glance inside
", occupied in mirthf",u,a,l sports—fox-i'-th’@
irthfal sports—fox-i,’,',"-th’@hole, blind-man"
"h’@hole, blind-man’s", ,-,"buff, or shoe-the-ma"
h Christmas cheer. M,u,n,sic and singing were
ith a drink called “,l,J,"amb’s-wool,” compose"
e vigil of the year ,s,S,ixteen Hundred. On t
of the year Sixteen ,h,H,undred. On this nigh
le appearance was se,e,c,n to emerge upon a s
le and majestic cast,;,","," and his figure, tho"
covered by a square ,b,L,"lack cap, from benea"
pdragon. Doctor Lamb,’,',s gaze was fixed int
"e heavens, and he se",a,e,med to be noting the
"t, the mysterious pl",u,a,nderer thrust his sp
o criminal as it app,e,c,"ars. Doubtless, the "
mmit the offence.” “,I,T,"t may be, doctor,” r"
it their removal.” “,I,T," know it,” replied D"
on Saint Nicholas’s ,D,d,"ay, three weeks ago,"
emanded the doctor. ,“,‘, How were they calle
” replied Baldred ;—,“,*, Sir Simon Darcy and
"tion, that startled ",h,b,is hearer. “They wer
"a fair youth,” repli",e,c,"d Baldred, holding d"
 I have not wounded ,h,l,"im to the death! No,"
e information you se,e,c,k. You were right in
rs —Auriol Darcy.” “,I,T," sce it all,” cried "
—Auriol Darcy.” “T s,e,c,"e it all,” cried Lam"
powder of sympathy. ,H,L,is anguish will be s
 speedily abated.” “,I,T,J know your worship 
ned and distorted. “,I,T, fear it’s all over 
ed the gatekeeper; “,I,T, shall have a dead b
e of brow. The youth,’,',"s figure was slight,"
e sank back again. “,I,T, have not touched yo
 have not touched yo,u,n,", sir,” replied Bald"
ed from the sufferer,’,',"s countenance, and h"
 is your kinsman.” “,I,T,t is the first I eve
"I ever heard of him,",”,’," replied Auriol, fai"
y were at the doctor,’,',s door. Baldred tapp
mons was instantly a,n,u,swered by a diminuti
ntment. I obeyed him,:,;, rubbed the steel po
on a grand operation,.,",",” “ J will take the 
"grand operation,” “ ",I,J, will take the risk 
f he remains here. @,e,c,"e, he has fainted al"
hem back with me.” “,H,T,leed them not—they w
 he should do next. ,“,«, Begone!” cried the 
 terrestrial sphere ,:,;, near it was an astr
 it was an astrolabe,",",;, and near that a hea
"round it, were a ram",’,',"s horn, a pair of fo"
" into the room, was ",l,J,aden with various im
rious implements of ,h,H,ermetic science. Abo
o adders; the alembi,c,e,s looked like plumed
hes’ sabbath. Auriol,’,',"s brain reeled, and "
ed by a loud joyful ,c,e,"ry, and, uncovering "
xing of the volatile,—,;, this elixir shall r
from all accidents!—,’,',tis a glorious 14 AU
each me! What is it ,!,7,—where can it lie?” 
"ctor,” said Auriol. ",“,‘,I have heard what yo
vered the elixir vit,æ,e,@.” “Fancy I have di
iol. “ Is it so ?” “,I,T,"t is,” replied the d"
now learn the conne@,t,x,ion that subsists be
truding from the bag,:,",", “that was once my s
y son Simon. His son,’,',s head is within the
 avoid the stake.” “,I,T,t is true that I fle
o abstrusest science,",",;, have held commune w
mmune with the stars,",",;, and have wrested th
have stained my soul,;,","," but both, I trust, "
"n Lucca, skilled in ",h,H,"ermetic science, cam"
w explain them to yo,u,n,", and afterwards we "
must possess it.’ ” ,“,«, Ha!” exclaimed Auri
mark what followed. ,H,I,lis blood fell upon 
"ght,” replied Darcy—",“,*," within this hour, F"
y—* within this hour,.,",", For nigh fifty year
bodies into sol and ,l,],una; but I have ever
 liquid. I did so; a,n,u,d doubting the effic
"tivity, beauty, fort",u,a,ne—for youth is fort
"moured of her, that ",I,1, tried by every art 
 was at twenty.” “ M,e,c,"antime, I beseech yo"
"e some assistance,” ",g,y,"roaned Auriol, “ or,"
"e not afraid,” repli",e,c,d Darcey; “you shall
u shall take no harm,.,",", I will care for you
it!” cried Auriol. “,I,J,T know not what stay
"orlds,” rejoined Dar",c,e,"y, hugging the phial"
the phial to my lips,.,",", Pour its contents d
"—quick ! quick !""” “",I,T,@am too weak to stir
"r,” groaned Auriol. ",“,‘, You have delayed it
"it too long.” “ Oh, ",h,H,eavens! we shall bot
l sphere for support,.,",", “ Help me—help me!”
sh on his relative. ,“,c,2 20 AURIOL. “Tt is 
atching the potion; ,“,‘," no—no.” And, suppor"
"oided,” he thought; ",”,“, oxz Perit !—what is
sed out of the house,.,",", Book the First—Chbe
"ook the First—Chbe, ",1,I, THE RUINED HOUSE IN
"ed . from a low, obs",c,e,urely-situated publi
"rom a low, obseurely", ,-,situated public-hous
ch in their favour. ,H,T,"aggard features, sta"
d and ragged clothes,",",;, shoes without soles
 shoes without soles,",",;, and old hats withou
d hats without crown,s,e,", -.onstituted the s"
"ats without crowne, ",c,-,.onstituted the sum 
pearance of ferocity,.,",", The shorter ruffian
 as plainly as I’m a, ,-,"speakin’ to you,—‘@T"
"-speakin’ to you,—‘@",’,T,ll be here to-morrow
“ And that wos one o,’,',clock ?” said the Sa
 replied the other. ,“,«,« And who did he say
"an. “To hisself, I s",’,',"pose,” answered the "
Tinker. “ He’s a reg,’,',lar slap-up syell.” 
 a reg'lar slap-up s,v,y,ell.” “That's no rea
