,Ground Truth,OCR Text,CER,Lexical Correction
0,ATTEMPTED MURDER OF A MERCHANT.,ATTEMPTED MURDER OF A MERCHANT.,0.0,ATTEMPTED MURDER OF A MERCHANT.
1,"AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Dusant, with attempting to murder Jules Tabak, a diamond merchant, and stealing £2,000 worth of diamonds.","AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convleted) named Dasant, with attempting to' murder Jules Tabak, a diamond merchant, and steal- in'g �2000 worth of diamonds,",0.032051282051282,"AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Dasant, with attempting to' murder Jules Tabak, a diamond merchant, and steal- in'g �2000 worth of diamonds,"
2,Inspector Languish deposed that from information received he went with other officers and arrested the accused on the present charge.,Inspector Langrish deposed that from information received he went with other oflieers and arrested the accused on the present charge.,0.0225563909774436,Inspector Langrish deposed that from information received he went with other officers and arrested the accused on the present charge.
3,"Mr. Tabak, a diamond merchant of 5 Belgrave-street, Euston-road, deposed that on March 25th, two men came to his house, and asked him to show them some diamonds.","ir. Taliak, a diamioed merchont, of 5. Belgrave-street, Eusten-road, deponed that on Me\arch 2,i,;h, two men camze to his house, a~nd esked him to show them some diamnonds.",0.1130952380952381,"ir. Taliak, a diamine merchant, of 5. Belgrave-street, Eusten-road, depone that on Memarch 2,,;h, two men came to his house, aand asked him to show them some diamonds."
4,Two parcels were shown them.,"Two parcels wero shown them,",0.0714285714285714,"Two parcels were shown them,"
5,While the men were looking at the diamonds the prisoner Palmer struck witness to heavy blows on the head.,While the men were lookingf at the diamonds the prisoner Palmer struck witnees two heavy blows on the head.,0.02803738317757,While the men were looking at the diamonds the prisoner Palmer struck witness two heavy blows on the head.
6,"He was stunned, the two men ran away, and stole one hundred and eighty carats of diamonds, value £1,400.","He was stunned, the two men ran away, and stole one hundred and eighty carats of diarnonds, value �14100.",0.0471698113207547,"He was stunned, the two men ran away, and stole one hundred and eighty carats of diamond, value �14100."
7,"One of the men (Dusant) was arrested, and has since been convicted and sentenced to penal servitude.","One of the meii' (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.",0.0490196078431372,"One of the meii' (Doeant) was arrested, and has since been convicted and sentenced to penal servitude."
8,He positively identified Palmer as the other man.,He positively identified Palmer as the other man.,0.0,He positively identified Palmer as the other man.
9,"Mrs. Tabak was called, and identified Palmer as one of the men concerned in the robbery.","Mmr. TaNbalc was called, and identified Palmer as one of the men con- corned in the robbery.",0.0689655172413793,"Mmr. TaNbalc was called, and identified Palmer as one of the men con- corned in the robbery."
10,She did not identify him at first.,"She did not identify him at, first,",0.0571428571428571,"She did not identify him at, first,"
11,"Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.","Eleanor Denunzio, the daugister of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.",0.0109890109890109,"Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street."
12,He asked for her father.,He asked for her lather.,0.0416666666666666,He asked for her lather.
13,"He said, “I struck the old man.","Be said, ""1 I struck the old man.",0.1212121212121212,"Be said, ""1 I struck the old man."
14,"He screamed, and his wife came upstairs and we were obliged to run away.","Ho screamed, and his wife came upstairs and we were obliged to run away.",0.0138888888888888,"Ho screamed, and his wife came upstairs and we were obliged to run away."
15,"I daresay your father will blame me for all this, but my brother was outside and did all he could to stop the servant.” Witness asked if the servant was stopped.","I daresay your father *will blame me for all this, but my brother was outside end did all he could to stop the servant,"" Witness asked if the servant waS stopped.",0.0308641975308641,"I dare your father *will blame me for all this, but my brother was outside end did all he could to stop the servant,"" Witness asked if the servant waS stopped."
16,Prisoner replied in the negative.,"Prisoner replied in the negative,",0.0303030303030303,"Prisoner replied in the negative,"
17,She asked if her father had got away.,She asked if her father had got away.,0.0,She asked if her father had got away.
18,"Prisoner replied, “No,” and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloakroom.","Prisoner replied, "" No,"" and told her she had better pack up her luggage andl get away from the house at once, and leaye her luggage in the cloaki- roanI.",0.0714285714285714,"Prisoner replied, "" No,"" and told her she had better pack up her luggage and get away from the house at once, and leave her luggage in the cloaki- roans."
19,"He said, “You know where Weiner lives.","le said,"" You know where Weiner lives,",0.1025641025641025,"le said,"" You know where Weiner lives,"
20,"You must go down to him and tell him to assist you Witness packed up her luggage and took it to Waterloo Station, and afterwards went to Adolphs Weiner’s house.","You nmut go down to him and tell him to assist you. \WitneFs packed up her luggage and took it to Wettrino Station, and afterwards wont to AdoOlphe WAeiner's house,",0.0909090909090909,"You must go down to him and tell him to assist you. \WitneFs packed up her luggage and took it to Wettrino Station, and afterwards wont to AdoOlphe WAeiner's house,"
21,She packed the luggage and sent it to Waterloo Station the same day.,She packed the luggage and scont 't to Waiterloo Station the saime day.,0.0704225352112676,She packed the luggage and wasn 't to Waiterloo Station the same day.
22,"She then went to 6, Dyer’s Buildings and saw Adolphe Weinger.","She then wer t to C, Dyer's Buildings, and saw Adolphe Weiner.",0.0952380952380952,"She then wer t to C, Dyer's Buildings, and saw Adolphe Weiner."
23,Directly he saw her he said “For God’s sake go away!,"Directly he saw her ho said, ""For God's sake go awa: ;<y I",0.1724137931034483,"Directly he saw her ho said, ""For God's sake go away: ;<y I"
24,"I will meet you in Castle-street.” She went there, where he shortly joined her, and took her to a wine shop in Chancery lane.","I will meet you iri CLstle-etreet,"" She went ther!, wlhore he shortly joined her, and took her to a r.ina shop hi Chaneery-laus.",0.1395348837209302,"I will meet you ire CLstle-etreet,"" She went ther!, whores he shortly joined her, and took her to a rkina shop hi Chaneery-laus."
25,"Witness said, “You have got my father into this trouble, and I shall expect you to get him out of it.” He denied at first that he knew anything about it.","Witness raid, "" You have got my father into this trouble, and I sh^all ex- pect you to get him out of it."" He denied at first that he knew anything aboat it.",0.0509554140127388,"Witness raid, "" You have got my father into this trouble, and I shall ex- expect you to get him out of it."" He denied at first that he knew anything about it."
26,She told him that her father had told her about the affair from the beginning.,"She told him that her father had told her about the aifair fromn the beginning,",0.0379746835443038,"She told him that her father had told her about the affair from the beginning,"
27,He said that all he did was to get her father a situation.,"Hee said that all he did was to get her father a situation,",0.0338983050847457,"Hee said that all he did was to get her father a situation,"
28,"She said she know that was false, and that he spent her father to Mr. Tabak, first he had said he would not assist her at all, and then he gave her 5s., and said he would give her that every week until she got employment.","She said she henew that was false, and that he sent her father to MIr. Tabak. First he said he would not assist her at all, and Sthen he gave hfr 5s3., and said he would give h)er that every xv.ek until she got employment.",0.079295154185022,"She said she renew that was false, and that he sent her father to MIr. Tabak. First he said he would not assist her at all, and Sthen he gave her 5s3., and said he would give her that every xvlek until she got employment."
29,"He said whatever she did she must not come near Dyer’s Buildings, because he was watched.","I-Ie -aid whatever she did sho rnust 1!0t come near Dyers- Bnildigi, because le, wa, watched.",0.1894736842105263,"I-Ie -aid whatever she did sho rust 1!0t come near Dyers- Bnildigi, because le, wa, watched."
30,"The she went to Jacoby’s house, but he was not at home. She saw him, however, on the following Friday at his place in the Edgware-road.","Then zlihe went to Jacoby's house, but he was not at hozae. She Sdw Hisll, hoeveoer, on the following Fri'av at hmis place in the Edgware road.",0.1388888888888889,"Then she went to Jacoby's house, but he was not at home. She Sdw Hisll, hoeveoer, on the following Fri'av at his place in the Edgware road."
31,He said he did not know they were going to strike him.,He baid he (ii not know they were going to strike him.,0.0555555555555555,He said he (ii not know they were going to strike him.
32,Witness told him he must take the money for her father’s maintenance in the House of Detention.,Witness toid h1mr lie mnst takre t'he money for her fathber's m sin- teusence in the House of Detention.,0.1634615384615384,Witness told h1mr lie most take t'he money for her fathber's m sin- tenpence in the House of Detention.
33,"He promised to do so, and met witness the next night in Aylesbury-street, Clerkenwell.","HEo promn.isedl to do -o, and met bwitn ss the urox'; night in Av.e: i- bnvsty:r eeet, C e l; euweli.",0.3398058252427184,"HEo promswised to do -o, and met with ss the prox'; night in Av.: i- busty:r beet, C e l; seseli."
34,"She gave him 10s, for her father.",She gave h;.r l0 3s. fer he; fa-her.,0.2777777777777778,She gave h;.r l0 3s. fer he; fa-her.
35,"On the following Monday she was to meet the elder Weiner, who promised to give her £2 12s.","On the following Monday she waS to mnet. hse elcer Wesiner, who promaised to give her f2 12;.",0.1063829787234042,"On the following Monday she waS to meet. sse ulcer Wesiner, who promised to give her f2 12;."
36,for the rent then due by her father.,for th. rent then due by her fether.,0.0555555555555555,for th. rent then due by her father.
37,"Weiner did not turn up, but subsequently she saw Jacoby, who gave her £3 to pay the rent.","Weiner did not turn up, bat subs-.cquently -he saw Jacisby, who ,,ave hez �X2' to pay the rent.",0.1473684210526315,"Weiner did not turn up, bat subs-.cquently -he saw Jacisby, who ,,ave he �X2' to pay the rent."
38,He told her no’s to go to Weiner’s place at all.,Ho told her no0 to go to i NATehier's place at all.,0.2075471698113207,Ho told her no0 to go to i NATehier's place at all.
39,"He promised to meet her at the Marble Arch the following Wednesday, but by the advice of Palmer and his wife she did not go.","He promiged to ml;eet h..r at the ll urlle Arch the following Woedesd ay, but by the II[ls'ice of PAeher and his wife she did not gc",0.1791044776119403,"He promised to mlbeet h... at the ll tulle Arch the following Woedesd ay, but by the II[ls'ice of PAeher and his wife she did not gc"
40,"On March 25th, after seeing Palmer, she went to the house of his mother-in-law.","On Marclh ui5th, after 8ecmiJPalrner, she weat to the hounon of his mother-in-law.",0.1785714285714285,"On Marclh ui5th, after 8ecmiJPalrner, she went to the gounod of his mother-in-law."
41,He came in and sent for his wife.,He came in and scnt for bis wife.,0.0606060606060606,He came in and scnt for bis wife.
42,"They took witness to their house, and sent for her luggage from Waterloo.","They took witness to their house, aod. sent for her luggage from Waterloo.",0.027027027027027,"They took witness to their house, sod. sent for her luggage from Waterloo."
43,She remained in the house for nine weeks.,She remained in the house for nine weeks.,0.0,She remained in the house for nine weeks.
44,"Witness knew the whole of the prisoners, who were in the habit of coming to the house of witness’s father.","Witness kolemw the whole of the prisoners, who were in the hohit of coming to the house of witness's fathor.",0.0648148148148148,"Witness solemn the whole of the prisoners, who were in the habit of coming to the house of witness's father."
45,Three weeks after Christmas Jacoby called at their house with a bottle of chloroform.,Three weesle aftr Christ- inas Jacoby oalleu at their Is11us Vith a bsottle of chlorotorme,0.2043010752688172,Three wesley after Christ- kings Jacoby called at their Is11us Vith a bottle of chloroforms
46, They tried it on the kitten.,", Toney tried it on the hitten,",0.1612903225806451,", Toney tried it on the kitten,"
47,On a subsequent occasion the elder Weiner took a rabbit to the house and witness was ordered out of the room.,"On o. sub- se(luent c asiva time -lder Waeiner took a), rabbit to the houQse aud wiitness was orderod out of the room.",0.1680672268907563,"On o. sub- sefluent c siva time -lder Waeiner took a), rabbit to the house aud witness was ordered out of the room."
48,"When she returned the windows were open, and there was a strong smell of chloroform im the room.","When she returned the windows were open, ernd there vyae a strong smell of chloroform il thu XrDom.",0.0909090909090909,"When she returned the windows were open, and there was a strong smell of chloroform il thus XrDom."
49,She believed they had tried it on the rabbit.,She bLeIeved they had tried it on ths ralsdt.,0.1521739130434782,She believed they had tried it on the aalst.
50,"The accused, who protested their innocence, were remanded.","T!ie accused, v; ho proctstea t-heir innocence. were reminded.",0.1746031746031746,"Tlie accused, v; ho proctored t-heir innocence. were reminded."
