Unnamed: 0,Ground Truth,OCR Text,CER,Lexical Correction,Model Correction,old_CER,new_CER,CER_reduction
0,ATTEMPTED MURDER OF A MERCHANT.,ATTEMPTED MURDER OF A MERCHANT.,0.0,ATTEMPTED MURDER OF A MERCHANT.,ATTEMPTED MURDER OF A MERCHANT.,0.0,0.0,
1,"AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Dusant, with attempting to murder Jules Tabak, a diamond merchant, and stealing £2,000 worth of diamonds.","AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convleted) named Dasant, with attempting to' murder Jules Tabak, a diamond merchant, and steal- in'g �2000 worth of diamonds,",0.032051282051282,"AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Dasant, with attempting to' murder Jules Tabak, a diamond merchant, and steal- in'g �2000 worth of diamonds,","At the Bow Street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Darcy, with attempting to murder Jules Tabak, a diamond merchant, and steal—in’g ‘twenty-five’ worth of diamonds.",0.025974025974025976,0.07467532467532467,-187.49999999999997
2,Inspector Languish deposed that from information received he went with other officers and arrested the accused on the present charge.,Inspector Langrish deposed that from information received he went with other oflieers and arrested the accused on the present charge.,0.0225563909774436,Inspector Langrish deposed that from information received he went with other officers and arrested the accused on the present charge.,Inspector Langrish deposed that from information received he went with other officers and arrested the accused on the present charge.,0.007518796992481203,0.007518796992481203,0.0
3,"Mr. Tabak, a diamond merchant of 5 Belgrave-street, Euston-road, deposed that on March 25th, two men came to his house, and asked him to show them some diamonds.","ir. Taliak, a diamioed merchont, of 5. Belgrave-street, Eusten-road, deponed that on Me\arch 2,i,;h, two men camze to his house, a~nd esked him to show them some diamnonds.",0.1130952380952381,"ir. Taliak, a diamine merchant, of 5. Belgrave-street, Eusten-road, depone that on Memarch 2,,;h, two men came to his house, aand asked him to show them some diamonds.","Mr. Taliak, a diamine merchant, of 5. Belgrave Street, Eusten Road, revealed that on March 2, 1894, two men came to his house, and asked him to show them some diamonds.",0.09937888198757763,0.13664596273291926,-37.500000000000014
4,Two parcels were shown them.,"Two parcels wero shown them,",0.0714285714285714,"Two parcels were shown them,","Two parcels were shown them,",0.03571428571428571,0.03571428571428571,0.0
5,While the men were looking at the diamonds the prisoner Palmer struck witness to heavy blows on the head.,While the men were lookingf at the diamonds the prisoner Palmer struck witnees two heavy blows on the head.,0.02803738317757,While the men were looking at the diamonds the prisoner Palmer struck witness two heavy blows on the head.,While the men were looking at the diamonds the prisoner Palmer struck witness two heavy blows on the head.,0.009523809523809525,0.009523809523809525,0.0
6,"He was stunned, the two men ran away, and stole one hundred and eighty carats of diamonds, value £1,400.","He was stunned, the two men ran away, and stole one hundred and eighty carats of diarnonds, value �14100.",0.0471698113207547,"He was stunned, the two men ran away, and stole one hundred and eighty carats of diamond, value �14100.","He was stunned, the two men ran away, and stole one hundred and eighty carats of diamond, value �14100.",0.038461538461538464,0.038461538461538464,0.0
7,"One of the men (Dusant) was arrested, and has since been convicted and sentenced to penal servitude.","One of the meii' (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.",0.0490196078431372,"One of the meii' (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.","One of the ‘meii’ (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.",0.05,0.06,-19.99999999999999
8,He positively identified Palmer as the other man.,He positively identified Palmer as the other man.,0.0,He positively identified Palmer as the other man.,He positively identified Palmer as the other man.,0.0,0.0,
9,"Mrs. Tabak was called, and identified Palmer as one of the men concerned in the robbery.","Mmr. TaNbalc was called, and identified Palmer as one of the men con- corned in the robbery.",0.0689655172413793,"Mmr. TaNbalc was called, and identified Palmer as one of the men con- corned in the robbery.","Mmr. Taubenbach was called, and identified Palmer as one of the men con- corned in the robbery.",0.09090909090909091,0.125,-37.49999999999999
