,sent_id,gold_text,gold_label,ocr_text,ocr_label
0,1,five,CARDINAL,five,CARDINAL
1,1,James Palmer,PERSON,James Palmer,PERSON
2,1,Samuel Scandland,PERSON,Samuel Scandland,PERSON
3,1,Leon Weiner,PERSON,Leon Weiner,PERSON
4,1,Adolphe Weiner,PERSON,Adolphe Weiner,PERSON
5,1,Daniel Jacoby,PERSON,Daniel Jacoby,PERSON
6,1,Dusant,PERSON,Darcy,PERSON
7,1,Jules Tabak,PERSON,Jules Tabak,PERSON
8,1,2,MONEY,twenty-five,CARDINAL
9,1,,,the Bow Street Police-court,FAC
10,2,Languish,PERSON,Langrish,PERSON
11,3,Tabak,PERSON,Taliak,PERSON
12,3,5,CARDINAL,5,CARDINAL
13,3,Belgrave-street,GPE,,
14,3,Euston,PERSON,Eusten Road,FAC
15,3,March 25th,DATE,"March 2, 1894",DATE
16,3,two,CARDINAL,two,CARDINAL
17,4,Two,CARDINAL,Two,CARDINAL
18,5,Palmer,PERSON,Palmer,PERSON
19,5,,,two,CARDINAL
20,6,two,CARDINAL,two,CARDINAL
21,6,one hundred and eighty,CARDINAL,one hundred and eighty,CARDINAL
22,6,"1,4",CARDINAL,14100,DATE
23,7,One,CARDINAL,One,CARDINAL
24,7,Dusant,PERSON,Doeant,PERSON
25,9,Tabak,PERSON,,
26,10,first,ORDINAL,first,ORDINAL
27,11,Eleanor Denunzio,PERSON,Eleanor Denunzio,PERSON
28,11,Dusant,PERSON,Dusant,PERSON
29,11,March 25th,DATE,March 25th,DATE
30,11,the day,DATE,the day,DATE
31,11,Palmer,PERSON,Palmer,PERSON
32,15,,,Tinker,ORG
33,16,Prisoner,ORG,Prisoner,ORG
34,18,Prisoner,ORG,Prisoner,ORG
35,19,Weiner,ORG,Weiner,ORG
36,20,Witness,PERSON,,
37,20,Waterloo Station,PERSON,Wettrino Station,PERSON
38,20,Adolphs Weiner’s,ORG,Adolphus Whitehouse’s,PERSON
39,21,Waterloo Station,PERSON,Waiterloo,PERSON
40,21,the same day,DATE,the same day,DATE
41,22,6,CARDINAL,,
42,22,Dyer’s Buildings,ORG,,
43,22,Adolphe Weinger,PERSON,Adolphe Weiner,PERSON
44,23,For God’s,WORK_OF_ART,For God’s,WORK_OF_ART
45,24,Castle-street,FAC,Broadway,FAC
46,24,Chancery,ORG,Chancery Lane,FAC
47,25,first,ORDINAL,first,ORDINAL
48,28,Tabak,PERSON,Tabak,PERSON
49,28,first,ORDINAL,First,ORDINAL
50,28,5s,CARDINAL,five,CARDINAL
51,28,every week,DATE,every week,DATE
52,29,Dyer’s Buildings,FAC,Darcy,PERSON
53,30,Jacoby,PERSON,Jacoby,PERSON
54,30,Friday,DATE,Friday,DATE
55,30,Edgware,GPE,the Edgware Road,FAC
56,30,,,William,PERSON
57,32,the House of Detention,ORG,the House of Detention,ORG
58,33,the next night,TIME,,
59,33,Aylesbury,GPE,Av,FAC
60,33,Clerkenwell,PERSON,,
61,35,Monday,DATE,Monday,DATE
62,35,Weiner,ORG,Sewell,PERSON
63,35,£2 12s,MONEY,,
64,37,Weiner,ORG,Weiner,ORG
65,37,Jacoby,PERSON,Jacisby,PERSON
66,37,3,MONEY,,
67,38,Weiner,ORG,Thorneycroft,PERSON
68,39,the Marble Arch the following,WORK_OF_ART,the Tulle Arch,FAC
69,39,Wednesday,DATE,,
70,39,Palmer,GPE,Pegher,GPE
71,40,March 25th,DATE,March 5th,DATE
72,40,Palmer,PERSON,8pm,TIME
73,42,Waterloo,PERSON,Waterloo,PERSON
74,43,nine weeks,DATE,nine weeks,DATE
75,45,Three weeks,DATE,Three centuries,DATE
76,45,Christmas Jacoby,PERSON,Jacoby,PERSON
77,45,Christmas Jacoby,PERSON,Elizabeth,PERSON
78,47,Weiner,ORG,Waeiner,PERSON
