,sent_id,gold_text,gold_label,ocr_text,ocr_label
0,1,five,CARDINAL,five,CARDINAL
1,1,James Palmer,PERSON,James Palmer,PERSON
2,1,Samuel Scandland,PERSON,Samuel Scandland,PERSON
3,1,Leon Weiner,PERSON,Leon Weiner,PERSON
4,1,Adolphe Weiner,PERSON,Adolphe Weiner,PERSON
5,1,Daniel Jacoby,PERSON,Daniel Jacoby,PERSON
6,1,Dusant,PERSON,Dasant,PERSON
7,1,Jules Tabak,PERSON,Jules Tabak,PERSON
8,1,2,MONEY,,
9,2,Languish,PERSON,Langrish,PERSON
10,3,Tabak,PERSON,Taliak,ORG
11,3,5,CARDINAL,5,CARDINAL
12,3,Belgrave-street,GPE,,
13,3,Euston,PERSON,,
14,3,March 25th,DATE,"Me\arch 2,i,;h",FAC
15,3,two,CARDINAL,two,CARDINAL
16,4,Two,CARDINAL,Two,CARDINAL
17,5,Palmer,PERSON,Palmer,PERSON
18,5,,,two,CARDINAL
19,6,two,CARDINAL,two,CARDINAL
20,6,one hundred and eighty,CARDINAL,one hundred and eighty,CARDINAL
21,6,"1,4",CARDINAL,14100,DATE
22,7,One,CARDINAL,One,CARDINAL
23,7,Dusant,PERSON,Doeant,PERSON
24,9,Tabak,PERSON,TaNbalc,PERSON
25,10,first,ORDINAL,first,ORDINAL
26,11,Eleanor Denunzio,PERSON,Eleanor Denunzio,PERSON
27,11,Dusant,PERSON,Dusant,PERSON
28,11,March 25th,DATE,March 25th,DATE
29,11,the day,DATE,the day,DATE
30,11,Palmer,PERSON,Palmer,PERSON
31,16,Prisoner,ORG,Prisoner,ORG
32,18,Prisoner,ORG,Prisoner,ORG
33,19,Weiner,ORG,Weiner,ORG
34,20,Witness,PERSON,,
35,20,Waterloo Station,PERSON,Wettrino Station,PERSON
36,20,Adolphs Weiner’s,ORG,AdoOlphe WAeiner's,ORG
37,21,Waterloo Station,PERSON,Waiterloo,PERSON
38,21,the same day,DATE,the saime day,DATE
39,22,6,CARDINAL,,
40,22,Dyer’s Buildings,ORG,,
41,22,Adolphe Weinger,PERSON,Adolphe Weiner,PERSON
42,23,For God’s,WORK_OF_ART,,
43,24,Castle-street,FAC,,
44,24,Chancery,ORG,,
45,25,first,ORDINAL,first,ORDINAL
46,28,Tabak,PERSON,,
47,28,first,ORDINAL,First,ORDINAL
48,28,5s,CARDINAL,,
49,28,every week,DATE,,
50,28,,,Sthen,GPE
51,29,Dyer’s Buildings,FAC,Bnildigi,PERSON
52,29,,,1!0,CARDINAL
53,30,Jacoby,PERSON,Jacoby,PERSON
54,30,Friday,DATE,Fri'av,EVENT
55,30,Edgware,GPE,Edgware,GPE
56,30,,,hoeveoer,PERSON
57,32,the House of Detention,ORG,the House of Detention,ORG
58,32,,,takre,CARDINAL
59,33,the next night,TIME,night,TIME
60,33,Aylesbury,GPE,,
61,33,Clerkenwell,PERSON,euweli,ORG
62,34,,,3s,CARDINAL
63,35,Monday,DATE,Monday,DATE
64,35,Weiner,ORG,Wesiner,PERSON
65,35,£2 12s,MONEY,12,CARDINAL
66,37,Weiner,ORG,Weiner,ORG
67,37,Jacoby,PERSON,Jacisby,PERSON
68,37,3,MONEY,,
69,37,,,-he,PERSON
70,38,Weiner,ORG,NATehier,ORG
71,39,the Marble Arch the following,WORK_OF_ART,Arch,PERSON
72,39,Wednesday,DATE,Woedesd,PERSON
73,39,Palmer,GPE,,
74,40,March 25th,DATE,Marclh ui5th,FAC
75,40,Palmer,PERSON,8ecmiJPalrner,CARDINAL
76,42,Waterloo,PERSON,Waterloo,PERSON
77,43,nine weeks,DATE,nine weeks,DATE
78,44,,,Witness kolemw,PERSON
79,45,Three weeks,DATE,Three,CARDINAL
80,45,Christmas Jacoby,PERSON,Christ-,ORG
81,45,Christmas Jacoby,PERSON,Jacoby,PERSON
82,46,,,Toney,PERSON
83,47,Weiner,ORG,Waeiner,PERSON
84,48,,,XrDom,PRODUCT
85,50,,,ho,PERSON
