Unnamed: 0,OCR Text,Ground Truth,Lexical Correction,Model Correction,old_CER,new_CER,CER_reduction
0,"In both these instances the helmets had dropped without gidance, bat in the csse of Mr.","In both these instances the helmets had dropped without guidance, but in the case of Mr.","In both these instances the helmets had dropped without guidance, bat in the case of Mr.","In both these instances the helmets had dropped without guidance, but in the case of Mr.",0.011363636363636364,0.0,100.0
1,"t Wll yon depart in peace, and swear never to come here more?","“Will you depart in peace, and swear never to come here more?","t Wll yon depart in peace, and swear never to come here more?","“Will you depart in peace, and swear never to come here more?",0.06557377049180328,0.0,100.0
2,"HIurrying home, he wrote a few lines to Mr.","Hurrying home, he wrote a few lines to Mr.","HIurrying home, he wrote a few lines to Mr.","Rushing home, he wrote a few lines to Mr.",0.023809523809523808,0.09523809523809523,-300.0
3,"But aho is a mere ereature of the imagination.'' Auriol groaned, and sank against the wall,","“But she is a mere creature of the imagination.” Auriol groaned, and sank against the wall.","But who is a mere creature of the imagination.'' Auriol groaned, and sank against the wall,","But who is a mere creature of the imagination.” Auriol groaned, and sank against the wall.",0.06593406593406594,0.03296703296703297,50.0
4,But it wonld avail nothing.,“But it would avail nothing.,But it wonld avail nothing.,But it would avail nothing.,0.07142857142857142,0.03571428571428571,50.0
5,"`A to you, you've the comfort of knowing it'll soon be oer with you.","“As to you, you’ve the comfort of knowing it’ll soon be over with you.","`A to you, you've the comfort of knowing it'll soon be oer with you.","“A to you, you’ve the comfort of knowing it’ll soon be over with you.",0.07142857142857142,0.014285714285714285,80.0
6,"Yon will awaken with rery different thoughts in the morning.'' IHow am I to account for my sudden accession of wealth 1'' inquired Auriol, after a pause.","You will awaken with very different thoughts in the morning.” “How am I to account for my sudden accession of wealth?” inquired Auriol, after a pause.","Yon will awaken with very different thoughts in the morning.'' IHow am I to account for my sudden accession of wealth 1'' inquired Auriol, after a pause.","You will awaken with very different thoughts in the morning.” “How am I to account for my sudden accession of wealth?” inquired Auriol, after a pause.",0.05333333333333334,0.0,100.0
7,"At length I hase my wish,'' he ecriel.","“At length I have my wish,” he cried.","At length I have my wish,'' he decried.","At length I have my wish,” he cried.",0.13513513513513514,0.02702702702702703,80.0
8,"This person had gained the house from a garden behind it, and now stood in a large dismantled hall, from which a broad oaken staircnse, with cnriously-cared banisters, led to a gallery, and thence to the upper chambcrs of the habitation.","This person had gained the house from a garden behind it, and now stood in a large dismantled hall, from which a broad oaken staircase, with curiously-carved banisters, led to a gallery, and thence to the upper chambers of the habitation.","This person had gained the house from a garden behind it, and now stood in a large dismantled hall, from which a broad oaken staircase, with cnriously-cared banisters, led to a gallery, and thence to the upper chambers of the habitation.","This person had gained the house from a garden behind it, and now stood in a large dismantled hall, from which a broad oaken staircase, with curiously-carved banisters, led to a gallery, and thence to the upper chambers of the habitation.",0.008403361344537815,0.0,100.0
9,Io known him these tno hundred yenrs.'' Eh day 1,“I’ve known him these two hundred years.” “Eh day!,Io known him these tno hundred years.'' Eh day 1,I’ve known him these two hundred years.” “Ha!,0.2,0.12,40.00000000000001
10,whos this7'' eried Thorneyeroft.,who’s this?” cried Thorneycroft.,who this7'' eried Thorneyeroft.,who this?” cried Thorneycroft.,0.21875,0.0625,71.42857142857143
11,"The comumunication thus strangely made seemed highly displeasing to Rongemont, who knitted his browe, and delivered some instructions in an under tone to the monkey.","The communication thus strangely made seemed highly displeasing to Rougemont, who knitted his brows, and delivered some instructions in an undertone to the monkey.","The communications thus strangely made seemed highly displeasing to Rongemont, who knitted his brows, and delivered some instructions in an under tone to the monkey.","The communications thus strangely made seemed highly displeasing to Rougemont, who knitted his brows, and delivered some instructions in an under tone to the monkey.",0.018404907975460124,0.012269938650306749,33.333333333333336
12,"Not that I pays much regard to wot you'o bin a readin' in his pspers,'' pursuel Ginger; `` tlo gemman's evilently half-cracked, if he ain't erackod altogether-ut e's jist the person to work npon.","“Not that I pays much regard to wot you’ve bin a readin’ in his papers,” purused Ginger; “the gemman’s evidently half-cracked, if he ain’t cracked altogether—but he’s jist the person to work upon.","Not that I pays much regard to wot you'o bin a readin' in his papers,'' pursued Ginger; `` the gemman's evidently half-cracked, if he ain't cracked altogether-ut e's jist the person to work npon.","Not that I pays much regard to wot you’ve been a-readin’ in his papers,” pursued Ginger; “the gemman’s evidently half-cracked, if he ain’t cracked altogether—but he’s jist the person to work upon.",0.09693877551020408,0.030612244897959183,68.42105263157893
13,"Who, and what are you 7'' ee Some men would cnll me the deill'' replied Rongemont, carelessly.",“Who and what are you?” “Some men would call me the devil!” replied Rougemont carelessly.,"Who, and what are you 7'' ee Some men would call me the weill'' replied Rongemont, carelessly.","Who, and what are you?” “Some men would call me the well-born,” replied Rougemont carelessly.",0.1797752808988764,0.12359550561797752,31.25
14,"A hundred years after that, and their children's children will be gone to the grae.","A hundred years after that, and their children’s children will be gone to the grave.","A hundred years after that, and their children's children will be gone to the grave.","A hundred years after that, and their children’s children will be gone to the grave.",0.011904761904761904,0.0,100.0
15,Tlis seems a werry mysterious sort o' person.,“This seems a werry mysterious sort o’ person.,Tlis seems a werry mysterious sort o' person.,This seems a werry mysterious sort o’ person.,0.06521739130434782,0.021739130434782608,66.66666666666666
16,"Tlere's no hurry.'' e No; e must decile at vonce,'' ssid the Tinker.","“There’s no hurry.” “No; ve must decide at vonce,” said the Tinker.","Tlere's no hurry.'' e No; e must decile at once,'' ssid the Tinker.","There’s no hurry.” “No; ve must decide at once,” said the Tinker.",0.19402985074626866,0.029850746268656716,84.61538461538461
17,"e shall meet again ere ]ong.'' And withont a word more, he hurried awa.","Ve shall meet again ere long.” And without a word more, he hurried away.","e shall meet again ere ]ong.'' And withont a word more, he hurried away.","I shall meet again ere long.” And without a word more, he hurried away.",0.06944444444444445,0.027777777777777776,60.00000000000001
18,"Ay-ay,'' replied the Sandman.","“Ay—ay,” replied the Sandman.","Ay-ay,'' replied the Sandman.","“Ay—ay,” replied the Sandman.",0.13793103448275862,0.0,100.0
19,Who is it1'' groaned the dog-fancier.,“Who is it?” groaned the dog-fancier.,Who is it1'' groaned the dog-fancier.,Who is it?” groaned the dog-fancier.,0.10810810810810811,0.02702702702702703,75.0
