Unnamed: 0,OCR Text,Ground Truth,Lexical Correction,Model Correction,old_CER,new_CER,CER_reduction
0,"And seating himself at the table, near the fire, he kicked up the lad, who was lying fast asleep on the coals, and bade him fetch a pot of half-and-half.","And seating himself at the table, near the fire, he kicked up the lad, who was lying fast asleep on the coals, and bade him fetch a pot of half-and-half.","And seating himself at the table, near the fire, he kicked up the lad, who was lying fast asleep on the coals, and bade him fetch a pot of half-and-half.","And seating himself at the table, near the fire, he kicked up the lad, who was lying fast asleep on the coals, and bade him fetch a pot of half-and-half.",0.0,0.0,
1,You will witness its effect anon.,You will witness its effect anon.,You will witness its effect anon.,You will witness its effect anon.,0.0,0.0,
2,"Auriol sprang forward and tried w crush the reptile with his heel; but, avoiding the blow, it coiled around his leg, and plunged its venom teeth into his flesh.","Auriol sprang forward and tried to crush the reptile with his heel; but, avoiding the blow, it coiled around his leg, and plunged its venom teeth into his flesh.","Auriol sprang forward and tried w crush the reptile with his heel; but, avoiding the blow, it coiled around his leg, and plunged its venom teeth into his flesh.","Auriol sprang forward and tried to crush the reptile with his heel; but, avoiding the blow, it coiled around his leg, and plunged its venomous teeth into his flesh.",0.012422360248447204,0.018633540372670808,-50.000000000000014
3,"He had somewhat the appearance of a groom, being clothed in a long grey coat, drab knees, and small top-boots.","He had somewhat the appearance of a groom, being clothed in a long grey coat, drab knees, and small top-boots.","He had somewhat the appearance of a groom, being clothed in a long grey coat, drab knees, and small top-boots.","He had somewhat the appearance of a groom, being clothed in a long grey coat, drab knee-breeches, and small top-boots.",0.0,0.07272727272727272,-inf
4,My friends are ready to undertake the job.,My friends are ready to undertake the job.,My friends are ready to undertake the job.,My friends are ready to undertake the job.,0.0,0.0,
5,"“ Indeed !” exclaimed the iron-merchant, with a puzzled look.","“Indeed!” exclaimed the iron-merchant, with a puzzled look.","“ Indeed !” exclaimed the iron-merchant, with a puzzled look.","“Indeed!” exclaimed the iron-merchant, with a puzzled look.",0.03389830508474576,0.0,100.0
6,"24 AURIOL. One of them was tall and gaunt, with large hands and feet ; but despite his meagreness, he evidently possessed great strength: the other was considerably shorter, but broad-shouldered, bow-legged, long-armed, and altogether a most formidable ruffian.","One of them was tall and gaunt, with large hands and feet; but despite his meagreness, he evidently possessed great strength: the other was considerably shorter, but broad-shouldered, bow-legged, long-armed, and altogether a most formidable ruffian.","24 AURIOL. One of them was tall and gaunt, with large hands and feet ; but despite his meagreness, he evidently possessed great strength: the other was considerably shorter, but broad-shouldered, bow-legged, long-armed, and altogether a most formidable ruffian.","24 Auriol. One of them was tall and gaunt, with large hands and feet; but despite his meagreness, he evidently possessed great strength: the other was considerably shorter, but broad-shouldered, bow-legged, long-armed, and altogether a most formidable ruffian.",0.04819277108433735,0.04417670682730924,8.333333333333336
7,"“ Tt is true,” said Rougemont.","“It is true,” said Rougemont.","“ Tt is true,” said Rougemont.","“It is true,” said Rougemont.",0.06896551724137931,0.0,100.0
8,"That bottle, I have learnt from yon volume, contains an infernal potion, which, without destroying life, shatters the brain, and creales maddening fancies.","That bottle, I have learnt from yon volume, contains an infernal potion, which, without destroying life, shatters the brain, and creates maddening fancies.","That bottle, I have learnt from yon volume, contains an infernal potion, which, without destroying life, shatters the brain, and creates maddening fancies.","That bottle, I have learnt from that volume, contains an infernal potion, which, without destroying life, shatters the brain, and creates maddening fancies.",0.0,0.025806451612903226,-inf
9,"Her hair which she wore braided over her brow and gathered behind in a massive roll, was black and glossy as a raven’s wing.","Her hair, which she wore braided over her brow and gathered behind in a massive roll, was black and glossy as a raven’s wing.","Her hair which she wore braided over her brow and gathered behind in a massive roll, was black and glossy as a raven’s wing.","Her hair, which she wore braided over her brow and gathered behind in a massive roll, was black and glossy as a raven’s wing.",0.008,0.0,100.0
