,OCR Text,Ground Truth,Lexical Correction
0,"In both these instances the helmets had dropped without gidance, bat in the csse of Mr.","In both these instances the helmets had dropped without guidance, but in the case of Mr.","In both these instances the helmets had dropped without guidance, bat in the case of Mr."
1,"t Wll yon depart in peace, and swear never to come here more?","“Will you depart in peace, and swear never to come here more?","t Wll yon depart in peace, and swear never to come here more?"
2,"HIurrying home, he wrote a few lines to Mr.","Hurrying home, he wrote a few lines to Mr.","HIurrying home, he wrote a few lines to Mr."
3,"But aho is a mere ereature of the imagination.'' Auriol groaned, and sank against the wall,","“But she is a mere creature of the imagination.” Auriol groaned, and sank against the wall.","But who is a mere creature of the imagination.'' Auriol groaned, and sank against the wall,"
4,But it wonld avail nothing.,“But it would avail nothing.,But it wonld avail nothing.
5,"`A to you, you've the comfort of knowing it'll soon be oer with you.","“As to you, you’ve the comfort of knowing it’ll soon be over with you.","`A to you, you've the comfort of knowing it'll soon be oer with you."
6,"Yon will awaken with rery different thoughts in the morning.'' IHow am I to account for my sudden accession of wealth 1'' inquired Auriol, after a pause.","You will awaken with very different thoughts in the morning.” “How am I to account for my sudden accession of wealth?” inquired Auriol, after a pause.","Yon will awaken with very different thoughts in the morning.'' IHow am I to account for my sudden accession of wealth 1'' inquired Auriol, after a pause."
7,"At length I hase my wish,'' he ecriel.","“At length I have my wish,” he cried.","At length I have my wish,'' he decried."
8,"This person had gained the house from a garden behind it, and now stood in a large dismantled hall, from which a broad oaken staircnse, with cnriously-cared banisters, led to a gallery, and thence to the upper chambcrs of the habitation.","This person had gained the house from a garden behind it, and now stood in a large dismantled hall, from which a broad oaken staircase, with curiously-carved banisters, led to a gallery, and thence to the upper chambers of the habitation.","This person had gained the house from a garden behind it, and now stood in a large dismantled hall, from which a broad oaken staircase, with cnriously-cared banisters, led to a gallery, and thence to the upper chambers of the habitation."
9,Io known him these tno hundred yenrs.'' Eh day 1,“I’ve known him these two hundred years.” “Eh day!,Io known him these tno hundred years.'' Eh day 1
10,whos this7'' eried Thorneyeroft.,who’s this?” cried Thorneycroft.,who this7'' eried Thorneyeroft.
