OCR Text,Ground Truth
"A pal of mine gets hold on it, and the gent soon offers a reward for its recovery.","A pal of mine gets hold on it, and the gent soon offers a reward for its recovery."
"Ie heen in a hundred different walks of life, but they always led dow","I’ve been in a hundred different walks of life, but they always led down hill."
"TIIl then, farewell, Ebba.'' And, ns the coach droe away, he addel to the Tinker, ' Nos, ruascal, wht hae you to say 7'' Step this vay, sir,'' replied the Tinker.","Till then, farewell, Ebba.” And, as the coach drove away, he added to the Tinker, “Now, rascal, what have you to say?” “Step this vay, sir,” replied the Tinker."
"e How comes it,'' he said, stretching out his lcgs, anl arranging his neckcloth,-`' how comes it, if you'e livel so long, that you ain't higher up in the stirups-bctter off, as folks say ? Tho dwarf rado no reply, but covering his faco with his hands, sceenned a prey to deep emotion.","“How comes it,” he said, stretching out his legs, and arranging his neckcloth,—“how comes it, if you’ve lived so long, that you ain’t higher up in the stirrups—better off, as folks say?” The dwarf made no reply, but covering his face with his hands, seemed a prey to deep emotion."
"There were heaps of rusty iron chains flang tagether like fishermen's nets, old iron area-guards, iron kitchen-fenders, old grates, safes, piles of old iron bowls, a large assortment of old iron pans and dishes, a ditto of old ovens, kettles without number, sledge-hammers, anils, braziers, chimney-cowls, and smokejaeks.","There were heaps of rusty iron chains flung together like fishermen’s nets, old iron area-guards, iron kitchen-fenders, old grates, safes, piles of old iron bowls, a large assortment of old iron pans and dishes, a ditto of old ovens, kettles without number, sledge-hammers, anvils, braziers, chimney-cowls, and smoke-jacks."
"Entering a narrow street, guarded by posts and crossbars, n few steps from the crowded thoroughfare brought yon into a frigltful region, the refuge, it was easy to perceie, of half th lawless characters infesting the metropolis.","Entering a narrow street, guarded by posts and cross-bars, a few steps from the crowded thoroughfare brought you into a frightful region, the refuge, it was easy to perceive, of half the lawless characters infesting the metropolis."
"He said he should return this day week.'' If he eomes I will not seo him,'' eried Anriol, sharply; ""mind thnt.","He said he should return this day week.” “If he comes I will not see him,” cried Auriol sharply; “mind that."
"Her cleeks were dimpled, her lips of velvet softness, and her teeth like rages of pearls.","Her cheeks were dimpled, her lips of velvet softness, and her teeth like ranges of pearls."
"No, his heart still bcats.","No, his heart still beats."
"There's pretty plain signs on it at yonder door,'' So there be, John,'' replied Ned, peeping round.","There’s pretty plain signs on it at yonder door.” “So there be, John,” replied Ned, peeping round."
"e Precisely,'' obserred tlo other.","“Precisely,” observed the other."
"The carriage was there with its fotr horses, and a man-serant, in trs-] velling sttire, stood beside the steps.","The carriage was there with its four horses, and a man-servant, in travelling attire, stood beside the steps."
"e Not for worls,'' rejoined Dare, hugging the phial to his breast.","“Not for worlds,” rejoined Darcy, hugging the phial to his breast."
"Thorneycroft, turming pale, and trembling.","Thorneycroft, turning pale, and trembling."
"How to reconcile this with the geod fortune which hass just befallen me, I know not-bnt so it was.","How to reconcile this with the good fortune which has just befallen me, I know not—but so it was."
"Not content with one perusal, he looked them all over again, and ten began to rub his hands with great glee.","Not content with one perusal, he looked them all over again, and then began to rub his hands with great glee."
"It would be useless to explain to yon ow ho you have suffered from fever, and what isions yonr delirium ias produced.","It would be useless to explain to you now how you have suffered from fever, and what visions your delirium has produced."
"Tiuged by these fires, the diflerent objects in the chamber seemed to take othoer forms, and to become instinct with animation.","Tinged by these fires, the different objects in the chamber seemed to take other forms, and to become instinct with animation."
"The range of lbitations in qucstion, more than a dozen in numbcr, wero, in all probability, what is ulgarly called `in Chancery,'' and shared the fate of most property similnrly circumstanced.","The range of habitations in question, more than a dozen in number, were, in all probability, what is vulgarly called “in Chancery,” and shared the fate of most property similarly circumstanced."
"t Heaven have mercy upon mel'' exclaimed the agonised girl, dropping upon her knees.","“Heaven have mercy upon me!” exclaimed the agonised girl, dropping upon her knees."
"So let's be off, As he spoke, the Tinker and Sandman arose; and tho man in the rough grent-coat, who had hitherto remined with his back to them, tnrned round.","“So let’s be off.” As he spoke, the Tinker and Sandman arose; and the man in the rough greatcoat, who had hitherto remained with his back to them, turned round."
"What-what have yon herd, sir7'' demanded Anriol.","“What—what have you heard, sir?” demanded Auriol."
"Loftas (for so ho was called) was a retired merchant, of moderate fortune, and lived in Abingdon-street.","Loftus (for so he was called) was a retired merchant, of moderate fortune, and lived in Abingdon Street."
"e'll take care of yon, don't be afeerd, old gent,'' said Ginger.","ve’ll take care on you, don’t be afeerd, old gent,” said Ginger."
":Here, lazy-bones, glasses o' rum-an'-vater, all round,'' Tho drowsy yonth bestirrel himself to exeeute the command.","“Here, lazy-bones, glasses o’ rum-an’-vater, all round.” The drowsy youth bestirred himself to execute the command."
"how different you are from what you were as week ago,'' said Ebba, playfull.","how different you are from what you were a week ago,” said Ebba playfully."
"They bore his name, and contained some writing, and he exclaimed alond with joy, ` This is proof enough-I hae been dreaming nll this while.' EThe scheme works to a miracle,'' muttered s personage tationed at the foot of the stepe springing from the dooray. and who, though concealed from view himself, was watching the prisoner with a malignant and exulting gaze.","They bore his name, and contained some writing, and he exclaimed aloud with joy, “This is proof enough—I have been dreaming all this while.” “The scheme works to a miracle,” muttered a personage stationed at the foot of the steps springing from the doorway, and who, though concealed from view himself, was watching the prisoner with a malignant and exulting gaze."
Manya first-rate svell practises in ourline.,“Many a first-rate svell practises in our line.
"HIo hell a large goblet filled with some potent liquid to her lips, and compelled her to swallow a portion of it.","He held a large goblet filled with some potent liquid to her lips, and compelled her to swallow a portion of it."
"Stout upright posts, supporting eross-beams on the top, were placed at intervals on oither side of the yard, and these were decorated, in the most artistic style, with rattraps, man-trps, iron lanterns, pnlleys, padlocks, chains, trivets, triangles, iron rods, disused strcet lampe, dismounted cannon and anchors.","Stout upright posts, supporting cross-beams on the top, were placed at intervals on either side of the yard, and these were decorated, in the most artistic style, with rat-traps, man-traps, iron lanterns, pulleys, padlocks, chains, trivets, triangles, iron rods, disused street lamps, dismounted cannon, and anchors."
5--3t AUI0L. TE DOG-FANCIER. TE RooxEn1,Chapter 2 The DOG-FANCIER The Rookery!
Not a word was spoken by any one during the ride.,Not a word was spoken by any one during the ride.
"' Are you human 7'' t As yonrself,'' Then you seek in vain to etrggle with the powers of arkness,'' said Auriol.","“Are you human?” “As yourself.” “Then you seek in vain to struggle with the powers of darkness,” said Auriol."
"Ask no questions,'' replied Rougemont, knoeking ast the door, which was instantly opened by a hall porter, while other sorvants in rich liveries appeared at a distancee.","“Ask no questions,” replied Rougemont, knocking at the door, which was instantly opened by a hall porter, while other servants in rich liveries appeared at a distance."
"These neglected dwellings served as receptacles for old iron, blocks of stone and wood, and other ponderous matters.","These neglected dwellings served as receptacles for old iron, blocks of stone and wood, and other ponderous matters."
"As she inhaled the gentle breeze, and felt the warm sunshine upon her cheek, her tioughts wanderel away into the green meadows in which she had strayed as a child, and sho longed to ramble amid them again.","As she inhaled the gentle breeze, and felt the warm sunshine upon her cheek, her thoughts wandered away into the green meadows in which she had strayed as a child, and she longed to ramble amid them again."
"I wish I culd persuade myself I had lived for two centuries and a half,'' Would you could hao seen the ancient ecross, whlch once stood there, erected by Edward tho Firet to his beloved wife, ' Eleanor of Castile,''' said Morso, heedless of theI other's remark.","“I wish I could persuade myself I had lived for two centuries and a half.” “Would you could have seen the ancient cross, which once stood there, erected by Edward the First to his beloved wife, ‘Eleanor of Castile’!” said Morse, heedless of the other’s remark."
"Massie chains of the more costly metal, fashioned like twisted snakes, sered as suspenders to the lamp.","Massive chains of the more costly metal, fashioned like twisted snakes, served as suspenders to the lamp."
"Wo ha'n't had our trouble for nuffin',' t Glad to hear it l'' said the Sandman, looking hard at him.","We ha’n’t had our trouble for nuffin’.” “Glad to hear it!” said the Sandman, looking hard at him."
But you will think better of the bargain to-morrow,But you will think better of the bargain to-morrow.
"You must engage to obey my orders, withont questioning, when we arrive at our destination,'' rejoined Reeks.","“You must engage to obey my orders, without questioning, when we arrive at our destination,” rejoined Reeks."
"Ad at the words, a heasy slab of marble rose slowly from the floor near here Ebba sat, and disclosed a dark pit beneath.","And at the words, a heavy slab of marble rose slowly from the floor near where Ebba sat, and disclosed a dark pit beneath."
"I von't listen to sttements affectin' the characters of absent parties.' Statements affectin' our characters,-da you tvig that, sir7 I do, indeed,'' aaid Thorneyeroft, sighing; ``and I am sorry to think such n remark should have dropped from tho bench.'' You're right to say dropped from it, sir,'' laughed Ginger.","I von’t listen to statements affectin’ the characters of absent parties.’ Statements affectin’ our characters,—do you tvig that, sir?” “I do, indeed,” said Thorneycroft, sighing; “and I am sorry to think such a remark should have dropped from the bench.” “You’re right to say dropped from it, sir,” laughed Ginger."
"His attire consisted of a blaek satin doublet, slashed with white, hose of black silk, and a slort velet mantle.","His attire consisted of a black satin doublet, slashed with white, hose of black silk, and a short velvet mantle."
"ANO8 PATo, 1550. In two hnndred and fifty years I shnll open l'' cried Rougemont, `' and the date 1350-why, the exact time is arrived.","ANNOS PATEBO, 1550.” “In two hundred and fifty years I shall open!” cried Rougemont, “and the date 1550—why, the exact time is arrived."
"ntermea,-1800., --O the night of tho 1st of March, 1800, and st a late hour, a man, wrapped in a large horseman's cloak, and of strangoe and sinister appearance, entered an old deserted house in the neighbourhood of Stepney-green.","Chapter 1 The Tomb of the Rosicrucian On the night of the 1st of March 1800, and at a late hour, a man, wrapped in a large horseman’s cloak, and of strange and sinister appearance, entered an old deserted house in the neighbourhood of Stepney Green."
It han't its equil for beanty.,It han’t its equil for beauty.
