gold_sent,ocr_sent,CER
A@@@@@@@@@@U@@@@@@@@@@@@@@@@@@R@@@IO@@@L@@@@@@@@ or@ @@@@@@@@@@The@ Elix@i@@@@r@ of L@@@@@@@@@@if@@@e@@ W@@@@@@@@@@@i@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@l@@@@@@@@@@@@@@@@@@@@l@@@@@@@@@i@@am@ Ha@@@@@@@@r@@@r@@is@o@@@@@@n A@@@@@@@@@@@@@@@@@@@@i@n@@@@@@@@@@@@@@s@@@@@@@@@wor@@@@@@@@@@@@@@@@@@@@@@@@@@th@@ W@@@@@@@@@@@i@@t@@@@@@@@@@@@@@@@@@h@@@@@@@@ I@@@@@@@@@@l@@@@@@@@lus@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@t@@@@@@@@@@@@@@@@r@a@ti@@@@@@@on@@@@@@@@@@@@@@@@@@@@@@@@@@@s@ b@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@y@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ H.,"11 ]laia H U U1Clalll U NIV E R S IT Y Libraries oOF OX F O RD This book is part of the collection held by the Bodleian Libraries and scanned by Google, Inc. for the Google Books Library Project For more information see: http:l/www.bodleian.ox.ac.ukdbooks a2 This work is licensed under a Creative Commons Attribution-NonCommercialShareAlike 2.0 UK: England & Wales (CC BY-NC-SA 2.0) licence. -. .AS'a . 5 ]t . s as oly interva tlelete Nos: LEWIS ARUNDEL. By F. SzoLs. HARRY CONVERDALE'S COURTFRANR FAIRLEGH. By F. SEoLEx. WVINDSOR CASTLE. By W. H.",0.8959854014598541
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@K@@@@@@@@@.,"AswoTHR. GUY FAWRES. Tne MIsER'S DAUGHTER.,, JACK SHEPPARD.",0.9661016949152542
B@@@@@@@@@@@@@@@@@@@@@@@@@@ro@@@@@@@@@@w@@@ne@@@ @@@@@@@@P@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@rol@@o@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@g@u@@@@@@@@@@@@@@@@@@@@@e@ @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@1@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@5@9@9@@@ D@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@r@@.,"MERVYN CLITHEROE. ROOROOD. rhe LAcasrE wrrcnss.. oLD ST. PAULS. CON CREGAN. By Canes LnvzR. TOM BURRE. HARRY LORREOUER. ,, HANDY ANDY. By SAwusL LovsR. CAN YOU FORGIVE HER By Asros ToLLor. IIIII 2 3 . .. A. .5 . -ii sx; . t. :. Pg 'i5 R:32 'a R rA h I ge: L. :. . ,, . .: .e E : :e oN E t , . 1 2-: 3 . : -. LL. ei i , L 4s 1 A VMh : . h 5 1 IIea I I --:: YI . 1I K : . 1I , :. 1 ---: ,.. 5 2: GI ard .",0.9601990049751243
@@@@L@@a@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@mb@ @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@T@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@h@@@@@@@@@@@@@@@@@@@@@@@@@@@e@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@ Sixteenth Century drew to a close.,"' i L3 as O : x: L.eAS -. ; s .. :. n ..:it. ::.: t,.:' .Z: :. ... S Ne W i l. -g i . r. , a3y.. -3 . mi, . i1 : . ,, YCl IC - xrLL. LLLILLm Ar& i g :.s i I. e.: e . L I eg , A,. Li M. N -C :. a -.:... A . + s: II ]--;--' L1 GH 4 A. 1 s en T. 1 7 e i t I g x i t e Si.2 3r M] -X r s c e.. ' es kb e t :.:e.. r iRea, . 1 ., a s mc . .I. e . , ..: r .. .' ,.e e A :). . I. ., t. J.I. .'.x. se' -::-. h-. . . :. W: ' . .. t x .. e. -' ,. ./ 3AURIOL THE ELIxIR OF LIFE w. aaso Aswor. Eea t. E 5. a4. 'y d o e 7--LIST OF ILLUSTRATIONS. THE MYSTERIOUs IMTERVIEW IN HYDE PARK Tl. o THE RUINED HOUSE IN THE VAUXHALL ROAD. 3 THE BARBER OF LONDON. sEIZURE OF EBBAo THE ANTIQUARIES -ss ..6o ..66 95 Ie3 -.7 ..as .1335 ..68 ROUGEMONT3 DEVICE TO PERPLEX AURIOL . .9I T T A U R I O L. preIiogue-16o. TuE Sixteenth Century drew to a close.",0.9490291262135923
"It was the last day of the last year, and two hours only were wanting to the birth of another year and of anothe@r century.","It was the lsst day of tho last year, and two hours anly were wanting to the birth of another year and of anothaor century.",0.04065040650406504
The night was solemn and beautiful.,The night was solemn and beautiful.,0.0
"Myriads of stars paved the deep vault of heaven; the crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quiv@ering light, issuing from the north, traversed the sky, like the tail of some stupendous comet; while from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.","Myriads of sta@n pa@ed the deep vnult of hea@en; the crescent moon hung like a silver lamp in the milst of them; a stream of rosy and quivrering light@ issuing from the north@ trarersed th@ sky, like the tail of some stupendous co@et; whilo from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.",0.03299492385786802
"A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow aggravated the wholesome rigour of the season.","A sharp frost pre@ailed; but the atmosphere was clear and dry, and neither wind nor snow aggra@ated the wholesome rigour of tho season.",0.022222222222222223
"The water lay in thick congealed masses around the conduits and wells, and the buckets wer@e frozen on their stands.","Tho water lay in thick congealed masses around the conduits and wells, and tho buekets weroe frozen on thcir stands.",0.04310344827586207
"The thoroughfares @@@@@@@@were sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and pleasant to the tread.","Tho thoronghfares ADRIOL. were sheeted with ice, and dangerous to horsemen and vehicles; but the footways were firm and pleasant to the tread.",0.07042253521126761
