gold_sent,ocr_sent,CER
A@@@@@@@@@@@@@@@@@@U@@@@R@I@@@OL or@@@@ The@ Elix@i@@@@r@ of Life W@@@@@@i@@@@@l@@@@@@@@@@@@l@iam Ha@r@ri@s@on@ Ai@nsw@@@@@@o@@@@@@@@@@@@@r@th@ W@@@@@@@@@@@@@i@@@@@@@@@@@@t@@@@@@@@@@@@@@@@@@@@@@@@@@@@h@@@@@@@@@@ Il@l@@@@@@@@@@@u@@@@@@@s@t@@@@@@@@@@r@@@@@@@@@@@@@@@@@@@@a@@@@@ti@@@@o@@@ns @@@@@by@@@@@@@@@@@@@@@@@@@@@@@@@@@@ @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@H@@@@@@@@@@@@@@@@@@@@@.,"Bodleian Libraries UNIVERSITY OF OXFORD This book is part of @the collection held by the Bodleian Libraries and scanned by Google, Inc. for the Google Books Library Project. For more information see: http://www. bodleian.ox.ac.uk/dbooks hee This work is licensed under a Creative Commons Attribution-NonCommercialShareAlike 2.0 UK: England & Wales (CC BY-NC-SA 2.0) licence. 600060841P AURIOL THE ELIXIR OF LIFE BY W.",0.8705035971223022
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@K@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@.,"HARRISON AINSWORTH, Esa, AUTHOR OF “TIE TOWER OF LONDON,” &c. GEORGE ROUTLEDGE AND SONS THE BROADWAY, LUDGATE NEW YORK; 416 BROOME STREET LIST OF ILLUSTRATIONS.",0.9875
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@Br@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@o@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@wn@@@@@@@@@@@@@@@@@@@@@@@@@@@@e@ @@@@@@@@@@@@@@@@@@@@@@@@@@@@P@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@rologue 1599@ Dr.,"THE MYSTERIOUS INTERVIEW IN HYDE PARK 7o face Title. THE ELIXIR OF LONG LIFE . . . .) .. 20 THE RUINED HOUSE IN THE VAUXHALL ROAD. . 31 THE|DOG FANGER 3. i: 2 a) ® w 38 THE HAND AND THE CLOAK . . . . «= 60 THE IRON MERCHANT’S DAUGHTER . «ws (66 THE BARBEROF LONDON, . . +) «es 95 SEIZUREGFERBA. © a6 oe oe att THE ANTIQUARIES . . 2. 6 6 6 + 1197 ‘THE CHAMBER OF MYSTERY . . « . «121 THE TOMB OF THE ROSICRUCIAN . «ww. 128 THE COMPACT . . . . 1 ew ew 135 ‘THE SIGNIFICANT WHISPER). wwe 1S THE ENCHANTED CHAIRS . . . .) .. 168 ROUGEMONT’S DEVICE TO PERPLEX AURIOL . . 192 AURIOL. Prologue—1599. DR.",0.9664429530201343
Lamb@ The Sixteenth Century drew to a close.,LAMB. Tue Sixteenth Century drew to a close.,0.11363636363636363
"It was the last day of the last year, and two hours only were wanting to the birth of another year and of another century.","It was the last day of the last year, and two hours only were wanting to the birth of another year and of another century.",0.0
The night was solemn and beautiful.,The night was solemn and beautiful.,0.0
"Myriads of stars paved the deep vault of heaven; the crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quivering light, issuing from the north, traversed the sky, like the tail of some stupendous comet; while from its point of effluence broke forth, ever and anon, coruscations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.","Myriads of start paved the deep vault of heaven; the crescent moon hung like a silver lamp in the midst of them; a stream of rosy and quivering light@ issuing from the north@ traversed the sky, like the tail of some stupendous comet; while from its point of effluence broke forth, ever and anon, corascations rivalling in splendour and variety of hue the most brilliant discharge of fireworks.",0.010178117048346057
"A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow aggravated the wholesome rigour of the season.","A sharp frost prevailed; but the atmosphere was clear and dry, and neither wind nor snow aggravated the wholesome rigour of the season.",0.0
"The water lay in thick congealed masses around the conduits and wells, and the buckets were frozen on their stands.","The water lay in thick gongealed masses around the conduits and wells, and the buckets were frozen on their stands.",0.008695652173913044
"The thoroughfares @@@@@@@@@@@@were sheeted with ice, and dangerous to horsemen and vehicles@; but the footways were firm and pleasant to the tread.","The thoroughfares B 2 AURIOL. were sheeted with ice, and dangerous to horsemen and vehicles ; but the footways were firm and pleasant to the tread.",0.08843537414965986
