OCR Text,Ground Truth
"A species of intoxication, but pleasing as that produced by opium, presently succeeded.","A species of intoxication, but pleasing as that produced by opium, presently succeeded."
But you look greatly exhausted.,But you look greatly exhausted.
"In this strange apparel his diminutive limbs were encased, while additional warmth was afforded by the great-coat already mentioned, the tails of which swept the floor after him like a train.","In this strange apparel his diminutive limbs were encased, while additional warmth was afforded by the greatcoat already mentioned, the tails of which swept the floor after him like a train."
"Thorneycroft,” rejoined Reeks, in a deep stern tone, “when all is over","Thorneycroft,” rejoined Reeks, in a deep stern tone, “when all is over."
"But I am mad,” he added, suddenly checking himself — worse than mad, to indulge such hopes.","But I am mad,” he added, suddenly checking himself—“worse than mad, to indulge such hopes."
"How soothing is the calm river flowing at our feet !—how tender is the warm sky, still flushed with red, though the sun has set !—And sec, yonder hangs the crescent moon.","How soothing is the calm river flowing at our feet!—how tender is the warm sky, still flushed with red, though the sun has set!—And see, yonder hangs the crescent moon."
"“Tam so,” replied Auriol, regarding her fixedly.","“I am so,” replied Auriol, regarding her fixedly."
"Vy, ve finds you've been i’ the habit o’ makin’ avay with a young ooman vonce every ten years.","Vy, ve finds you’ve been i’ the habit o’ makin’ avay with a young ooman vonce every ten years."
"“ What does it matter?” cried Auriol, angrily.",“What does it matter?” cried Auriol angrily.
"Vere’s my two pals, I yonder?","Vere’s my two pals, I vonder?"
"Of late, the progress of improvement has caused its removal; but whether any less cogent motive would have abated the nuisance, may be questioned.","Of late, the progress of improvement has caused its removal; but whether any less cogent motive would have abated the nuisance may be questioned."
The floor was strewn with alchemical implements—the table was covered with mystic parchments inscribed with cabalistic characters—the furnace stood in the corner—crucibles and cucurbites decorated the chimneyboard—the sphere and brazen lamp hung from the ceiling— the skeletons grinned from behind the chimney-corner—all was there as he had seen it before!,The floor was strewn with alchemical implements—the table was covered with mystic parchments inscribed with cabalistic characters—the furnace stood in the corner—crucibles and cucurbites decorated the chimney-board—the sphere and brazen lamp hung from the ceiling—the skeletons grinned from behind the chimney-corner—all was there as he had seen it before!
"“I’ve seen so much, and heard so much, that my brain is quite addled.","“I’ve seen so much, and heard so much, that my brain is quite addled."
“ Heaven grant I have not wounded lim to the death!,“Heaven grant I have not wounded him to the death!
"The walls were covered with circles, squares, and diagrams, and in some places were ornamented with grotesque carvings.","The walls were covered with circles, squares, and diagrams, and in some places were ornamented with grotesque carvings."
“ Ve can bring a vitness as’ll prove the fact—a livin’ vitness.” “ What witness ?” cried Auriol.,“Ve can bring a vitness as’ll prove the fact—a livin’ vitness.” “What witness?” cried Auriol.
not so hard!” cried Ginger.,not so hard!” cried Ginger.
"His great wish was to see his daughter united to the husband of her choice, and in the hope of smoothing the way, he let Auriol understand that he should give her a considerable marriage-portion.","His great wish was to see his daughter united to the husband of her choice, and in the hope of smoothing the way, he let Auriol understand that he should give her a considerable marriage portion."
"“ Not for worlds,” rejoined Darey, hugging the phial to his breast.","“Not for worlds,” rejoined Darcy, hugging the phial to his breast."
"Hooped round the globe was a serpent with its tail in its mouth—an emblem of eternity—wrought | in purest gold; while above it were a pair of silver wings, in allusion to the soul.","Hooped round the globe was a serpent with its tail in its mouth—an emblem of eternity—wrought in purest gold; while above it were a pair of silver wings, in allusion to the soul."
"How to reconcile this with the good fortune which has just befallen me, I know not—but soit was.","How to reconcile this with the good fortune which has just befallen me, I know not—but so it was."
"Let’s look over them papers.” “ Look 'em over yourself,” rejoined the Sandman, pushing the book towards him.","Let’s look over them papers.” “Look ’em over yourself,” rejoined the Sandman, pushing the book towards him."
"The communication thus strangely made seemed highly displeasing to Rougemont, who knitted his brows, and delivered some instructions in an under tone to the monkey.","The communication thus strangely made seemed highly displeasing to Rougemont, who knitted his brows, and delivered some instructions in an undertone to the monkey."
"As he did this, various-coloured flames broke forth—now blue, now green, now blood-red.","As he did this, various-coloured flames broke forth—now blue, now green, now blood-red."
This was their destination.,This was their destination.
"“ Will you save him before he is cast, living, into the tomb ?” cried the voice.","“Will you save him before he is cast, living, into the tomb?” cried the voice."
"I have your pocket-book, and the slip of paper that dropped from it.","I have your pocket-book, and the slip of paper that dropped from it."
"“ Don’t touch it on any account,” cried Mr.","“Don’t touch it on any account,” cried Mr."
"Let me go, and perhaps it may not yet be too late to save you.” Oh no, do not leave me!” cried Ebba.","Let me go, and perhaps it may not yet be too late to save you.” “Oh no, do not leave me!” cried Ebba."
The others drew their cutlasses.,The others drew their cutlasses.
"“ He’s a reg'lar slap-up syell.” “That's no reason at all,” said the Sandman.","“He’s a reg’lar slap-up svell.” “That’s no reason at all,” said the Sandman."
"Wholly insensible to the presence of those around him, Auriol endeavoured to recal where he had seen the dwarf before.","Wholly insensible to the presence of those around him, Auriol endeavoured to recall where he had seen the dwarf before."
One cannot carn the appellation of the Barber of London without talent; and it is the consciousness of this talent that lends to Mr.,One cannot earn the appellation of the Barber of London without talent; and it is the consciousness of this talent that lends to Mr.
"Howell, the surgeon.","Howell, the surgeon."
"There also was Doctor Lamb, in his loose gown of sable silk, with a square black cap upon his venerable head, and his snowy beard streaming to his girdle.","There also was Doctor Lamb, in his loose gown of sable silk, with a square black cap upon his venerable head, and his snowy beard streaming to his girdle."
"‘“ We shall soon be out of the smoke.” “T can’t stand it,” cried Mr.","“We shall soon be out of the smoke.” “I can’t stand it,” cried Mr."
"No, it is a real barber’s and hairdresser’s shop, of the good old stamp, where you may get cut and curled for a shilling, and shaved for half the price.","No, it is a real barber’s and hairdresser’s shop, of the good old stamp, where you may get cut and curled for a shilling, and shaved for half the price."
"The bare walls were alone left standing, and these were in a very tumble-down condition.","The bare walls were alone left standing, and these were in a very tumble-down condition."
"Ebba then, for the first time, remarked him, and was startled by his strange, sinister appearance.","Ebba then, for the first time, remarked him, and was startled by his strange, sinister appearance."
"Auriol’s thoughts were sombre as the weather and the hour, and he fell into a deep fit of abstraction, from which he was roused by a hand laid on his shoulder.","Auriol’s thoughts were sombre as the weather and the hour, and he fell into a deep fit of abstraction, from which he was roused by a hand laid on his shoulder."
"It was nearly dark, but the light of the fire revealed his malignant countenance.","It was nearly dark, but the light of the fire revealed his malignant countenance."
"Not content with one perusal, he looked them all over again, and then began to rub his hands with great glee.","Not content with one perusal, he looked them all over again, and then began to rub his hands with great glee."
"The masked attendants paid no attention to the ironmerchant's cries and entreaties; but as soon as they thought him able to move, they touched a spring, which freed his arms and legs from their bondage, and raising him, dragged him out of the vault, and along a narrow passage, till they came to a large sepulchral-looking chamber, cased with black marble, in the midst of which, on a velvet fauteuil of the same hue as the walls, sat Cyprian Rougemont.","The masked attendants paid no attention to the iron-merchant’s cries and entreaties; but as soon as they thought him able to move, they touched a spring, which freed his arms and legs from their bondage, and raising him, dragged him out of the vault, and along a narrow passage, till they came to a large sepulchral-looking chamber, cased with black marble, in the midst of which, on a velvet fauteuil of the same hue as the walls, sat Cyprian Rougemont."
"His embarrassment was in some degree shared by the young lady; she blushed deeply, but could not conceal her satisfaction at the encounter.","His embarrassment was in some degree shared by the young lady; she blushed deeply, but could not conceal her satisfaction at the encounter."
"It broke from Auriol, who vainly strove to burst from those who held him, and precipitate himself after Ebba.","It broke from Auriol, who vainly strove to burst from those who held him, and precipitate himself after Ebba."
"He had a large and remarkably projecting mouth, like that-of a baboon, and a great shock head of black hair.","He had a large and remarkably projecting mouth, like that of a baboon, and a great shock head of black hair."
"The youth's figure was slight, but admirably proportioned.","The youth’s figure was slight, but admirably proportioned."
"Two hundred and fifty years had elapsed since that wondrous flame had been lighted, and yet it burnt on brightly as ever.","Two hundred and fifty years had elapsed since that wondrous flame had been lighted, and yet it burnt on brightly as ever."
"Edith arose, and passing her arm under that of her husband, they quitted the ball-room, but in place of descending the principal staircase, they took a more private course.","Edith arose, and passing her arm under that of her husband, they quitted the ball-room, but in place of descending the principal staircase, they took a more private course."
The third was laden with pearls and precious stones; and the rest contained treasure to an incalculable amount.,The third was laden with pearls and precious stones; and the rest contained treasure to an incalculable amount.
"I’ve had plenty of chances, but I never could get on.","I’ve had plenty of chances, but I never could get on."
"On recovering, all was still.","On recovering, all was still."
"“If so, I am equally culpable with you.” “ You will share our doom,” replied the third figure.","“If so, I am equally culpable with you.” “You will share our doom,” replied the third figure."
"“ What is to be done ?” “ T shall know in a few hours,” replied Ginger.","“What is to be done?” “I shall know in a few hours,” replied Ginger."
"It was near midnight before Auriol could tear himself away; and when he rose to depart, Mr.","It was near midnight before Auriol could tear himself away; and when he rose to depart, Mr."
"On one side there was a large arch, partly bricked up, through which opened a narrow doorway, though at some height from the ground.","On one side there was a large arch, partly bricked up, through which opened a narrow doorway, though at some height from the ground."
"“Well then, to oblige you, I'll go through it again,” rejoined the dwarf.","“Well then, to oblige you, I’ll go through it again,” rejoined the dwarf."
"Rougemont next took up the lamp, with the evident intention of quitting the room, seeing which, Reeks hastily retreated to an adjoining chamber, the door of which was fortunately open, and had scarcely gained its shelter when the four mysterious personages appeared on the gallery.","Rougemont next took up the lamp, with the evident intention of quitting the room, seeing which, Reeks hastily retreated to an adjoining chamber, the door of which was fortunately open, and had scarcely gained its shelter when the four mysterious personages appeared on the gallery."
"Many of them were without windows, and where the frames were left, brown paper or tin supplied the place of glass; some even wanted doors, and no effort was made to conceal the squalor within.","Many of them were without windows, and where the frames were left, brown paper or tin supplied the place of glass; some even wanted doors, and no effort was made to conceal the squalor within."
she hears me not !,she hears me not!
: XI. THE CHAMBER OF MYSTERY. WE shall now return to the night of Ebba’s seizure by the mysterious stranger.,Chapter 12 THE CHAMBER OF MYSTERY WE shall now return to the night OF Ebba’s seizure by the mysterious stranger.
"“Take care, sir!” cried the gentleman, furiously.","“Take care, sir!” cried the gentleman furiously."
"The whole was surmounted by an immense ventilator, stuck on the end of an iron rod, ascending, like a lightning-conductor, from the steam-engine pump.","The whole was surmounted by an immense ventilator, stuck on the end of an iron rod, ascending, like a lightning-conductor, from the steam-engine pump."
"‘Granting even your silly notion of me to be correct, why need you be alarmed?","“Granting even your silly notion of me to be correct, why need you be alarmed?"
"I am busy now.” “ These relics, doctor,” cried the gatekeeper, glancing at the bag, which was lying on the ground, and from which a bald head protruded—“I ought to take them back with me.” “Tleed them not—they will be safe in my keeping,” cried Doctor Lamb, impatiently; “ to-morrow—to-morrow.” Casting a furtive glance round the laboratory, and shrugging his shoulders, Baldred departed; and Flapdragon having bathed the sufferer’s temples with the decoction, in obedience to his master’s injunctions, turned to inquire what he should do next.","I am busy now.” “These relics, doctor,” cried the gatekeeper, glancing at the bag, which was lying on the ground, and from which a bald head protruded—“I ought to take them back with me.” “Heed them not—they will be safe in my keeping,” cried Doctor Lamb impatiently; “to-morrow—to-morrow.” Casting a furtive glance round the laboratory, and shrugging his shoulders, Baldred departed; and Flapdragon having bathed the sufferer’s temples with the decoction, in obedience to his master’s injunctions, turned to inquire what he should do next."
"CHANT’S DAUGHTER. 63 IV. CHANT'S DAUGHTER. A week had elapsed since Auriol Darcy was conveyed to the iron-merchant’s dwelling, after the attack made upon him by the ruffians in the ruincd house; and though almost recovered from the serious injuries he had received, he still remained the guest of his preserver.","Chapter 4 The Iron-merchant’s Daughter A week had elapsed since Auriol Darcy was conveyed to the iron-merchant’s dwelling, after the attack made upon him by the ruffians in the ruined house; and though almost recovered from the serious injuries he had received, he still remained the guest of his preserver."
Are you aware of the talent the art requires?,Are you aware of the talent the art requires?
"“ But what of it?” Before the little man could answer, a slight interruption occurred.","“But what of it?” Before the little man could answer, a slight interruption occurred."
"“I recollect an old man tellin’ me that he knew the deputy sixty years ago, and he looked jist the same then as now,— neither older nor younger.” “Humph!” exclaimed Ginger.","“I recollect an old man tellin’ me that he knew the deputy sixty years ago, and he looked jist the same then as now,—neither older nor younger.” “Humph!” exclaimed Ginger."
"“ Yes, yes, that's my advertisement, friend,” replied Mr.","“Yes, yes, that’s my advertisement, friend,” replied Mr."
"These are protected by a white apron tied round his waist, with pockets to hold his scissors and combs; over all, he wears a short nankeen jacket, into the pockets of which his hands are constantly thrust when not otherwise employed.","These are protected by a white apron tied round his waist, with pockets to hold his scissors and combs; over all, he wears a short nankeen jacket, into the pockets of which his hands are constantly thrust when not otherwise employed."
"‘ Your deliverance is at hand, Auriol.” “ And you have dared to penetrate here, Gerard?” cried Rougemont, stamping the ground with rage.","“Your deliverance is at hand, Auriol.” “And you have dared to penetrate here, Gerard?” cried Rougemont, stamping the ground with rage."
ha!,ha!
"The chief furniture consisted of three large high-backed and grotesquely-carved arm-chairs, near one of which stood a powerful electrical machine.","The chief furniture consisted of three large high-backed and grotesquely-carved arm-chairs, near one of which stood a powerful electrical machine."
"‘“ But I will save Ebba, whatever it may cost me.","“But I will save Ebba, whatever it may cost me."
"He could trust none of his men but me, whom he knew to be as hearty a hater of the Roundheads, and as loyal to the memory of our slaughtered sovereign, as himself.","He could trust none of his men but me, whom he knew to be as hearty a hater of the Roundheads, and as loyal to the memory of our slaughtered sovereign, as himself."
"“ Ha!” exclaimed Auriol, striking his forehead with his clenched hand.","“Ha!” exclaimed Auriol, striking his forehead with his clenched hand."
"“ Alvays,” replied Ginger.","“Alvays,” replied Ginger."
“T hope you have not invited Cyprian Rougemont?” said Mr.,“I hope you have not invited Cyprian Rougemont?” said Mr.
"Massive chains of the more costly metal, fashioned like twisted snakes, served as suspenders to the lamp.","Massive chains of the more costly metal, fashioned like twisted snakes, served as suspenders to the lamp."
"“Look closer at it, old gem’man,” cried the porter.","“Look closer at it, old gem’man,” cried the porter."
"Sol” And he turned it, and pushing against the door with some force, the rusty hinges gave way, and it fell inwards.","So!” And he turned it, and pushing against the door with some force, the rusty hinges gave way, and it fell inwards."
"“It was a cowardly and treacherous deed, aggravated by the basest ingratitude.","“It was a cowardly and treacherous deed, aggravated by the basest ingratitude."
"Ebba continued to pray fervently for her own deliverance, and for that of Auriol.","Ebba continued to pray fervently for her own deliverance, and for that of Auriol."
“ Rest easy on that score.,“Rest easy on that score.
“ But tell me where the poor fellow is?” cried Auriol.,“But tell me where the poor fellow is?” cried Auriol.
"You shall buy it from me, if you please.” “ At what price?” asked Auriol, bitterly.","You shall buy it from me, if you please.” “At what price?” asked Auriol bitterly."
"But for me, nothing can harm me.” “ Don't be too sure of that,” cried a voice above them.","But for me, nothing can harm me.” “Don’t be too sure of that,” cried a voice above them."
Strange tales were reported and believed of him.,Strange tales were reported and believed of him.
"Wherefore, he said, ‘there will still be peril from some hidden cause.’ Oh, with what greediness I drank in his words!","Wherefore, he said, ‘there will still be peril from some hidden cause.’ Oh, with what greediness I drank in his words!"
“A moon is just born.,“A moon is just born.
"Having passed through it, she was deposited on a bench, when, fright overmastering her, her senses completely forsook her.","Having passed through it, she was deposited on a bench, when, fright overmastering her, her senses completely forsook her."
"“ Answer me one question—IJs there such a person as Ebba Thorneycroft?” “ You have often raved about her,” replied Rougemont.","“Answer me one question—Is there such a person as Ebba Thorneycroft?” “You have often raved about her,” replied Rougemont."
"I mean no offence,” rejoined the other, changing his manner.","I mean no offence,” rejoined the other, changing his manner."
"From this hall four side doors opened, apparently communicating with different chambers, three of which were cautiously tried by Reeks, but they proved to be fastened.","From this hall four side doors opened, apparently communicating with different chambers, three of which were cautiously tried by Reeks, but they proved to be fastened."
Arter a bit more chafferin’ vith Mr.,Arter a bit more chafferin’ vith Mr.
"“ Did you speak, Mr.","“Did you speak, Mr."
"He was tall, slight, and well-proportioned ; and the general cut of his attire, the tightly-buttoned, single-breasted coat, together with the moustache upon his lip, gave him a military air.","He was tall, slight, and well-proportioned; and the general cut of his attire, the tightly-buttoned, single-breasted coat, together with the moustache upon his lip, gave him a military air."
It was fortanate I wasn’t gone to bed; and still more fortunate you happened to be comin’ up at the time.,It was fortunate I wasn’t gone to bed; and still more fortunate you happened to be comin’ up at the time.
"“ Here, lazy-bones, glasses o’ rum-an’-vater, all round.” The drowsy youth bestirred himself to execute the command.","“Here, lazy-bones, glasses o’ rum-an’-vater, all round.” The drowsy youth bestirred himself to execute the command."
"Vake me up if I snore —or ven our sperrit appears.” The Tinker replied in the affirmative; and the other had just become lost to consciousness, when he received a nudge in the side, and his companion whispered —“ He’s here !” “ Vhere — vhere?” demanded the Sandman, in some trepidation.","Vake me up if I snore—or ven our sperrit appears.” The Tinker replied in the affirmative; and the other had just become lost to consciousness, when he received a nudge in the side, and his companion whispered—“He’s here!” “Vhere—vhere?” demanded the Sandman, in some trepidation."
"These neglected dwellings served as receptacles for old iron, blocks of stone and wood, and other ponderous matters.","These neglected dwellings served as receptacles for old iron, blocks of stone and wood, and other ponderous matters."
"Down came the second helmet, though rather more slowly, and the Sandman was eclipsed in the same manner as the Tinker, and roared as loudly.","Down came the second helmet, though rather more slowly, and the Sandman was eclipsed in the same manner as the Tinker, and roared as loudly."
"The next moment, however, he was released, while the familiar voice of the Tinker exclaimed, “Vy, bless my ‘art, if it ain't Mister Thorneycroft.” “ Yes, it’s me, certainly, Mr.","The next moment, however, he was released, while the familiar voice of the Tinker exclaimed— “Vy, bless my ‘art, if it ain’t Mister Thorneycroft.” “Yes, it’s me, certainly, Mr."
Rougemont gazed at them in transports of joy.,Rougemont gazed at them in transports of joy.
"The next moment she tripped up the steps of the carriage, and was ensconced within it.","The next moment she tripped up the steps of the carriage, and was ensconced within it."
"But what new difficulty has arisen ?” “Merely that the road’s blocked up by a solid wall— that’s all,” replied Old Parr.","But what new difficulty has arisen?” “Merely that the road’s blocked up by a solid wall—that’s all,” replied Old Parr."
“ Allow me to present you with it ?” said Auriol.,“Allow me to present you with it?” said Auriol.
"“ One more questin, and I’ve done,” pursued the Tinker.","“One more questin, and I’ve done,” pursued the Tinker."
Auriol tried to disengage himself from the grasp imposed upon him in vain.,Auriol tried to disengage himself from the grasp imposed upon him in vain.
“ Halloa!,“Halloa!
Don’t come to me.,Don’t come to me.
"“ You will,” rejoined the stranger, percmptorily.","“You will,” rejoined the stranger peremptorily."
