Unnamed: 0,Ground Truth,OCR Text,Lexical Correction,Old Model Correction,New Model Correction
0,ATTEMPTED MURDER OF A MERCHANT.,ATTEMPTED MURDER OF A MERCHANT.,ATTEMPTED MURDER OF A MERCHANT.,ATTEMPTED MURDER OF A MERCHANT.,ATTEMPTED MURDER OF A MERCHANT.
1,"AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Dusant, with attempting to murder Jules Tabak, a diamond merchant, and stealing £2,000 worth of diamonds.","AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convleted) named Dasant, with attempting to' murder Jules Tabak, a diamond merchant, and steal- in'g �2000 worth of diamonds,","AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Dasant, with attempting to' murder Jules Tabak, a diamond merchant, and steal- in'g �2000 worth of diamonds,","At the Bow Street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Darcy, with attempting to’ murder Jules Tabak, a diamond merchant, and steal—in’g ‘2000 worth of diamonds.","At the Bow Street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Darcy, with attempting to murder Jules Tabak, a diamond merchant, and steal—in’g ‘twenty-five’ worth of diamonds."
2,Inspector Languish deposed that from information received he went with other officers and arrested the accused on the present charge.,Inspector Langrish deposed that from information received he went with other oflieers and arrested the accused on the present charge.,Inspector Langrish deposed that from information received he went with other officers and arrested the accused on the present charge.,Inspector Langrish deposed that from information received he went with other lievers and arrested the accused on the present charge.,Inspector Langrish deposed that from information received he went with other officers and arrested the accused on the present charge.
3,"Mr. Tabak, a diamond merchant of 5 Belgrave-street, Euston-road, deposed that on March 25th, two men came to his house, and asked him to show them some diamonds.","ir. Taliak, a diamioed merchont, of 5. Belgrave-street, Eusten-road, deponed that on Me\arch 2,i,;h, two men camze to his house, a~nd esked him to show them some diamnonds.","ir. Taliak, a diamine merchant, of 5. Belgrave-street, Eusten-road, depone that on Memarch 2,,;h, two men came to his house, aand asked him to show them some diamonds.","Mr. Taliak, a diamioed merchont, of 5. Belgrave Street, Eusten Road, deponed that on March 2, ‘h, two men came to his house, and asked him to show them some diamonds.","Mr. Taliak, a diamine merchant, of 5. Belgrave Street, Eusten Road, revealed that on March 2, 1894, two men came to his house, and asked him to show them some diamonds."
4,Two parcels were shown them.,"Two parcels wero shown them,","Two parcels were shown them,","Two parcels were shown them,","Two parcels were shown them,"
5,While the men were looking at the diamonds the prisoner Palmer struck witness to heavy blows on the head.,While the men were lookingf at the diamonds the prisoner Palmer struck witnees two heavy blows on the head.,While the men were looking at the diamonds the prisoner Palmer struck witness two heavy blows on the head.,While the men were looking at the diamonds the prisoner Palmer struck them two heavy blows on the head.,While the men were looking at the diamonds the prisoner Palmer struck witness two heavy blows on the head.
6,"He was stunned, the two men ran away, and stole one hundred and eighty carats of diamonds, value £1,400.","He was stunned, the two men ran away, and stole one hundred and eighty carats of diarnonds, value �14100.","He was stunned, the two men ran away, and stole one hundred and eighty carats of diamond, value �14100.","He was stunned, the two men ran away, and stole one hundred and eighty carats of diamond, value �14100.","He was stunned, the two men ran away, and stole one hundred and eighty carats of diamond, value �14100."
7,"One of the men (Dusant) was arrested, and has since been convicted and sentenced to penal servitude.","One of the meii' (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.","One of the meii' (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.","One of the ‘meii’ (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.","One of the ‘meii’ (Doeant) was arrested, and has since been convicted and sentenced to penal servitude."
8,He positively identified Palmer as the other man.,He positively identified Palmer as the other man.,He positively identified Palmer as the other man.,He positively identified Palmer as the other man.,He positively identified Palmer as the other man.
9,"Mrs. Tabak was called, and identified Palmer as one of the men concerned in the robbery.","Mmr. TaNbalc was called, and identified Palmer as one of the men con- corned in the robbery.","Mmr. TaNbalc was called, and identified Palmer as one of the men con- corned in the robbery.","Mmr. Taubenbach was called, and identified Palmer as one of the men con- corned in the robbery.","Mmr. Taubenbach was called, and identified Palmer as one of the men con- corned in the robbery."
10,She did not identify him at first.,"She did not identify him at, first,","She did not identify him at, first,",She did not identify him at first.,She did not identify him at first.
11,"Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.","Eleanor Denunzio, the daugister of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.","Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.","Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.","Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street."
12,He asked for her father.,He asked for her lather.,He asked for her lather.,He asked for her lather.,He asked for her lather.
13,"He said, “I struck the old man.","Be said, ""1 I struck the old man.","Be said, ""1 I struck the old man.","Be said, “I struck the old man.","Be said, “I struck the old man."
14,"He screamed, and his wife came upstairs and we were obliged to run away.","Ho screamed, and his wife came upstairs and we were obliged to run away.","Ho screamed, and his wife came upstairs and we were obliged to run away.","He screamed, and his wife came upstairs and we were obliged to run away.","He screamed, and his wife came upstairs and we were obliged to run away."
15,"I daresay your father will blame me for all this, but my brother was outside and did all he could to stop the servant.” Witness asked if the servant was stopped.","I daresay your father *will blame me for all this, but my brother was outside end did all he could to stop the servant,"" Witness asked if the servant waS stopped.","I dare your father *will blame me for all this, but my brother was outside end did all he could to stop the servant,"" Witness asked if the servant waS stopped.","“I daresay your father will blame me for all this, but my brother was outside and did all he could to stop the servant,” said the Tinker, who asked if the servant had been stopped.","“I dare your father will blame me for all this, but my brother was outside and did all he could to stop the servant,” said the Tinker, who asked if the servant had been stopped."
16,Prisoner replied in the negative.,"Prisoner replied in the negative,","Prisoner replied in the negative,",Prisoner replied in the negative.,Prisoner replied in the negative.
