Ground Truth,OCR Text,CER,Model Correction,old_CER,new_CER,CER_reduction
ATTEMPTED MURDER OF A MERCHANT.,ATTEMPTED MURDER OF A MERCHANT.,0.0,ATTEMPTED MURDER OF A MERCHANT.,0.0,0.0,
"AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Dusant, with attempting to murder Jules Tabak, a diamond merchant, and stealing £2,000 worth of diamonds.","AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convleted) named Dasant, with attempting to' murder Jules Tabak, a diamond merchant, and steal- in'g �2000 worth of diamonds,",0.032051282051282,"At the Bow Street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Darcy, with attempting to’ murder Jules Tabak, a diamond merchant, and steal—in’g ‘2000 worth of diamonds.",0.032467532467532464,0.04220779220779221,-30.000000000000014
Inspector Languish deposed that from information received he went with other officers and arrested the accused on the present charge.,Inspector Langrish deposed that from information received he went with other oflieers and arrested the accused on the present charge.,0.0225563909774436,Inspector Langrish deposed that from information received he went with other lievers and arrested the accused on the present charge.,0.022556390977443608,0.045112781954887216,-100.0
"Mr. Tabak, a diamond merchant of 5 Belgrave-street, Euston-road, deposed that on March 25th, two men came to his house, and asked him to show them some diamonds.","ir. Taliak, a diamioed merchont, of 5. Belgrave-street, Eusten-road, deponed that on Me\arch 2,i,;h, two men camze to his house, a~nd esked him to show them some diamnonds.",0.1130952380952381,"Mr. Taliak, a diamioed merchont, of 5. Belgrave Street, Eusten Road, deponed that on March 2, ‘h, two men came to his house, and asked him to show them some diamonds.",0.12422360248447205,0.09937888198757763,20.000000000000004
Two parcels were shown them.,"Two parcels wero shown them,",0.0714285714285714,"Two parcels were shown them,",0.07142857142857142,0.03571428571428571,50.0
While the men were looking at the diamonds the prisoner Palmer struck witness to heavy blows on the head.,While the men were lookingf at the diamonds the prisoner Palmer struck witnees two heavy blows on the head.,0.02803738317757,While the men were looking at the diamonds the prisoner Palmer struck them two heavy blows on the head.,0.02857142857142857,0.05714285714285714,-100.0
"He was stunned, the two men ran away, and stole one hundred and eighty carats of diamonds, value £1,400.","He was stunned, the two men ran away, and stole one hundred and eighty carats of diarnonds, value �14100.",0.0471698113207547,"He was stunned, the two men ran away, and stole one hundred and eighty carats of diamond, value �14100.",0.04807692307692308,0.038461538461538464,20.0
"One of the men (Dusant) was arrested, and has since been convicted and sentenced to penal servitude.","One of the meii' (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.",0.0490196078431372,"One of the ‘meii’ (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.",0.05,0.06,-19.99999999999999
He positively identified Palmer as the other man.,He positively identified Palmer as the other man.,0.0,He positively identified Palmer as the other man.,0.0,0.0,
"Mrs. Tabak was called, and identified Palmer as one of the men concerned in the robbery.","Mmr. TaNbalc was called, and identified Palmer as one of the men con- corned in the robbery.",0.0689655172413793,"Mmr. Taubenbach was called, and identified Palmer as one of the men con- corned in the robbery.",0.09090909090909091,0.125,-37.49999999999999
She did not identify him at first.,"She did not identify him at, first,",0.0571428571428571,She did not identify him at first.,0.058823529411764705,0.0,100.0
"Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.","Eleanor Denunzio, the daugister of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.",0.0109890109890109,"Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.",0.011049723756906077,0.0,100.0
He asked for her father.,He asked for her lather.,0.0416666666666666,He asked for her lather.,0.041666666666666664,0.041666666666666664,0.0
"He said, “I struck the old man.","Be said, ""1 I struck the old man.",0.1212121212121212,"Be said, “I struck the old man.",0.12903225806451613,0.03225806451612903,75.0
"He screamed, and his wife came upstairs and we were obliged to run away.","Ho screamed, and his wife came upstairs and we were obliged to run away.",0.0138888888888888,"He screamed, and his wife came upstairs and we were obliged to run away.",0.013888888888888888,0.0,100.0
"I daresay your father will blame me for all this, but my brother was outside and did all he could to stop the servant.” Witness asked if the servant was stopped.","I daresay your father *will blame me for all this, but my brother was outside end did all he could to stop the servant,"" Witness asked if the servant waS stopped.",0.0308641975308641,"“I daresay your father will blame me for all this, but my brother was outside and did all he could to stop the servant,” said the Tinker, who asked if the servant had been stopped.",0.031055900621118012,0.15527950310559005,-399.99999999999994
Prisoner replied in the negative.,"Prisoner replied in the negative,",0.0303030303030303,Prisoner replied in the negative.,0.030303030303030304,0.0,100.0
She asked if her father had got away.,She asked if her father had got away.,0.0,She asked if her father had got away.,0.0,0.0,
