Ground Truth,OCR Text,CER
ATTEMPTED MURDER OF A MERCHANT.,ATTEMPTED MURDER OF A MERCHANT.,0.0
"AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convicted) named Dusant, with attempting to murder Jules Tabak, a diamond merchant, and stealing £2,000 worth of diamonds.","AT the Bow-street Police-court, five men named James Palmer, Samuel Scandland, Leon Weiner, Adolphe Weiner, and Daniel Jacoby, have been charged with being concerned with a man (already convleted) named Dasant, with attempting to' murder Jules Tabak, a diamond merchant, and steal- in'g �2000 worth of diamonds,",0.03205128205128205
Inspector Languish deposed that from information received he went with other officers and arrested the accused on the present charge.,Inspector Langrish deposed that from information received he went with other oflieers and arrested the accused on the present charge.,0.022556390977443608
"Mr. Tabak, a diamond merchant of 5 Belgrave-street, Euston-road, deposed that on March 25th, two men came to his house, and asked him to show them some diamonds.","ir. Taliak, a diamioed merchont, of 5. Belgrave-street, Eusten-road, deponed that on Me\arch 2,i,;h, two men camze to his house, a~nd esked him to show them some diamnonds.",0.1130952380952381
Two parcels were shown them.,"Two parcels wero shown them,",0.07142857142857142
While the men were looking at the diamonds the prisoner Palmer struck witness to heavy blows on the head.,While the men were lookingf at the diamonds the prisoner Palmer struck witnees two heavy blows on the head.,0.028037383177570093
"He was stunned, the two men ran away, and stole one hundred and eighty carats of diamonds, value £1,400.","He was stunned, the two men ran away, and stole one hundred and eighty carats of diarnonds, value �14100.",0.04716981132075472
"One of the men (Dusant) was arrested, and has since been convicted and sentenced to penal servitude.","One of the meii' (Doeant) was arrested, and has since been convicted and sentenced to penal servitude.",0.049019607843137254
He positively identified Palmer as the other man.,He positively identified Palmer as the other man.,0.0
"Mrs. Tabak was called, and identified Palmer as one of the men concerned in the robbery.","Mmr. TaNbalc was called, and identified Palmer as one of the men con- corned in the robbery.",0.06896551724137931
She did not identify him at first.,"She did not identify him at, first,",0.05714285714285714
"Eleanor Denunzio, the daughter of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.","Eleanor Denunzio, the daugister of the man Dusant, deposed that on March 25th, the day of the robbery, the prisoner Palmer called on her and beckoned her to the corner of the street.",0.01098901098901099
