,sent_id,gold_text,gold_label,ocr_text,ocr_label
0,1,Bow,LOC,Bow Street Police,ORG
1,1,street,LOC,Bow Street Police,ORG
2,1,James Palmer,PER,James Palmer,PER
3,1,Samuel Scandland,PER,Samuel Scandland,PER
4,1,Leon Weiner,PER,Leon Weiner,PER
5,1,Adolphe Weiner,PER,Adolphe Weiner,PER
6,1,Daniel Jacoby,PER,Daniel Jacoby,PER
7,1,Dusant,PER,Darcy,PER
8,1,Jules Tabak,PER,Jules Tabak,PER
9,2,Languish,PER,Langrish,PER
10,3,Tabak,PER,Taliak,PER
11,3,Belgrave,LOC,Belgrave Street,LOC
12,3,Euston,LOC,Eusten Road,LOC
13,5,Palmer,PER,Palmer,PER
14,7,Dusant,PER,Doeant,PER
15,8,Palmer,PER,Palmer,PER
16,9,Tabak,PER,Taubenbach,PER
17,9,Palmer,PER,Palmer,PER
18,11,Eleanor Denunzio,PER,Eleanor Denunzio,PER
19,11,Dusant,PER,Dusant,PER
20,11,Palmer,PER,Palmer,PER
21,15,,,Tinker,PER
22,19,Weiner,PER,Weiner,PER
23,20,Witness,PER,,
24,20,Waterloo Station,LOC,Wettrino Station,LOC
25,20,Adolphs Weiner,PER,Adolphus Whitehouse,PER
26,21,Waterloo Station,LOC,Waiterloo Station,LOC
27,22,Dyer’s,ORG,Dyer’s,ORG
28,22,Buildings,LOC,Buildings,LOC
29,22,Adolphe Weinger,PER,Adolphe Weiner,PER
30,22,,,"C,",LOC
31,23,God,PER,God,PER
32,24,Castle,LOC,,
33,24,street,LOC,,
34,24,Chancery,LOC,Chancery Lane,LOC
35,28,Tabak,PER,Tabak,PER
36,29,Dyer,ORG,Darcy,PER
37,29,s Buildings,LOC,Darcy,PER
38,29,,,Ie,PER
39,30,Jacoby,PER,Jacoby,PER
40,30,Edgware,LOC,Edgware Road,LOC
41,30,road,LOC,Edgware Road,LOC
42,32,House of Detention,ORG,House of Detention,ORG
43,33,Aylesbury,LOC,Av,LOC
44,33,Clerkenwell,LOC,,
45,35,Weiner,PER,Wesiner,PER
46,37,Weiner,PER,Weiner,PER
47,37,Jacoby,PER,Jacisby,PER
48,38,Weiner,PER,Thorneycroft,PER
49,39,Marble Arch,LOC,Great Arch,LOC
50,39,Palmer,PER,Peel,PER
51,40,Palmer,PER,Palmer,PER
52,42,Waterloo,LOC,Waterloo,LOC
53,45,Jacoby,PER,Jacoby,PER
54,45,,,Christ,PER
55,46,,,“Toney,PER
56,46,,,Toney,PER
57,47,Weiner,PER,Waeiner,PER
58,47,,,S,MISC
